ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
209;383;443;865;262;590;168;164;24;26
296;448;305;593;343;452;136;132;17;29
279;365;352;663;202;813;101;151;24;19
285;526;402;539;400;737;178;189;24;27
299;411;404;580;341;650;172;193;16;30
342;435;285;671;201;791;131;153;22;17
284;294;343;809;367;518;169;207;26;27
313;223;332;619;328;925;173;169;20;25
296;382;282;950;242;1001;132;110;27;19
385;354;492;1033;394;526;152;195;28;25
329;423;388;758;448;759;191;220;24;25
211;711;368;1138;299;852;146;96;28;23
337;327;321;878;403;815;140;177;26;23
331;328;395;906;326;679;167;149;26;27
201;732;374;360;271;1033;147;102;29;24
242;379;346;1230;343;411;197;192;28;26
276;343;448;713;470;593;141;233;25;25
245;482;329;520;315;563;140;154;23;24
240;578;336;958;350;821;145;177;27;24
216;479;378;553;237;459;155;214;28;27
344;508;250;422;447;425;141;152;25;25
257;364;390;574;331;922;175;124;28;25
143;434;325;572;460;677;139;143;23;27
339;563;347;1050;331;432;195;202;26;25
284;573;253;888;278;837;155;131;27;24
267;336;446;513;332;891;148;229;26;28
333;456;419;587;411;794;123;180;26;24
393;493;104;807;245;1323;174;225;27;25
190;716;328;698;261;601;153;189;26;24
231;492;302;1085;464;533;190;197;22;27
382;316;255;691;327;869;181;223;27;26
266;427;310;493;397;507;182;170;28;24
335;446;609;542;464;767;128;172;18;23
214;756;311;480;167;672;159;135;25;25
235;237;355;635;323;822;151;184;28;24
213;448;444;1483;269;642;157;192;18;27
218;706;342;730;353;788;180;228;26;27
216;174;336;711;370;952;176;202;24;28
224;314;388;906;344;595;186;173;18;23
322;470;344;807;415;495;110;193;27;27
276;622;236;945;513;848;205;184;27;26
194;498;388;732;371;752;172;177;18;25
335;515;407;836;384;823;122;214;26;28
343;332;195;803;419;782;181;221;26;26
169;590;446;1245;473;864;150;120;25;24
260;371;411;1071;340;562;115;111;27;27
228;407;185;912;245;907;173;163;29;27
222;663;347;574;429;734;176;179;28;23
321;473;421;966;367;807;131;142;25;25
342;543;249;859;307;360;135;211;29;27
