rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
471,"0,39","1207,69",812,"0,97","837,11",723,"0,58","1246,55",1051,"0,90","1167,78",784,"0,82","956,10",652,"0,66","987,88",766,"0,63","1215,87",371,"0,34","1091,18",595,"0,49","1214,29",227,"0,91","249,45",376,"1,55","242,58",367,"1,44","254,86",38,"0,10","380,00",40,"0,11","363,64",33,"0,09","366,67"
464,"0,38","1221,05",413,"0,54","764,81",1449,"1,11","1305,41",624,"0,51","1223,53",608,"0,59","1030,51",744,"0,74","1005,41",352,"0,32","1100,00",769,"0,71","1083,10",917,"0,71","1291,55",439,"1,70","258,24",208,"0,87","239,08",480,"1,81","265,19",39,"0,10","390,00",38,"0,11","345,45",34,"0,10","340,00"
739,"0,60","1231,67",615,"0,69","891,30",601,"0,53","1133,96",492,"0,43","1144,19",899,"0,90","998,89",396,"0,41","965,85",795,"0,69","1152,17",1043,"0,92","1133,70",592,"0,48","1233,33",459,"1,71","268,42",344,"1,42","242,25",363,"1,41","257,45",39,"0,11","354,55",41,"0,10","410,00",38,"0,11","345,45"
490,"0,43","1139,53",524,"0,65","806,15",848,"0,77","1101,30",1039,"0,86","1208,14",750,"0,74","1013,51",688,"0,72","955,56",1137,"0,99","1148,48",681,"0,63","1080,95",1123,"0,87","1290,80",315,"1,23","256,10",343,"1,38","248,55",222,"0,85","261,18",38,"0,10","380,00",40,"0,12","333,33",38,"0,10","380,00"
477,"0,38","1255,26",521,"0,61","854,10",672,"0,61","1101,64",1079,"0,92","1172,83",645,"0,60","1075,00",529,"0,53","998,11",878,"0,79","1111,39",791,"0,75","1054,67",660,"0,51","1294,12",380,"1,43","265,73",320,"1,29","248,06",390,"1,47","265,31",37,"0,10","370,00",31,"0,09","344,44",41,"0,12","341,67"
1061,"0,80","1326,25",538,"0,65","827,69",527,"0,50","1054,00",765,"0,66","1159,09",496,"0,50","992,00",640,"0,68","941,18",728,"0,63","1155,56",979,"0,95","1030,53",716,"0,60","1193,33",404,"1,60","252,50",373,"1,56","239,10",303,"1,22","248,36",41,"0,10","410,00",41,"0,11","372,73",35,"0,09","388,89"
589,"0,45","1308,89",571,"0,75","761,33",559,"0,46","1215,22",569,"0,48","1185,42",756,"0,73","1035,62",666,"0,64","1040,62",678,"0,56","1210,71",697,"0,60","1161,67",293,"0,25","1172,00",341,"1,34","254,48",237,"1,00","237,00",465,"1,87","248,66",40,"0,12","333,33",40,"0,10","400,00",43,"0,12","358,33"
948,"0,73","1298,63",557,"0,56","994,64",605,"0,44","1375,00",574,"0,48","1195,83",859,"0,85","1010,59",770,"0,74","1040,54",978,"0,80","1222,50",682,"0,63","1082,54",836,"0,70","1194,29",208,"0,87","239,08",404,"1,56","258,97",356,"1,41","252,48",38,"0,10","380,00",37,"0,11","336,36",39,"0,11","354,55"
755,"0,65","1161,54",605,"0,75","806,67",650,"0,58","1120,69",703,"0,62","1133,87",391,"0,39","1002,56",806,"0,85","948,24",591,"0,49","1206,12",424,"0,38","1115,79",848,"0,63","1346,03",299,"1,14","262,28",368,"1,50","245,33",278,"1,10","252,73",35,"0,09","388,89",37,"0,11","336,36",37,"0,11","336,36"
765,"0,65","1176,92",699,"0,94","743,62",834,"0,68","1226,47",515,"0,44","1170,45",696,"0,66","1054,55",395,"0,40","987,50",579,"0,51","1135,29",735,"0,73","1006,85",515,"0,40","1287,50",374,"1,35","277,04",357,"1,44","247,92",407,"1,44","282,64",31,"0,09","344,44",41,"0,11","372,73",37,"0,10","370,00"
