ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
367,"2,26","162,39",514,"1,47","349,66",776,"3,22","240,99",826,"0,66","1251,52",212,"1,94","109,28",288,"1,30","221,54",26,"0,17","152,94",23,"0,07","328,57"
236,"1,48","159,46",524,"1,56","335,90",598,"2,52","237,30",1330,"1,01","1316,83",223,"1,90","117,37",270,"1,18","228,81",24,"0,17","141,18",24,"0,07","342,86"
444,"2,85","155,79",662,"2,08","318,27",551,"2,31","238,53",460,"0,38","1210,53",200,"1,87","106,95",331,"1,49","222,15",24,"0,16","150,00",24,"0,07","342,86"
660,"3,94","167,51",554,"1,56","355,13",580,"2,44","237,70",772,"0,61","1265,57",210,"1,87","112,30",230,"1,03","223,30",25,"0,16","156,25",23,"0,08","287,50"
686,"4,26","161,03",648,"2,09","310,05",491,"2,09","234,93",744,"0,60","1240,00",269,"2,40","112,08",305,"1,36","224,26",25,"0,17","147,06",25,"0,08","312,50"
420,"2,59","162,16",668,"1,99","335,68",646,"2,69","240,15",1029,"0,84","1225,00",237,"2,14","110,75",306,"1,40","218,57",24,"0,15","160,00",23,"0,08","287,50"
430,"2,73","157,51",442,"1,44","306,94",594,"2,43","244,44",1156,"1,00","1156,00",179,"1,63","109,82",227,"1,08","210,19",25,"0,17","147,06",25,"0,07","357,14"
462,"2,84","162,68",853,"2,67","319,48",637,"2,67","238,58",947,"0,77","1229,87",243,"2,30","105,65",248,"1,11","223,42",24,"0,16","150,00",25,"0,08","312,50"
355,"2,13","166,67",561,"1,74","322,41",686,"2,87","239,02",722,"0,59","1223,73",269,"2,48","108,47",292,"1,39","210,07",17,"0,10","170,00",26,"0,08","325,00"
288,"1,75","164,57",674,"2,00","337,00",480,"2,02","237,62",941,"0,77","1222,08",139,"1,15","120,87",198,"0,90","220,00",25,"0,16","156,25",21,"0,07","300,00"
542,"3,21","168,85",403,"1,27","317,32",515,"2,12","242,92",890,"0,72","1236,11",222,"1,95","113,85",398,"1,79","222,35",22,"0,15","146,67",24,"0,07","342,86"
386,"2,41","160,17",385,"1,17","329,06",536,"2,20","243,64",518,"0,41","1263,41",330,"2,99","110,37",295,"1,38","213,77",17,"0,11","154,55",24,"0,07","342,86"
