ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
500;476;579;1305;155;287;22;23
371;699;409;908;226;165;14;22
430;392;431;285;285;217;23;18
338;603;653;829;161;273;22;26
452;588;502;566;218;331;16;25
280;711;503;535;237;152;21;18
455;733;512;949;175;332;25;26
396;664;366;1045;263;294;22;26
372;903;434;1011;279;303;26;17
198;409;645;1089;157;405;25;25
398;410;405;621;151;239;21;25
430;745;593;993;220;289;24;20
271;684;589;648;299;257;25;26
541;741;534;705;309;232;24;25
539;668;560;750;260;356;24;21
281;484;695;975;311;251;25;23
371;553;601;813;253;313;24;25
673;528;372;846;183;338;21;25
410;602;611;748;251;278;27;22
342;415;730;1337;265;315;22;26
446;605;456;526;246;336;25;26
519;553;653;938;284;347;14;25
530;725;680;1640;291;376;25;25
416;713;584;768;320;227;25;24
528;695;667;890;261;283;18;24
250;579;479;502;159;294;24;24
547;373;321;498;294;290;25;24
524;615;588;573;311;364;22;25
275;715;609;702;160;393;23;25
759;582;441;627;329;348;25;24
755;740;632;462;292;312;23;22
309;720;435;1005;158;333;22;24
456;510;658;755;247;288;25;23
465;662;460;680;272;328;25;21
207;696;644;838;202;311;24;23
548;747;560;821;232;378;26;22
396;754;442;921;249;304;24;24
539;612;496;746;267;376;24;23
367;514;776;826;212;288;26;23
236;524;598;1330;223;270;24;24
444;662;551;460;200;331;24;24
660;554;580;772;210;230;25;23
686;648;491;744;269;305;25;25
420;668;646;1029;237;306;24;23
430;442;594;1156;179;227;25;25
462;853;637;947;243;248;24;25
355;561;686;722;269;292;17;26
288;674;480;941;139;198;25;21
542;403;515;890;222;398;22;24
386;385;536;518;330;295;17;24
