rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
706;430;279;825;982;468;498;760;369;409;188;222;37;32;34
297;635;580;305;916;587;803;603;772;308;373;377;40;34;31
699;586;678;1051;616;1217;682;354;710;389;345;349;26;40;39
1067;822;677;624;546;666;1018;600;458;461;266;219;39;38;41
493;549;635;492;846;996;599;1169;527;264;327;436;32;39;36
714;330;617;1039;784;763;784;444;1005;365;426;392;25;41;32
766;589;826;1079;761;686;496;1145;732;292;460;193;38;39;39
721;873;228;765;800;602;964;782;1043;396;420;314;33;35;29
479;850;748;569;886;703;871;715;1136;252;381;387;35;42;39
625;918;489;574;607;682;719;463;377;232;411;407;40;38;37
842;863;946;703;505;780;527;925;768;399;339;309;40;36;36
679;629;865;515;448;793;913;1071;956;258;356;440;37;41;34
974;522;417;737;761;813;615;481;555;406;473;302;39;36;41
424;598;422;748;1232;868;572;1138;983;353;372;239;40;39;33
617;644;533;959;848;494;910;601;686;359;224;303;37;36;38
589;670;754;880;1071;703;937;401;762;557;400;326;30;25;37
504;751;789;712;817;672;953;599;575;404;399;438;40;39;37
696;484;560;1185;498;392;323;474;559;323;406;433;38;35;39
1069;730;664;1391;872;535;524;713;652;354;401;405;34;36;34
467;832;364;556;399;631;723;1275;609;341;242;376;36;34;39
660;534;509;1353;781;1377;748;765;1101;176;348;326;34;34;39
945;764;708;455;537;602;633;447;644;321;297;254;37;30;32
486;418;769;894;748;1166;801;856;848;316;478;386;39;35;41
612;390;605;739;409;715;593;588;543;174;327;426;37;36;38
621;795;294;829;835;475;611;619;441;325;351;457;41;40;40
616;482;1106;792;685;1081;551;812;626;466;296;257;35;38;39
716;600;508;828;890;1068;900;716;556;388;273;368;28;41;38
126;523;398;825;637;562;639;638;1183;329;485;352;31;36;38
511;542;538;305;883;539;680;1026;707;338;321;285;33;40;40
471;812;723;1051;784;652;766;371;595;227;376;367;38;40;33
464;413;1449;624;608;744;352;769;917;439;208;480;39;38;34
739;615;601;492;899;396;795;1043;592;459;344;363;39;41;38
490;524;848;1039;750;688;1137;681;1123;315;343;222;38;40;38
477;521;672;1079;645;529;878;791;660;380;320;390;37;31;41
1061;538;527;765;496;640;728;979;716;404;373;303;41;41;35
589;571;559;569;756;666;678;697;293;341;237;465;40;40;43
948;557;605;574;859;770;978;682;836;208;404;356;38;37;39
755;605;650;703;391;806;591;424;848;299;368;278;35;37;37
765;699;834;515;696;395;579;735;515;374;357;407;31;41;37
459;522;661;737;930;574;666;650;742;349;226;326;38;36;37
320;659;851;748;278;991;743;1002;794;420;427;389;38;40;37
712;500;675;959;886;645;623;558;700;302;363;417;35;39;34
453;651;384;880;724;774;908;814;762;280;386;454;36;38;40
589;712;499;712;513;415;732;410;434;348;343;212;39;37;41
761;509;676;1185;968;1006;1004;624;762;424;419;347;38;39;38
846;584;639;1391;429;570;1002;916;815;390;225;394;39;39;40
589;662;648;556;866;589;1350;487;503;385;181;207;41;40;41
767;679;620;1353;990;804;856;1088;1130;347;293;386;38;36;37
527;850;550;455;897;869;312;890;977;241;333;341;38;36;38
586;543;330;894;1497;636;548;717;983;322;355;297;41;37;36
