SIG_ALG;KEM_ALG;Read Bytes;Written Bytes
dilithium2;X25519;6691;509
dilithium2;P-256;6724;542
dilithium2;P-384;6756;574
dilithium2;P-521;6792;610
dilithium3;X25519;9077;509
dilithium3;P-256;9110;542
dilithium3;P-384;9142;574
dilithium3;P-521;9178;610
dilithium5;X25519;12321;509
dilithium5;P-256;12354;542
dilithium5;P-384;12386;574
dilithium5;P-521;12422;610
