rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
566,"0,48","1179,17",619,"0,70","884,29",382,"0,37","1032,43",403,"0,34","1185,29",647,"0,72","898,61",640,"0,62","1032,26",193,"0,20","965,00",362,"0,37","978,38",431,"0,37","1164,86",228,"0,93","245,16",344,"1,50","229,33",336,"1,34","250,75",41,"0,09","455,56",38,"0,09","422,22",37,"0,09","411,11"
567,"0,47","1206,38",447,"0,56","798,21",425,"0,45","944,44",352,"0,36","977,78",389,"0,42","926,19",392,"0,45","871,11",481,"0,41","1173,17",312,"0,32","975,00",432,"0,37","1167,57",315,"1,35","233,33",304,"1,38","220,29",406,"1,66","244,58",34,"0,08","425,00",43,"0,10","430,00",39,"0,11","354,55"
440,"0,37","1189,19",718,"0,75","957,33",474,"0,56","846,43",529,"0,46","1150,00",654,"0,76","860,53",217,"0,23","943,48",343,"0,32","1071,88",298,"0,32","931,25",845,"0,69","1224,64",220,"0,84","261,90",269,"1,21","222,31",187,"0,79","236,71",27,"0,07","385,71",24,"0,05","480,00",27,"0,07","385,71"
418,"0,40","1045,00",373,"0,35","1065,71",494,"0,55","898,18",712,"0,61","1167,21",544,"0,68","800,00",704,"0,72","977,78",324,"0,30","1080,00",589,"0,60","981,67",523,"0,41","1275,61",353,"1,55","227,74",272,"1,17","232,48",212,"0,92","230,43",37,"0,10","370,00",42,"0,10","420,00",36,"0,09","400,00"
591,"0,47","1257,45",574,"0,55","1043,64",557,"0,59","944,07",713,"0,57","1250,88",287,"0,32","896,88",644,"0,71","907,04",797,"0,69","1155,07",359,"0,40","897,50",527,"0,43","1225,58",254,"1,05","241,90",341,"1,49","228,86",306,"1,20","255,00",41,"0,11","372,73",32,"0,07","457,14",39,"0,10","390,00"
626,"0,47","1331,91",292,"0,30","973,33",389,"0,36","1080,56",339,"0,28","1210,71",252,"0,35","720,00",349,"0,33","1057,58",470,"0,41","1146,34",451,"0,46","980,43",273,"0,21","1300,00",325,"1,44","225,69",269,"1,21","222,31",263,"0,95","276,84",37,"0,09","411,11",30,"0,07","428,57",27,"0,07","385,71"
328,"0,26","1261,54",306,"0,28","1092,86",304,"0,32","950,00",562,"0,50","1124,00",427,"0,51","837,25",502,"0,52","965,38",557,"0,50","1114,00",614,"0,64","959,38",390,"0,33","1181,82",217,"0,90","241,11",293,"1,31","223,66",339,"1,38","245,65",38,"0,09","422,22",42,"0,10","420,00",38,"0,10","380,00"
480,"0,38","1263,16",395,"0,39","1012,82",643,"0,60","1071,67",855,"0,73","1171,23",498,"0,59","844,07",376,"0,38","989,47",889,"0,78","1139,74",446,"0,44","1013,64",678,"0,56","1210,71",206,"0,88","234,09",411,"1,63","252,15",276,"1,07","257,94",36,"0,10","360,00",42,"0,10","420,00",38,"0,09","422,22"
653,"0,49","1332,65",289,"0,29","996,55",448,"0,51","878,43",321,"0,29","1106,90",494,"0,55","898,18",224,"0,20","1120,00",597,"0,53","1126,42",569,"0,54","1053,70",827,"0,63","1312,70",289,"1,24","233,06",171,"0,61","280,33",246,"0,97","253,61",36,"0,09","400,00",33,"0,08","412,50",38,"0,09","422,22"
