ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
547,"3,50","156,29",770,"2,53","304,35",423,"1,87","226,20",884,"0,92","960,87",288,"2,36","122,03",330,"1,57","210,19",27,"0,15","180,00",27,"0,07","385,71"
585,"3,83","152,74",848,"2,68","316,42",691,"3,09","223,62",1045,"1,00","1045,00",216,"1,79","120,67",345,"1,64","210,37",27,"0,17","158,82",18,"0,05","360,00"
475,"3,12","152,24",731,"2,29","319,21",671,"3,15","213,02",1134,"1,10","1030,91",303,"2,43","124,69",235,"1,11","211,71",18,"0,11","163,64",26,"0,07","371,43"
542,"3,47","156,20",842,"2,68","314,18",479,"2,06","232,52",1122,"1,21","927,27",306,"2,48","123,39",348,"1,65","210,91",26,"0,17","152,94",27,"0,08","337,50"
582,"3,67","158,58",843,"2,77","304,33",692,"3,10","223,23",763,"0,77","990,91",296,"2,33","127,04",346,"1,57","220,38",27,"0,18","150,00",21,"0,05","420,00"
570,"3,75","152,00",799,"2,45","326,12",687,"3,17","216,72",1127,"1,17","963,25",308,"2,51","122,71",238,"1,08","220,37",25,"0,15","166,67",26,"0,07","371,43"
553,"3,57","154,90",775,"2,54","305,12",483,"2,14","225,70",1131,"1,15","983,48",307,"2,45","125,31",354,"1,68","210,71",26,"0,16","162,50",27,"0,07","385,71"
591,"3,66","161,48",844,"2,73","309,16",681,"2,95","230,85",757,"0,80","946,25",293,"2,44","120,08",350,"1,62","216,05",26,"0,16","162,50",25,"0,06","416,67"
560,"3,67","152,59",842,"2,76","305,07",692,"3,07","225,41",1139,"1,16","981,90",281,"2,30","122,17",246,"1,09","225,69",25,"0,15","166,67",27,"0,07","385,71"
560,"3,65","153,42",561,"1,92","292,19",662,"2,93","225,94",1131,"1,16","975,00",312,"2,48","125,81",346,"1,58","218,99",25,"0,16","156,25",27,"0,07","385,71"
583,"3,76","155,05",857,"2,66","322,18",690,"3,08","224,03",755,"0,74","1020,27",308,"2,55","120,78",359,"1,58","227,22",26,"0,16","162,50",25,"0,06","416,67"
566,"3,62","156,35",852,"2,59","328,96",686,"3,12","219,87",1133,"1,16","976,72",209,"1,68","124,40",331,"1,59","208,18",27,"0,19","142,11",27,"0,08","337,50"
570,"3,70","154,05",546,"1,93","282,90",665,"2,87","231,71",1140,"1,03","1106,80",309,"2,47","125,10",348,"1,67","208,38",26,"0,16","162,50",26,"0,07","371,43"
581,"3,74","155,35",853,"2,69","317,10",644,"2,83","227,56",878,"0,94","934,04",309,"2,46","125,61",349,"1,61","216,77",26,"0,16","162,50",25,"0,08","312,50"
553,"3,52","157,10",849,"2,64","321,59",692,"3,12","221,79",1116,"1,05","1062,86",206,"1,70","121,18",326,"1,51","215,89",26,"0,16","162,50",25,"0,08","312,50"
586,"3,69","158,81",567,"1,76","322,16",685,"3,13","218,85",1140,"1,10","1036,36",307,"2,43","126,34",319,"1,42","224,65",27,"0,17","158,82",26,"0,07","371,43"
572,"3,82","149,74",849,"2,73","310,99",467,"2,08","224,52",1081,"1,07","1010,28",313,"2,45","127,76",351,"1,60","219,38",26,"0,16","162,50",26,"0,07","371,43"
552,"3,50","157,71",845,"2,72","310,66",689,"3,11","221,54",1143,"1,07","1068,22",210,"1,62","129,63",353,"1,66","212,65",26,"0,16","162,50",26,"0,08","325,00"
547,"3,45","158,55",654,"2,20","297,27",704,"3,04","231,58",1133,"1,23","921,14",305,"2,45","124,49",241,"1,05","229,52",26,"0,16","162,50",25,"0,07","357,14"
561,"3,78","148,41",836,"2,60","321,54",470,"2,01","233,83",1071,"1,05","1020,00",309,"2,48","124,60",345,"1,56","221,15",27,"0,18","150,00",26,"0,08","325,00"
590,"3,66","161,20",854,"2,67","319,85",693,"3,10","223,55",1052,"0,93","1131,18",248,"1,95","127,18",350,"1,64","213,41",25,"0,15","166,67",26,"0,07","371,43"
393,"2,46","159,76",798,"2,70","295,56",691,"3,09","223,62",1150,"1,06","1084,91",300,"2,44","122,95",237,"1,09","217,43",27,"0,16","168,75",27,"0,07","385,71"
567,"3,72","152,42",850,"2,67","318,35",468,"2,07","226,09",1147,"1,09","1052,29",312,"2,48","125,81",352,"1,57","224,20",27,"0,17","158,82",25,"0,07","357,14"
584,"3,72","156,99",846,"2,63","321,67",691,"3,13","220,77",780,"0,68","1147,06",299,"2,34","127,78",350,"1,64","213,41",25,"0,15","166,67",27,"0,06","450,00"
