ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
241;620;525;1801;533;1564;120;189;28;28
388;759;419;1934;541;1709;198;221;19;29
392;816;499;1368;451;1453;199;242;30;20
320;822;550;1871;506;1657;134;237;29;29
393;567;565;1973;526;1705;201;163;24;30
396;805;382;1891;529;1589;196;239;29;29
389;843;565;1917;518;1569;138;240;29;29
379;567;543;1933;531;1707;192;161;28;29
404;788;375;1859;525;1691;197;238;29;28
365;817;568;1752;528;1141;189;239;29;30
401;562;557;1973;525;1706;200;160;27;29
402;830;389;1947;520;1729;196;238;27;28
354;796;574;1317;533;1139;181;235;29;30
358;634;553;1952;536;1692;185;184;29;30
363;778;437;1959;515;1716;196;233;27;27
394;816;561;1330;541;1139;201;240;29;28
265;764;577;1913;539;1739;136;227;29;31
387;820;532;1943;497;1712;197;238;28;29
387;785;555;1300;493;1322;202;239;29;29
258;777;559;1982;537;1676;128;217;28;30
378;758;521;1974;550;1698;201;224;29;29
401;799;518;1581;369;1600;196;241;29;29
274;795;562;1882;537;1724;137;233;28;29
364;560;546;1944;529;1724;200;160;29;28
400;814;378;1879;361;1578;201;239;29;30
310;816;566;1947;531;1606;157;234;28;29
373;568;559;1986;536;1703;192;163;29;29
395;795;380;1855;357;1704;200;241;29;29
377;801;564;1790;535;1133;187;240;27;30
401;548;542;1953;543;1707;197;163;27;28
403;808;377;1943;409;1683;199;240;29;30
367;823;576;1322;523;1142;187;237;29;30
362;641;560;1970;540;1721;182;186;28;27
395;780;444;1980;515;1689;198;232;29;28
406;801;545;1322;539;1150;199;238;28;29
265;763;556;1957;547;1694;134;229;29;29
397;797;543;1969;508;1689;202;237;29;28
373;810;559;1295;486;1327;198;237;28;29
262;862;562;1974;540;1685;133;221;29;28
382;848;531;1980;544;1713;200;222;29;28
382;874;503;1520;364;1626;195;237;27;30
254;879;552;1865;537;1705;131;235;29;28
399;852;563;1969;528;1678;199;161;29;29
387;833;380;1890;359;1591;196;233;28;29
306;872;557;1969;528;1573;156;236;29;28
392;849;567;1982;528;1700;195;154;30;29
387;858;382;1818;362;1700;197;233;26;30
373;856;562;1790;525;1144;188;233;28;26
394;842;577;1961;540;1685;199;159;29;29
394;863;382;1939;412;1699;198;231;29;29
