rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
1298,"1,26","1030,16",1250,"1,32","946,97",1351,"1,25","1080,80",1827,"1,73","1056,07",1164,"1,38","843,48",1528,"1,66","920,48",1764,"1,58","1116,46",1676,"1,68","997,62",1736,"1,65","1052,12",326,"1,23","265,04",413,"1,71","241,52",494,"1,86","265,59",42,"0,11","381,82",42,"0,12","350,00",42,"0,09","466,67"
1412,"1,30","1086,15",1383,"1,43","967,13",1387,"1,35","1027,41",1990,"1,92","1036,46",1862,"2,17","858,06",1837,"1,77","1037,85",1300,"1,13","1150,44",1760,"1,83","961,75",1861,"1,71","1088,30",536,"2,04","262,75",495,"2,02","245,05",371,"1,34","276,87",42,"0,10","420,00",33,"0,09","366,67",43,"0,11","390,91"
961,"0,85","1130,59",938,"1,00","938,00",1044,"0,91","1147,25",1711,"1,71","1000,58",1895,"2,18","869,27",2016,"1,89","1066,67",1810,"1,59","1138,36",1218,"1,18","1032,20",1611,"1,44","1118,75",541,"2,17","249,31",549,"2,10","261,43",528,"2,03","260,10",29,"0,06","483,33",41,"0,11","372,73",34,"0,08","425,00"
1383,"1,28","1080,47",1351,"1,51","894,70",1318,"1,15","1146,09",1948,"1,96","993,88",1274,"1,43","890,91",1947,"2,03","959,11",1865,"1,60","1165,62",1808,"1,83","987,98",1690,"1,54","1097,40",381,"1,50","254,00",535,"2,09","255,98",528,"2,03","260,10",43,"0,10","430,00",44,"0,10","440,00",44,"0,11","400,00"
1417,"1,24","1142,74",1385,"1,34","1033,58",1382,"1,35","1023,70",1983,"1,94","1022,16",1895,"2,14","885,51",1300,"1,44","902,78",1810,"1,56","1160,26",1793,"1,83","979,78",1892,"1,69","1119,53",541,"1,97","274,62",360,"1,43","251,75",504,"1,95","258,46",42,"0,11","381,82",45,"0,11","409,09",44,"0,11","400,00"
952,"0,84","1133,33",951,"1,04","914,42",1392,"1,27","1096,06",1850,"1,85","1000,00",1869,"2,15","869,30",1953,"2,03","962,07",1826,"1,65","1106,67",1210,"1,23","983,74",1880,"1,64","1146,34",535,"2,10","254,76",549,"2,09","262,68",549,"2,12","258,96",30,"0,06","500,00",41,"0,09","455,56",41,"0,09","455,56"
1423,"1,24","1147,58",1333,"1,42","938,73",1352,"1,18","1145,76",1836,"1,70","1080,00",1331,"1,40","950,71",1961,"1,92","1021,35",1865,"1,68","1110,12",1812,"1,77","1023,73",1251,"1,16","1078,45",522,"1,95","267,69",539,"2,11","255,45",548,"2,13","257,28",43,"0,10","430,00",45,"0,10","450,00",44,"0,10","440,00"
1415,"1,23","1150,41",1372,"1,49","920,81",1399,"1,29","1084,50",1982,"1,97","1006,09",1837,"2,16","850,46",1324,"1,37","966,42",1760,"1,49","1181,21",1803,"1,81","996,13",1897,"1,61","1178,26",542,"2,05","264,39",359,"1,39","258,27",506,"1,98","255,56",44,"0,10","440,00",44,"0,11","400,00",44,"0,11","400,00"
940,"0,90","1044,44",1311,"1,36","963,97",1398,"1,19","1174,79",1971,"1,94","1015,98",1881,"2,11","891,47",1991,"1,87","1064,71",1709,"1,51","1131,79",1255,"1,32","950,76",1876,"1,68","1116,67",540,"2,05","263,41",532,"2,21","240,72",505,"1,89","267,20",29,"0,07","414,29",42,"0,11","381,82",41,"0,09","455,56"
1430,"1,28","1117,19",1356,"1,40","968,57",1343,"1,31","1025,19",1362,"1,24","1098,39",1811,"2,03","892,12",1941,"2,07","937,68",1882,"1,58","1191,14",1746,"1,74","1003,45",1244,"1,18","1054,24",517,"1,93","267,88",545,"2,14","254,67",548,"2,03","269,95",44,"0,10","440,00",43,"0,10","430,00",42,"0,09","466,67"
1401,"1,31","1069,47",1369,"1,45","944,14",1365,"1,38","989,13",1964,"1,98","991,92",1882,"2,09","900,48",1321,"1,32","1000,76",1893,"1,56","1213,46",1810,"1,78","1016,85",1872,"1,65","1134,55",498,"1,84","270,65",361,"1,46","247,26",543,"2,10","258,57",43,"0,09","477,78",43,"0,10","430,00",44,"0,11","400,00"
1278,"1,23","1039,02",1311,"1,31","1000,76",1364,"1,23","1108,94",1982,"1,86","1065,59",1868,"2,17","860,83",1982,"1,98","1001,01",1248,"1,12","1114,29",1741,"1,69","1030,18",1887,"1,62","1164,81",547,"2,05","266,83",551,"2,16","255,09",369,"1,34","275,37",38,"0,10","380,00",42,"0,11","381,82",44,"0,10","440,00"
1339,"1,23","1088,62",1257,"1,37","917,52",1361,"1,27","1071,65",1326,"1,29","1027,91",1789,"2,00","894,50",2002,"1,87","1070,59",1886,"1,53","1232,68",1777,"1,82","976,37",1257,"1,12","1122,32",545,"1,98","275,25",548,"2,11","259,72",538,"2,06","261,17",44,"0,09","488,89",43,"0,11","390,91",42,"0,10","420,00"
1402,"1,28","1095,31",1370,"1,49","919,46",1372,"1,28","1071,88",1985,"1,95","1017,95",1719,"1,94","886,08",1547,"1,61","960,87",1872,"1,61","1162,73",1793,"1,75","1024,57",1891,"1,54","1227,92",366,"1,42","257,75",409,"1,54","265,58",549,"2,04","269,12",43,"0,10","430,00",42,"0,11","381,82",44,"0,10","440,00"
1406,"1,21","1161,98",1381,"1,44","959,03",1356,"1,17","1158,97",1993,"1,86","1071,51",1876,"2,14","876,64",1911,"2,01","950,75",1245,"1,09","1142,20",1701,"1,71","994,74",1872,"1,67","1120,96",532,"2,06","258,25",530,"2,11","251,18",365,"1,40","260,71",41,"0,08","512,50",43,"0,10","430,00",43,"0,11","390,91"
1386,"1,21","1145,45",917,"0,94","975,53",1384,"1,30","1064,62",1320,"1,36","970,59",1895,"2,05","924,39",1958,"2,10","932,38",1880,"1,52","1236,84",1638,"1,68","975,00",1474,"1,32","1116,67",537,"2,06","260,68",535,"2,24","238,84",543,"2,09","259,81",44,"0,11","400,00",43,"0,12","358,33",43,"0,10","430,00"
1399,"1,26","1110,32",1375,"1,36","1011,03",1404,"1,37","1024,82",2002,"1,92","1042,71",1254,"1,46","858,90",1860,"1,95","953,85",1893,"1,50","1262,00",1777,"1,85","960,54",1844,"1,57","1174,52",369,"1,35","273,33",505,"2,07","243,96",545,"2,02","269,80",43,"0,08","537,50",40,"0,11","363,64",44,"0,11","400,00"
1353,"1,22","1109,02",1360,"1,40","971,43",1297,"1,28","1013,28",2019,"1,89","1068,25",1900,"2,07","917,87",1955,"1,99","982,41",1271,"1,05","1210,48",1823,"1,83","996,17",1876,"1,66","1130,12",533,"2,06","258,74",547,"2,08","262,98",363,"1,41","257,45",40,"0,07","571,43",43,"0,11","390,91",43,"0,10","430,00"
1376,"1,29","1066,67",895,"1,01","886,14",1284,"1,18","1088,14",1538,"1,55","992,26",1887,"2,12","890,09",1929,"2,13","905,63",1887,"1,58","1194,30",1212,"1,23","985,37",1775,"1,69","1050,30",541,"2,06","262,62",536,"2,10","255,24",524,"2,03","258,13",41,"0,10","410,00",44,"0,11","400,00",44,"0,12","366,67"
1410,"1,27","1110,24",1339,"1,35","991,85",1401,"1,26","1111,90",1949,"1,80","1082,78",1287,"1,36","946,32",1840,"1,93","953,37",1866,"1,58","1181,01",1792,"1,82","984,62",1863,"1,67","1115,57",364,"1,43","254,55",503,"1,99","252,76",544,"2,03","267,98",43,"0,09","477,78",41,"0,10","410,00",43,"0,11","390,91"
1342,"1,25","1073,60",1357,"1,44","942,36",1385,"1,37","1010,95",1976,"2,00","988,00",1864,"2,21","843,44",1782,"1,85","963,24",1498,"1,28","1170,31",1808,"1,74","1039,08",1892,"1,66","1139,76",541,"2,08","260,10",502,"2,05","244,88",431,"1,53","281,70",44,"0,10","440,00",44,"0,11","400,00",42,"0,10","420,00"
1411,"1,29","1093,80",875,"0,99","883,84",958,"0,82","1168,29",1907,"1,79","1065,36",1895,"2,14","885,51",1950,"2,04","955,88",1798,"1,54","1167,53",1225,"1,19","1029,41",1784,"1,53","1166,01",550,"2,08","264,42",534,"2,12","251,89",525,"1,99","263,82",42,"0,09","466,67",43,"0,09","477,78",44,"0,10","440,00"
1408,"1,25","1126,40",1376,"1,40","982,86",1412,"1,26","1120,63",1954,"1,98","986,87",1290,"1,38","934,78",1954,"2,09","934,93",1886,"1,57","1201,27",1784,"1,82","980,22",1731,"1,46","1185,62",430,"1,60","268,75",537,"2,15","249,77",543,"1,96","277,04",43,"0,10","430,00",40,"0,12","333,33",44,"0,10","440,00"
1327,"1,16","1143,97",1341,"1,43","937,76",1417,"1,26","1124,60",2000,"1,91","1047,12",1898,"2,12","895,28",1338,"1,33","1006,02",1800,"1,51","1192,05",1793,"1,88","953,72",1887,"1,60","1179,38",517,"2,03","254,68",361,"1,47","245,58",516,"1,94","265,98",43,"0,09","477,78",41,"0,08","512,50",42,"0,11","381,82"
1291,"1,25","1032,80",1051,"1,08","973,15",979,"0,78","1255,13",1853,"1,89","980,42",1902,"2,12","897,17",1969,"1,99","989,45",1860,"1,64","1134,15",1202,"1,24","969,35",1867,"1,68","1111,31",539,"2,08","259,13",541,"2,12","255,19",542,"2,04","265,69",42,"0,09","466,67",44,"0,11","400,00",45,"0,10","450,00"
1412,"1,28","1103,12",1309,"1,31","999,24",1399,"1,33","1051,88",1807,"1,74","1038,51",1513,"1,63","928,22",1946,"2,06","944,66",1889,"1,54","1226,62",1782,"1,83","973,77",1280,"1,08","1185,19",530,"1,93","274,61",543,"2,14","253,74",535,"1,97","271,57",43,"0,10","430,00",43,"0,12","358,33",44,"0,10","440,00"
1414,"1,20","1178,33",1344,"1,42","946,48",1392,"1,30","1070,77",1990,"1,86","1069,89",1829,"2,12","862,74",1314,"1,34","980,60",1762,"1,53","1151,63",1799,"1,77","1016,38",1880,"1,66","1132,53",524,"2,11","248,34",361,"1,53","235,95",504,"1,90","265,26",42,"0,08","525,00",42,"0,11","381,82",41,"0,08","512,50"
951,"0,88","1080,68",1263,"1,34","942,54",956,"0,88","1086,36",1971,"1,94","1015,98",1877,"2,16","868,98",1983,"1,91","1038,22",1724,"1,47","1172,79",1423,"1,40","1016,43",1858,"1,64","1132,93",548,"2,07","264,73",537,"2,04","263,24",509,"1,86","273,66",43,"0,09","477,78",43,"0,11","390,91",40,"0,09","444,44"
1425,"1,26","1130,95",1342,"1,43","938,46",1375,"1,30","1057,69",1332,"1,29","1032,56",1835,"1,99","922,11",1958,"2,01","974,13",1898,"1,52","1248,68",1738,"1,73","1004,62",1259,"1,18","1066,95",510,"1,90","268,42",535,"2,14","250,00",544,"2,10","259,05",43,"0,10","430,00",43,"0,11","390,91",44,"0,11","400,00"
1413,"1,33","1062,41",1349,"1,37","984,67",1405,"1,21","1161,16",2006,"1,82","1102,20",1839,"2,25","817,33",1311,"1,38","950,00",1877,"1,56","1203,21",1789,"1,81","988,40",1876,"1,71","1097,08",541,"2,11","256,40",369,"1,44","256,25",541,"2,11","256,40",42,"0,10","420,00",42,"0,12","350,00",44,"0,11","400,00"
962,"0,82","1173,17",1264,"1,29","979,84",1117,"0,94","1188,30",1995,"1,98","1007,58",1913,"2,06","928,64",1957,"2,00","978,50",1263,"1,08","1169,44",1720,"1,71","1005,85",1833,"1,75","1047,43",550,"2,16","254,63",542,"2,13","254,46",363,"1,37","264,96",43,"0,10","430,00",43,"0,10","430,00",42,"0,09","466,67"
1418,"1,24","1143,55",1234,"1,30","949,23",1362,"1,26","1080,95",1371,"1,28","1071,09",1784,"1,97","905,58",1984,"1,93","1027,98",1890,"1,56","1211,54",1746,"1,83","954,10",1272,"1,14","1115,79",514,"1,86","276,34",527,"2,14","246,26",553,"2,03","272,41",43,"0,10","430,00",42,"0,12","350,00",45,"0,10","450,00"
1420,"1,33","1067,67",1355,"1,40","967,86",1397,"1,22","1145,08",2018,"1,87","1079,14",1734,"1,88","922,34",1572,"1,53","1027,45",1857,"1,63","1139,26",1809,"1,78","1016,29",1900,"1,61","1180,12",492,"1,94","253,61",425,"1,63","260,74",530,"2,05","258,54",40,"0,09","444,44",42,"0,10","420,00",43,"0,10","430,00"
962,"0,87","1105,75",1345,"1,46","921,23",1375,"1,09","1261,47",1963,"1,97","996,45",1921,"2,05","937,07",1911,"1,94","985,05",1271,"1,07","1187,85",1709,"1,69","1011,24",1856,"1,69","1098,22",550,"2,05","268,29",537,"2,09","256,94",371,"1,42","261,27",40,"0,08","500,00",42,"0,10","420,00",43,"0,12","358,33"
1429,"1,25","1143,20",904,"0,91","993,41",1389,"1,20","1157,50",1355,"1,26","1075,40",1914,"2,11","907,11",1939,"2,05","945,85",1875,"1,64","1143,29",1617,"1,61","1004,35",1494,"1,31","1140,46",549,"2,10","261,43",539,"2,18","247,25",545,"2,13","255,87",44,"0,10","440,00",41,"0,10","410,00",44,"0,11","400,00"
1415,"1,28","1105,47",1347,"1,43","941,96",1407,"1,28","1099,22",1980,"1,97","1005,08",1284,"1,39","923,74",1925,"1,87","1029,41",1893,"1,54","1229,22",1810,"1,76","1028,41",1787,"1,70","1051,18",364,"1,47","247,62",523,"2,03","257,64",551,"2,02","272,77",43,"0,10","430,00",43,"0,10","430,00",42,"0,10","420,00"
1127,"1,02","1104,90",1332,"1,45","918,62",1321,"1,14","1158,77",1942,"2,06","942,72",1925,"2,09","921,05",1944,"1,93","1007,25",1261,"1,11","1136,04",1802,"1,79","1006,70",1867,"1,65","1131,52",538,"2,02","266,34",540,"2,06","262,14",360,"1,34","268,66",29,"0,07","414,29",43,"0,11","390,91",44,"0,12","366,67"
1408,"1,18","1193,22",913,"0,94","971,28",1265,"1,17","1081,20",1558,"1,53","1018,30",1939,"1,96","989,29",1935,"2,09","925,84",1886,"1,56","1208,97",1213,"1,22","994,26",1805,"1,67","1080,84",549,"2,15","255,35",532,"2,10","253,33",541,"2,10","257,62",43,"0,10","430,00",40,"0,11","363,64",44,"0,10","440,00"
1414,"1,33","1063,16",1369,"1,32","1037,12",1409,"1,27","1109,45",1966,"1,79","1098,32",1293,"1,41","917,02",1823,"1,93","944,56",1887,"1,56","1209,62",1786,"1,82","981,32",1864,"1,59","1172,33",353,"1,40","252,14",502,"1,96","256,12",552,"2,05","269,27",43,"0,08","537,50",44,"0,11","400,00",42,"0,08","525,00"
1369,"1,18","1160,17",1351,"1,40","965,00",1409,"1,20","1174,17",1992,"1,92","1037,50",1941,"2,02","960,89",1811,"1,83","989,62",1480,"1,30","1138,46",1806,"1,73","1043,93",1868,"1,65","1132,12",529,"2,08","254,33",505,"1,96","257,65",425,"1,60","265,62",29,"0,07","414,29",43,"0,09","477,78",44,"0,10","440,00"
1402,"1,24","1130,65",928,"0,91","1019,78",926,"0,91","1017,58",1925,"1,74","1106,32",1909,"2,06","926,70",1971,"1,99","990,45",1853,"1,50","1235,33",1216,"1,20","1013,33",1774,"1,56","1137,18",546,"2,05","266,34",541,"2,15","251,63",542,"2,00","271,00",44,"0,10","440,00",41,"0,11","372,73",45,"0,11","409,09"
1411,"1,30","1085,38",1391,"1,29","1078,29",1398,"1,30","1075,38",2010,"1,87","1074,87",1253,"1,48","846,62",1962,"2,00","981,00",1894,"1,55","1221,94",1781,"1,80","989,44",1715,"1,48","1158,78",368,"1,37","268,61",533,"2,12","251,42",552,"2,04","270,59",43,"0,11","390,91",40,"0,11","363,64",41,"0,10","410,00"
1343,"1,19","1128,57",1339,"1,40","956,43",1410,"1,32","1068,18",1987,"1,94","1024,23",1889,"2,17","870,51",1339,"1,28","1046,09",1772,"1,59","1114,47",1807,"1,78","1015,17",1884,"1,60","1177,50",539,"2,12","254,25",356,"1,52","234,21",508,"1,97","257,87",30,"0,06","500,00",43,"0,11","390,91",44,"0,09","488,89"
1299,"1,18","1100,85",1063,"1,11","957,66",947,"0,82","1154,88",1888,"1,74","1085,06",1907,"2,04","934,80",1949,"2,02","964,85",1864,"1,58","1179,75",1217,"1,17","1040,17",1861,"1,65","1127,88",544,"2,03","267,98",544,"2,09","260,29",551,"2,02","272,77",43,"0,10","430,00",43,"0,10","430,00",45,"0,11","409,09"
1424,"1,21","1176,86",1333,"1,37","972,99",1399,"1,34","1044,03",1849,"1,70","1087,65",1468,"1,76","834,09",1966,"1,99","987,94",1898,"1,61","1178,88",1788,"1,80","993,33",1254,"1,09","1150,46",419,"1,62","258,64",540,"2,21","244,34",540,"2,01","268,66",43,"0,09","477,78",41,"0,10","410,00",40,"0,10","400,00"
1409,"1,25","1127,20",1347,"1,36","990,44",1441,"1,23","1171,54",1986,"1,87","1062,03",1801,"2,13","845,54",1329,"1,33","999,25",1791,"1,48","1210,14",1817,"1,79","1015,08",1884,"1,68","1121,43",540,"2,08","259,62",372,"1,40","265,71",503,"1,92","261,98",35,"0,08","437,50",43,"0,11","390,91",42,"0,10","420,00"
947,"0,86","1101,16",1283,"1,38","929,71",942,"0,84","1121,43",2004,"1,85","1083,24",1879,"2,18","861,93",1929,"2,07","931,88",1742,"1,42","1226,76",1419,"1,40","1013,57",1886,"1,64","1150,00",546,"2,12","257,55",534,"2,22","240,54",504,"1,92","262,50",43,"0,10","430,00",44,"0,11","400,00",44,"0,11","400,00"
