rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
1035;1666;1031;1134;1175;1685;1400;1996;1358;624;315;466;39;31;40
1682;1103;1728;748;1464;1288;1460;1860;1419;485;295;471;43;39;29
1343;852;684;1519;347;1807;1646;1411;1610;497;554;290;29;42;40
1713;1322;1194;2314;1500;2221;2069;1128;1915;516;412;612;43;40;44
729;1170;1021;1737;980;1791;1567;1378;2697;566;356;569;43;40;40
1069;953;585;1425;1198;1711;821;858;1732;556;513;242;30;39;39
1105;907;939;1827;1430;1362;1595;805;1375;387;560;444;42;43;43
1083;587;1278;973;1588;2110;1282;1749;1116;590;408;442;43;41;40
1012;715;1695;2035;1094;2321;1591;1601;1438;254;475;455;30;43;40
1141;1515;1010;859;1808;1595;1439;1084;1764;562;441;419;37;41;43
708;910;1590;2046;1724;1947;1455;1883;2079;386;536;506;41;41;44
1719;833;1206;902;1363;1792;1737;951;1386;427;527;393;35;43;39
1076;759;1323;2203;1730;1638;1474;1937;2430;505;481;441;39;42;42
1164;1375;1328;1622;1112;2157;1560;1362;954;519;438;434;41;42;43
1220;829;781;1530;2019;1574;1422;1986;2722;318;464;513;39;41;37
792;1245;1159;1011;1719;1272;1125;919;1578;515;468;290;28;41;43
1488;1080;1123;2100;1463;1586;839;1553;1526;435;422;659;43;43;38
1642;1490;1301;1035;2130;1213;2253;1247;1625;359;429;460;43;38;39
898;1111;1438;1469;1699;1260;1318;1337;1682;569;530;306;30;40;42
1567;968;1223;1721;1465;1370;1419;1243;2095;577;541;351;44;43;42
1453;1367;1296;1551;1537;1759;1281;2529;1389;490;324;404;43;43;42
1566;1289;1069;1436;2128;1593;987;1280;1531;561;455;345;30;39;43
1786;1693;1130;2047;1470;2151;1248;1977;2076;464;528;602;40;36;41
1348;1036;1332;2193;1784;2171;1192;1554;1336;559;419;504;42;43;43
1361;1895;1310;2355;1645;760;1347;1394;865;491;527;386;33;39;39
1058;953;926;1959;2078;1651;1618;1559;972;366;415;486;41;42;40
1091;1295;1431;2513;1699;2783;1970;1522;1831;521;278;484;43;41;41
1495;1280;1161;1001;2159;1388;920;1507;1436;315;522;481;42;43;43
1464;1630;1273;2445;1314;1076;2321;1303;1830;544;341;551;42;42;42
908;1229;1060;802;1449;741;1595;1167;1479;534;396;494;21;42;42
1468;880;1722;1188;1528;1327;1947;1648;1627;332;432;451;42;42;44
1243;1121;1157;2056;1489;1479;1792;1531;841;446;516;426;40;42;43
1463;835;918;1785;2443;1245;1638;1123;452;476;460;464;32;44;33
1866;1486;1446;569;1680;1985;2157;1908;1666;349;553;604;44;41;43
1367;1169;1134;2098;2380;1768;1574;2127;1559;563;525;341;42;43;40
1436;625;1152;1612;1948;1816;1272;1066;1469;428;450;652;39;39;41
1406;976;1891;2066;1981;1422;1586;1846;1226;302;496;495;40;40;39
1257;1157;1210;2610;2251;736;1213;1397;1632;491;424;373;43;42;37
1257;754;822;1810;1458;2161;1260;1596;1638;435;527;492;42;44;38
871;1450;1094;702;1982;2000;1370;857;1545;585;556;409;37;38;41
1377;1175;1632;1556;792;865;1759;1636;1534;440;429;371;44;36;39
1027;1280;711;2639;2046;1270;1593;2001;2098;523;434;567;41;42;39
1727;1416;1226;797;1385;1454;2151;2148;1141;470;543;501;42;43;44
1176;1000;1108;1320;1335;1976;2171;1577;1764;489;482;490;43;41;40
1153;900;1496;1935;2313;2381;760;1656;1792;523;554;555;41;41;41
1372;1084;1066;722;1524;2176;1651;1330;2070;599;513;621;39;43;43
1086;1898;1381;1627;2012;1130;2783;1682;1278;404;455;470;42;42;43
1300;1134;929;2202;1841;1719;1388;1229;1956;507;485;509;42;43;41
1113;1086;1403;2243;1473;1750;1076;1093;1524;517;423;588;43;42;44
851;1337;1157;983;2188;1482;1310;1223;1273;345;476;529;38;42;42
