ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
707,"4,50","157,11",1445,"4,57","316,19",372,"1,70","218,82",1535,"1,24","1237,90",317,"2,65","119,62",385,"1,86","206,99",26,"0,17","152,94",26,"0,07","371,43"
786,"4,97","158,15",1096,"3,72","294,62",751,"3,48","215,80",1504,"1,19","1263,87",348,"2,99","116,39",380,"1,79","212,29",26,"0,16","162,50",27,"0,08","337,50"
382,"2,56","149,22",708,"2,55","277,65",721,"3,09","233,33",1615,"1,32","1223,48",211,"1,74","121,26",248,"1,15","215,65",17,"0,10","170,00",18,"0,06","300,00"
673,"4,32","155,79",898,"2,85","315,09",1173,"5,10","230,00",2667,"2,20","1212,27",377,"3,01","125,25",400,"1,95","205,13",27,"0,18","150,00",26,"0,07","371,43"
612,"3,96","154,55",1076,"3,64","295,60",1035,"4,63","223,54",1998,"1,61","1240,99",299,"2,39","125,10",420,"1,95","215,38",26,"0,17","152,94",26,"0,08","325,00"
712,"4,69","151,81",686,"2,33","294,42",1030,"4,58","224,89",1835,"1,58","1161,39",245,"1,96","125,00",264,"1,28","206,25",24,"0,15","160,00",25,"0,07","357,14"
485,"3,04","159,54",882,"2,91","303,09",859,"3,87","221,96",1780,"1,49","1194,63",364,"2,87","126,83",400,"2,02","198,02",26,"0,16","162,50",24,"0,08","300,00"
828,"5,33","155,35",1121,"3,76","298,14",688,"3,20","215,00",2670,"2,20","1213,64",338,"2,87","117,77",456,"2,13","214,08",26,"0,17","152,94",26,"0,08","325,00"
722,"4,69","153,94",1507,"5,04","299,01",896,"4,06","220,69",2808,"2,23","1259,19",205,"1,65","124,24",345,"1,65","209,09",26,"0,17","152,94",24,"0,07","342,86"
422,"2,66","158,65",1348,"4,67","288,65",1034,"4,46","231,84",1434,"1,18","1215,25",321,"2,59","123,94",365,"1,81","201,66",25,"0,16","156,25",27,"0,09","300,00"
647,"4,18","154,78",713,"2,45","291,02",632,"2,91","217,18",1682,"1,38","1218,84",317,"2,53","125,30",407,"1,94","209,79",26,"0,18","144,44",27,"0,08","337,50"
