ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
26,"0,21","123,81",20,"0,07","285,71",26,"0,15","173,33",26,"0,04","650,00",14,"0,14","100,00",17,"0,10","170,00",13,"0,09","144,44",9,"0,03","300,00"
27,"0,20","135,00",25,"0,09","277,78",21,"0,11","190,91",27,"0,04","675,00",18,"0,16","112,50",15,"0,08","187,50",13,"0,09","144,44",14,"0,04","350,00"
21,"0,16","131,25",27,"0,11","245,45",27,"0,14","192,86",22,"0,03","733,33",18,"0,16","112,50",18,"0,10","180,00",9,"0,07","128,57",13,"0,05","260,00"
26,"0,20","130,00",27,"0,11","245,45",27,"0,14","192,86",27,"0,04","675,00",17,"0,16","106,25",18,"0,10","180,00",13,"0,09","144,44",11,"0,04","275,00"
26,"0,20","130,00",26,"0,09","288,89",24,"0,12","200,00",27,"0,03","900,00",18,"0,17","105,88",18,"0,09","200,00",13,"0,10","130,00",13,"0,05","260,00"
26,"0,20","130,00",27,"0,11","245,45",25,"0,13","192,31",26,"0,04","650,00",18,"0,18","100,00",17,"0,10","170,00",12,"0,08","150,00",12,"0,04","300,00"
26,"0,20","130,00",27,"0,09","300,00",27,"0,14","192,86",27,"0,03","900,00",17,"0,16","106,25",18,"0,09","200,00",14,"0,10","140,00",12,"0,04","300,00"
27,"0,20","135,00",26,"0,09","288,89",27,"0,14","192,86",27,"0,04","675,00",18,"0,17","105,88",18,"0,09","200,00",13,"0,09","144,44",13,"0,05","260,00"
25,"0,19","131,58",27,"0,11","245,45",25,"0,14","178,57",26,"0,03","866,67",18,"0,17","105,88",18,"0,09","200,00",11,"0,09","122,22",13,"0,04","325,00"
27,"0,20","135,00",26,"0,11","236,36",27,"0,13","207,69",27,"0,04","675,00",17,"0,15","113,33",18,"0,10","180,00",14,"0,11","127,27",12,"0,05","240,00"
26,"0,19","136,84",26,"0,09","288,89",27,"0,14","192,86",28,"0,04","700,00",18,"0,16","112,50",17,"0,09","188,89",13,"0,08","162,50",13,"0,04","325,00"
25,"0,18","138,89",27,"0,12","225,00",26,"0,14","185,71",25,"0,04","625,00",18,"0,17","105,88",18,"0,10","180,00",11,"0,08","137,50",13,"0,04","325,00"
27,"0,21","128,57",26,"0,09","288,89",26,"0,14","185,71",28,"0,04","700,00",17,"0,16","106,25",19,"0,11","172,73",13,"0,10","130,00",12,"0,04","300,00"
27,"0,21","128,57",27,"0,10","270,00",26,"0,14","185,71",27,"0,03","900,00",18,"0,16","112,50",17,"0,09","188,89",13,"0,09","144,44",14,"0,05","280,00"
24,"0,16","150,00",27,"0,11","245,45",27,"0,14","192,86",24,"0,03","800,00",18,"0,17","105,88",18,"0,10","180,00",12,"0,09","133,33",13,"0,04","325,00"
25,"0,21","119,05",26,"0,09","288,89",26,"0,13","200,00",27,"0,03","900,00",17,"0,16","106,25",18,"0,09","200,00",13,"0,09","144,44",12,"0,05","240,00"
26,"0,20","130,00",27,"0,10","270,00",26,"0,13","200,00",27,"0,03","900,00",17,"0,17","100,00",17,"0,10","170,00",14,"0,09","155,56",14,"0,05","280,00"
27,"0,21","128,57",27,"0,10","270,00",27,"0,12","225,00",26,"0,04","650,00",18,"0,17","105,88",19,"0,11","172,73",12,"0,08","150,00",12,"0,04","300,00"
25,"0,19","131,58",25,"0,10","250,00",27,"0,15","180,00",27,"0,04","675,00",18,"0,18","100,00",18,"0,09","200,00",13,"0,09","144,44",12,"0,04","300,00"
27,"0,22","122,73",28,"0,10","280,00",25,"0,12","208,33",27,"0,04","675,00",17,"0,16","106,25",16,"0,09","177,78",13,"0,09","144,44",13,"0,04","325,00"
26,"0,20","130,00",27,"0,11","245,45",27,"0,15","180,00",26,"0,04","650,00",18,"0,18","100,00",17,"0,10","170,00",12,"0,08","150,00",13,"0,04","325,00"
26,"0,19","136,84",24,"0,09","266,67",27,"0,13","207,69",28,"0,04","700,00",18,"0,17","105,88",19,"0,10","190,00",13,"0,09","144,44",13,"0,04","325,00"
26,"0,19","136,84",26,"0,11","236,36",24,"0,11","218,18",27,"0,04","675,00",17,"0,16","106,25",18,"0,10","180,00",13,"0,09","144,44",13,"0,04","325,00"
26,"0,20","130,00",27,"0,10","270,00",25,"0,14","178,57",25,"0,04","625,00",18,"0,16","112,50",17,"0,10","170,00",13,"0,09","144,44",13,"0,04","325,00"
26,"0,18","144,44",27,"0,10","270,00",27,"0,15","180,00",25,"0,04","625,00",18,"0,16","112,50",18,"0,09","200,00",13,"0,10","130,00",12,"0,04","300,00"
27,"0,21","128,57",26,"0,08","325,00",27,"0,14","192,86",28,"0,03","933,33",18,"0,16","112,50",18,"0,10","180,00",13,"0,09","144,44",13,"0,05","260,00"
25,"0,19","131,58",27,"0,10","270,00",26,"0,13","200,00",27,"0,04","675,00",18,"0,17","105,88",18,"0,09","200,00",12,"0,09","133,33",13,"0,04","325,00"
27,"0,21","128,57",26,"0,09","288,89",26,"0,13","200,00",26,"0,04","650,00",17,"0,16","106,25",18,"0,09","200,00",13,"0,09","144,44",12,"0,04","300,00"
26,"0,18","144,44",26,"0,10","260,00",27,"0,13","207,69",27,"0,04","675,00",18,"0,17","105,88",17,"0,10","170,00",13,"0,09","144,44",13,"0,04","325,00"
25,"0,17","147,06",27,"0,10","270,00",26,"0,13","200,00",27,"0,04","675,00",18,"0,16","112,50",18,"0,09","200,00",12,"0,09","133,33",13,"0,05","260,00"
27,"0,20","135,00",26,"0,09","288,89",26,"0,15","173,33",26,"0,03","866,67",17,"0,16","106,25",18,"0,10","180,00",14,"0,11","127,27",11,"0,04","275,00"
27,"0,18","150,00",27,"0,10","270,00",26,"0,14","185,71",28,"0,03","933,33",18,"0,17","105,88",18,"0,09","200,00",13,"0,09","144,44",12,"0,04","300,00"
24,"0,18","133,33",27,"0,11","245,45",27,"0,13","207,69",26,"0,04","650,00",18,"0,15","120,00",18,"0,09","200,00",11,"0,09","122,22",13,"0,04","325,00"
25,"0,19","131,58",26,"0,10","260,00",26,"0,13","200,00",27,"0,04","675,00",16,"0,14","114,29",18,"0,10","180,00",12,"0,10","120,00",13,"0,04","325,00"
27,"0,20","135,00",27,"0,10","270,00",26,"0,13","200,00",27,"0,04","675,00",17,"0,17","100,00",17,"0,09","188,89",13,"0,09","144,44",13,"0,04","325,00"
26,"0,19","136,84",27,"0,09","300,00",27,"0,14","192,86",26,"0,04","650,00",18,"0,16","112,50",18,"0,10","180,00",12,"0,10","120,00",13,"0,05","260,00"
26,"0,21","123,81",25,"0,09","277,78",27,"0,15","180,00",27,"0,04","675,00",18,"0,17","105,88",19,"0,11","172,73",13,"0,09","144,44",12,"0,04","300,00"
26,"0,19","136,84",27,"0,11","245,45",25,"0,13","192,31",27,"0,03","900,00",18,"0,18","100,00",16,"0,10","160,00",13,"0,09","144,44",13,"0,05","260,00"
26,"0,19","136,84",27,"0,10","270,00",27,"0,13","207,69",26,"0,04","650,00",18,"0,17","105,88",17,"0,09","188,89",11,"0,07","157,14",13,"0,04","325,00"
