ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
338;620;423;1068;285;985;166;196;27;20
361;631;466;1126;432;712;156;212;28;30
363;656;322;955;454;1034;179;139;20;30
358;654;444;1057;427;1039;180;208;27;27
365;646;461;1122;446;704;167;211;28;30
361;655;437;1139;454;1029;166;141;28;29
358;658;447;768;421;1038;181;207;27;27
366;654;478;1129;417;728;180;207;28;28
363;652;440;1136;445;1005;123;195;28;29
361;645;464;762;446;1037;172;207;27;30
359;646;460;1135;289;1004;176;211;29;28
356;640;437;1134;454;1026;119;194;27;29
364;612;427;758;449;1047;176;193;27;29
363;616;462;1122;309;975;175;209;29;29
361;615;457;1125;448;948;119;205;26;29
366;628;311;881;446;1051;174;140;28;28
365;614;462;1103;298;1041;175;206;28;29
360;628;454;1122;437;696;138;205;27;30
357;605;319;1055;438;1040;176;141;29;28
372;627;467;1012;357;1046;178;205;28;30
361;632;468;1121;438;689;167;205;26;28
372;610;315;1125;451;1040;178;141;26;27
366;628;464;744;432;1037;176;210;29;29
361;624;474;1122;438;696;163;208;27;29
365;617;362;1123;447;1044;162;163;27;26
368;631;452;749;425;1037;179;205;28;28
365;628;462;1136;413;820;178;210;28;28
368;622;444;1115;443;1017;116;197;26;29
358;622;465;754;454;1040;175;206;29;28
356;625;449;1121;302;999;177;204;27;29
360;617;434;1121;437;1038;120;194;28;29
360;613;420;889;450;1041;176;192;28;27
368;607;462;1081;306;976;178;208;27;29
366;624;471;1127;448;944;120;210;29;28
363;622;309;1070;447;1047;177;139;28;28
370;627;461;1098;304;1035;179;207;26;29
370;622;459;1134;445;701;140;206;27;28
357;623;312;1061;455;1047;171;139;28;29
371;620;463;1023;360;1035;178;208;28;29
372;616;462;1130;438;707;170;204;27;27
365;612;311;1115;440;1044;177;138;28;29
368;633;460;756;429;1033;177;207;28;29
362;636;461;1130;426;706;168;205;27;27
362;173;363;1112;455;1040;163;161;28;27
365;588;454;757;417;1040;179;203;29;29
367;618;457;1122;407;823;176;208;27;29
369;602;445;1125;448;1013;118;194;28;27
355;607;461;766;452;1038;178;209;28;28
361;623;460;1132;296;1000;178;205;28;29
371;596;434;1126;452;1023;117;194;29;28
