ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
547;770;423;884;288;330;27;27
585;848;691;1045;216;345;27;18
475;731;671;1134;303;235;18;26
542;842;479;1122;306;348;26;27
582;843;692;763;296;346;27;21
570;799;687;1127;308;238;25;26
553;775;483;1131;307;354;26;27
591;844;681;757;293;350;26;25
560;842;692;1139;281;246;25;27
560;561;662;1131;312;346;25;27
583;857;690;755;308;359;26;25
566;852;686;1133;209;331;27;27
570;546;665;1140;309;348;26;26
581;853;644;878;309;349;26;25
553;849;692;1116;206;326;26;25
586;567;685;1140;307;319;27;26
572;849;467;1081;313;351;26;26
552;845;689;1143;210;353;26;26
547;654;704;1133;305;241;26;25
561;836;470;1071;309;345;27;26
590;854;693;1052;248;350;25;26
393;798;691;1150;300;237;27;27
567;850;468;1147;312;352;27;25
584;846;691;780;299;350;25;27
393;783;700;1138;303;237;26;26
577;790;525;1125;309;352;26;25
578;851;681;775;290;345;24;27
397;838;690;1131;281;276;24;26
577;566;659;1115;312;346;26;25
577;847;688;760;307;350;25;23
454;842;700;1132;208;341;26;26
573;566;639;1140;311;357;26;27
574;856;627;894;309;354;25;25
552;831;695;1110;206;329;26;26
587;567;690;1137;314;325;27;26
577;848;462;1079;311;357;25;25
551;851;690;1118;208;357;26;27
537;654;693;1123;314;240;27;25
582;833;461;1060;313;350;24;26
581;850;691;1055;240;358;25;27
390;817;704;1143;305;238;27;25
572;851;462;1127;309;350;26;26
579;848;691;757;294;357;18;27
395;789;692;1131;308;238;27;25
575;792;545;1125;308;345;26;27
588;847;662;761;291;352;18;26
394;852;698;1125;282;278;27;25
581;560;637;1139;309;343;26;27
586;851;672;758;311;351;18;26
448;850;693;1135;211;337;27;25
