ecdsa-secp384,P-521,,ecdsa-secp384,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
342,"4,86","70,37",491,"2,78","176,62",285,"2,58","110,47",750,"0,70","1071,43",435,"3,70","117,57",759,"0,75","1012,00",172,"2,28","75,44",163,"0,85","191,76",29,"0,32","90,62",17,"0,06","283,33"
238,"3,21","74,14",799,"4,58","174,45",271,"2,43","111,52",1202,"1,24","969,35",283,"2,64","107,20",1486,"1,53","971,24",113,"1,53","73,86",217,"1,12","193,75",26,"0,34","76,47",20,"0,08","250,00"
279,"4,17","66,91",805,"4,51","178,49",352,"3,06","115,03",1145,"1,14","1004,39",515,"4,77","107,97",898,"0,93","965,59",160,"2,26","70,80",199,"1,03","193,20",18,"0,23","78,26",27,"0,11","245,45"
352,"5,27","66,79",463,"2,63","176,05",435,"3,98","109,30",695,"0,72","965,28",500,"4,43","112,87",1725,"1,76","980,11",164,"2,37","69,20",209,"0,95","220,00",26,"0,33","78,79",26,"0,09","288,89"
301,"4,27","70,49",713,"4,12","173,06",511,"4,55","112,31",1031,"1,10","937,27",357,"3,15","113,33",1029,"1,06","970,75",146,"1,97","74,11",226,"1,05","215,24",27,"0,32","84,38",25,"0,09","277,78"
379,"5,40","70,19",783,"4,39","178,36",441,"4,10","107,56",947,"0,92","1029,35",452,"3,95","114,43",849,"0,82","1035,37",152,"2,04","74,51",256,"1,17","218,80",16,"0,21","76,19",24,"0,10","240,00"
388,"5,47","70,93",709,"4,00","177,25",550,"5,11","107,63",519,"0,54","961,11",395,"3,62","109,12",1462,"1,46","1001,37",148,"2,18","67,89",183,"0,87","210,34",26,"0,33","78,79",25,"0,10","250,00"
404,"5,56","72,66",644,"3,76","171,28",469,"4,53","103,53",1259,"1,21","1040,50",498,"4,15","120,00",891,"0,91","979,12",157,"2,18","72,02",227,"1,10","206,36",26,"0,35","74,29",22,"0,09","244,44"
332,"4,83","68,74",590,"3,30","178,79",446,"4,32","103,24",1431,"1,53","935,29",609,"5,56","109,53",1185,"1,18","1004,24",180,"2,59","69,50",231,"1,05","220,00",20,"0,25","80,00",27,"0,10","270,00"
