secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
297;389;348;304;474
360;585;247;629;575
547;513;323;291;503
467;501;387;484;384
353;418;272;388;540
586;481;349;288;412
283;271;392;467;463
487;511;289;447;594
331;518;393;279;259
455;657;297;395;532
473;438;523;650;632
334;402;328;591;475
415;500;330;254;520
363;551;433;312;473
322;417;415;328;312
586;375;455;351;597
331;641;232;224;494
332;191;350;463;401
540;402;373;304;602
354;500;339;629;559
304;551;382;291;669
348;417;354;484;426
264;375;233;388;259
393;641;244;288;432
393;191;456;467;550
251;267;419;447;634
284;511;312;279;682
217;647;358;395;354
506;505;342;650;594
285;312;336;591;423
280;375;293;254;509
192;607;442;312;367
369;424;269;493;588
459;339;353;247;662
348;503;307;333;472
525;492;221;625;312
360;443;238;347;589
317;391;303;477;548
259;563;179;227;605
418;373;393;438;474
353;350;365;373;575
421;194;221;563;503
438;453;374;483;384
438;497;420;366;540
141;519;368;262;412
410;534;180;484;463
365;458;348;509;594
191;512;268;460;259
247;407;301;429;532
474;526;365;429;632
