secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
236,"3,34","70,66",263,"4,20","62,62",573,"3,41","168,04"
313,"3,94","79,44",320,"4,98","64,26",357,"1,99","179,40"
298,"3,94","75,63",168,"2,62","64,12",419,"2,53","165,61"
266,"3,40","78,24",206,"3,18","64,78",486,"2,82","172,34"
262,"3,29","79,64",149,"2,39","62,34",298,"1,75","170,29"
263,"3,39","77,58",148,"2,37","62,45",516,"3,06","168,63"
240,"3,15","76,19",221,"3,48","63,51",288,"1,71","168,42"
232,"3,03","76,57",268,"4,26","62,91",384,"2,38","161,34"
295,"3,86","76,42",180,"2,90","62,07",317,"1,86","170,43"
260,"3,65","71,23",252,"4,03","62,53",446,"2,55","174,90"
291,"3,90","74,62",208,"3,29","63,22",541,"3,39","159,59"
263,"3,39","77,58",230,"3,70","62,16",302,"1,74","173,56"
240,"3,15","76,19",186,"3,04","61,18",444,"2,58","172,09"
232,"3,03","76,57",270,"4,29","62,94",298,"1,90","156,84"
295,"3,86","76,42",172,"2,74","62,77",459,"2,70","170,00"
260,"3,65","71,23",247,"4,04","61,14",325,"1,99","163,32"
291,"3,90","74,62",216,"3,38","63,91",382,"2,30","166,09"
316,"3,99","79,20",119,"1,98","60,10",558,"3,17","176,03"
292,"3,67","79,56",244,"3,84","63,54",372,"2,32","160,34"
263,"3,31","79,46",246,"3,81","64,57",371,"2,18","170,18"
287,"3,74","76,74",158,"2,59","61,00",375,"2,30","163,04"
369,"4,59","80,39",201,"2,96","67,91",367,"2,24","163,84"
344,"4,37","78,72",238,"3,72","63,98",347,"2,10","165,24"
250,"3,39","73,75",281,"4,43","63,43",477,"2,85","167,37"
297,"3,88","76,55",280,"4,49","62,36",459,"2,83","162,19"
208,"2,90","71,72",233,"3,84","60,68",408,"2,25","181,33"
370,"4,76","77,73",250,"3,87","64,60",372,"2,19","169,86"
260,"3,26","79,75",235,"3,74","62,83",390,"2,36","165,25"
281,"3,55","79,15",251,"4,07","61,67",303,"1,75","173,14"
168,"2,23","75,34",257,"3,68","69,84",612,"3,68","166,30"
309,"4,06","76,11",184,"2,97","61,95",305,"1,88","162,23"
229,"2,98","76,85",129,"1,86","69,35",493,"2,95","167,12"
140,"1,83","76,50",264,"3,80","69,47",596,"3,64","163,74"
383,"4,93","77,69",216,"3,14","68,79",400,"2,43","164,61"
297,"3,90","76,15",168,"2,59","64,86",289,"1,79","161,45"
123,"1,66","74,10",250,"3,78","66,14",534,"3,17","168,45"
329,"4,27","77,05",158,"2,43","65,02",331,"1,99","166,33"
349,"4,57","76,37",194,"2,94","65,99",402,"2,41","166,80"
234,"3,07","76,22",242,"3,74","64,71",318,"1,88","169,15"
253,"3,25","77,85",232,"3,58","64,80",296,"1,66","178,31"
179,"2,35","76,17",250,"3,77","66,31",376,"2,09","179,90"
219,"2,84","77,11",287,"4,10","70,00",458,"2,57","178,21"
320,"4,27","74,94",259,"4,10","63,17",269,"1,57","171,34"
253,"3,31","76,44",246,"3,78","65,08",261,"1,53","170,59"
325,"4,29","75,76",195,"2,82","69,15",480,"2,64","181,82"
189,"2,50","75,60",196,"2,99","65,55",591,"3,33","177,48"
174,"2,33","74,68",271,"3,91","69,31",224,"1,23","182,11"
202,"2,65","76,23",209,"3,00","69,67",414,"2,27","182,38"
241,"3,17","76,03",225,"3,29","68,39",427,"2,36","180,93"
235,"3,04","77,30",254,"3,66","69,40",414,"2,30","180,00"
