ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
173,"0,18","961,11",542,"0,47","1153,19",490,"1,30","376,92",343,"0,38","902,63",657,"0,59","1113,56"
332,"0,32","1037,50",652,"0,54","1207,41",579,"1,48","391,22",356,"0,39","912,82",311,"0,28","1110,71"
355,"0,35","1014,29",770,"0,66","1166,67",446,"1,20","371,67",731,"0,78","937,18",788,"0,70","1125,71"
573,"0,56","1023,21",571,"0,50","1142,00",561,"1,43","392,31",675,"0,71","950,70",809,"0,71","1139,44"
694,"0,66","1051,52",256,"0,22","1163,64",441,"1,19","370,59",385,"0,42","916,67",464,"0,43","1079,07"
717,"0,71","1009,86",556,"0,47","1182,98",171,"0,47","363,83",764,"0,87","878,16",759,"0,68","1116,18"
424,"0,41","1034,15",584,"0,51","1145,10",736,"2,00","368,00",361,"0,43","839,53",722,"0,63","1146,03"
453,"0,48","943,75",559,"0,47","1189,36",582,"1,59","366,04",835,"0,89","938,20",587,"0,53","1107,55"
426,"0,41","1039,02",628,"0,52","1207,69",244,"0,65","375,38",770,"0,81","950,62",412,"0,35","1177,14"
497,"0,50","994,00",460,"0,42","1095,24",647,"1,63","396,93",629,"0,69","911,59",566,"0,50","1132,00"
276,"0,29","951,72",291,"0,25","1164,00",551,"1,41","390,78",667,"0,70","952,86",312,"0,29","1075,86"
805,"0,78","1032,05",770,"0,66","1166,67",221,"0,62","356,45",358,"0,38","942,11",668,"0,56","1192,86"
475,"0,49","969,39",571,"0,50","1142,00",490,"1,30","376,92",391,"0,41","953,66",954,"0,88","1084,09"
580,"0,57","1017,54",256,"0,22","1163,64",579,"1,48","391,22",346,"0,39","887,18",566,"0,50","1132,00"
561,"0,54","1038,89",556,"0,47","1182,98",446,"1,20","371,67",496,"0,54","918,52",312,"0,29","1075,86"
450,"0,45","1000,00",584,"0,51","1145,10",561,"1,43","392,31",656,"0,69","950,72",668,"0,56","1192,86"
660,"0,68","970,59",559,"0,47","1189,36",441,"1,19","370,59",459,"0,50","918,00",954,"0,88","1084,09"
536,"0,52","1030,77",628,"0,52","1207,69",171,"0,47","363,83",832,"0,88","945,45",657,"0,59","1113,56"
632,"0,62","1019,35",460,"0,42","1095,24",736,"2,00","368,00",722,"0,82","880,49",311,"0,28","1110,71"
392,"0,40","980,00",291,"0,25","1164,00",582,"1,59","366,04",158,"0,17","929,41",788,"0,70","1125,71"
681,"0,67","1016,42",542,"0,47","1153,19",244,"0,65","375,38",344,"0,38","905,26",809,"0,71","1139,44"
577,"0,56","1030,36",652,"0,54","1207,41",647,"1,63","396,93",379,"0,42","902,38",464,"0,43","1079,07"
1055,"1,00","1055,00",671,"0,55","1220,00",551,"1,41","390,78",607,"0,64","948,44",759,"0,68","1116,18"
578,"0,56","1032,14",638,"0,53","1203,77",221,"0,62","356,45",367,"0,40","917,50",722,"0,63","1146,03"
509,"0,51","998,04",549,"0,49","1120,41",531,"1,51","351,66",379,"0,42","902,38",587,"0,53","1107,55"
766,"0,75","1021,33",479,"0,41","1168,29",492,"1,33","369,92",607,"0,64","948,44",412,"0,35","1177,14"
579,"0,56","1033,93",656,"0,59","1111,86",246,"0,67","367,16",367,"0,40","917,50",402,"0,37","1086,49"
491,"0,49","1002,04",693,"0,59","1174,58",438,"1,14","384,21",346,"0,39","887,18",302,"0,28","1078,57"
730,"0,71","1028,17",536,"0,46","1165,22",673,"1,72","391,28",496,"0,54","918,52",515,"0,48","1072,92"
610,"0,67","910,45",685,"0,57","1201,75",396,"1,12","353,57",656,"0,69","950,72",504,"0,45","1120,00"
173,"0,18","961,11",503,"0,45","1117,78",325,"0,85","382,35",459,"0,50","918,00",557,"0,50","1114,00"
332,"0,32","1037,50",661,"0,56","1180,36",411,"1,05","391,43",832,"0,88","945,45",465,"0,43","1081,40"
355,"0,35","1014,29",646,"0,55","1174,55",466,"1,22","381,97",722,"0,82","880,49",467,"0,44","1061,36"
573,"0,56","1023,21",745,"0,62","1201,61",627,"1,62","387,04",158,"0,17","929,41",263,"0,24","1095,83"
694,"0,66","1051,52",381,"0,33","1154,55",442,"1,15","384,35",344,"0,38","905,26",535,"0,45","1188,89"
717,"0,71","1009,86",523,"0,48","1089,58",375,"0,99","378,79",343,"0,38","902,63",714,"0,64","1115,62"
424,"0,41","1034,15",802,"0,74","1083,78",565,"1,45","389,66",356,"0,39","912,82",670,"0,61","1098,36"
453,"0,48","943,75",766,"0,72","1063,89",489,"1,27","385,04",731,"0,78","937,18",370,"0,33","1121,21"
426,"0,41","1039,02",360,"0,34","1058,82",384,"1,03","372,82",675,"0,71","950,70",539,"0,46","1171,74"
497,"0,50","994,00",708,"0,64","1106,25",337,"0,87","387,36",385,"0,42","916,67",473,"0,44","1075,00"
276,"0,29","951,72",851,"0,82","1037,80",422,"1,09","387,16",764,"0,87","878,16",636,"0,62","1025,81"
805,"0,78","1032,05",597,"0,57","1047,37",360,"0,92","391,30",361,"0,43","839,53",571,"0,56","1019,64"
475,"0,49","969,39",503,"0,49","1026,53",260,"0,67","388,06",835,"0,89","938,20",371,"0,32","1159,38"
580,"0,57","1017,54",605,"0,63","960,32",753,"2,00","376,50",770,"0,81","950,62",509,"0,45","1131,11"
561,"0,54","1038,89",793,"0,67","1183,58",379,"1,00","379,00",629,"0,69","911,59",728,"0,67","1086,57"
450,"0,45","1000,00",600,"0,51","1176,47",399,"1,11","359,46",667,"0,70","952,86",488,"0,42","1161,90"
