ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
173;542;490;343;657
332;652;579;356;311
355;770;446;731;788
573;571;561;675;809
694;256;441;385;464
717;556;171;764;759
424;584;736;361;722
453;559;582;835;587
426;628;244;770;412
497;460;647;629;566
276;291;551;667;312
805;770;221;358;668
475;571;490;391;954
580;256;579;346;566
561;556;446;496;312
450;584;561;656;668
660;559;441;459;954
536;628;171;832;657
632;460;736;722;311
392;291;582;158;788
681;542;244;344;809
577;652;647;379;464
1055;671;551;607;759
578;638;221;367;722
509;549;531;379;587
766;479;492;607;412
579;656;246;367;402
491;693;438;346;302
730;536;673;496;515
610;685;396;656;504
173;503;325;459;557
332;661;411;832;465
355;646;466;722;467
573;745;627;158;263
694;381;442;344;535
717;523;375;343;714
424;802;565;356;670
453;766;489;731;370
426;360;384;675;539
497;708;337;385;473
276;851;422;764;636
805;597;360;361;571
475;503;260;835;371
580;605;753;770;509
561;793;379;629;728
450;600;399;667;488
660;302;538;358;358
536;871;716;745;488
632;670;552;376;383
392;616;345;479;654
