secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
264,"1,70","155,29",375,"1,31","286,26",233,"2,02","115,35",388,"1,62","239,51",259,"0,82","315,85"
393,"2,43","161,73",641,"2,14","299,53",244,"2,07","117,87",288,"1,18","244,07",432,"1,39","310,79"
393,"2,51","156,57",191,"0,63","303,17",456,"3,88","117,53",467,"1,88","248,40",550,"1,84","298,91"
251,"1,63","153,99",267,"0,87","306,90",419,"3,45","121,45",447,"1,76","253,98",634,"1,90","333,68"
284,"1,77","160,45",511,"1,74","293,68",312,"2,60","120,00",279,"1,22","228,69",682,"2,01","339,30"
217,"1,37","158,39",647,"2,20","294,09",358,"3,05","117,38",395,"1,64","240,85",354,"1,12","316,07"
506,"3,24","156,17",505,"1,67","302,40",342,"2,80","122,14",650,"2,52","257,94",594,"1,76","337,50"
285,"1,81","157,46",312,"1,04","300,00",336,"2,85","117,89",591,"2,34","252,56",423,"1,28","330,47"
280,"1,85","151,35",375,"1,30","288,46",293,"2,42","121,07",254,"1,04","244,23",509,"1,48","343,92"
192,"1,20","160,00",607,"2,04","297,55",442,"3,65","121,10",312,"1,38","226,09",367,"1,10","333,64"
369,"2,29","161,14",424,"1,42","298,59",269,"2,25","119,56",493,"1,99","247,74",588,"1,71","343,86"
459,"2,89","158,82",339,"1,14","297,37",353,"3,03","116,50",247,"0,97","254,64",662,"1,86","355,91"
348,"2,25","154,67",503,"1,69","297,63",307,"2,58","118,99",333,"1,29","258,14",472,"1,43","330,07"
525,"3,31","158,61",492,"1,72","286,05",221,"1,81","122,10",625,"2,42","258,26",312,"0,95","328,42"
360,"2,24","160,71",443,"1,50","295,33",238,"2,03","117,24",347,"1,35","257,04",589,"1,67","352,69"
317,"1,95","162,56",391,"1,34","291,79",303,"2,56","118,36",477,"1,83","260,66",548,"1,55","353,55"
259,"1,61","160,87",563,"1,99","282,91",179,"1,56","114,74",227,"0,92","246,74",605,"1,68","360,12"
418,"2,66","157,14",373,"1,25","298,40",393,"3,52","111,65",438,"1,72","254,65",474,"1,41","336,17"
353,"2,19","161,19",350,"1,20","291,67",365,"3,18","114,78",373,"1,50","248,67",575,"1,78","323,03"
421,"2,63","160,08",194,"0,66","293,94",221,"1,90","116,32",563,"2,18","258,26",503,"1,55","324,52"
438,"2,81","155,87",453,"1,49","304,03",374,"3,11","120,26",483,"1,89","255,56",384,"1,28","300,00"
438,"2,76","158,70",497,"1,65","301,21",420,"3,47","121,04",366,"1,39","263,31",540,"1,67","323,35"
141,"0,88","160,23",519,"1,71","303,51",368,"3,04","121,05",262,"1,04","251,92",412,"1,33","309,77"
410,"2,61","157,09",534,"1,79","298,32",180,"1,48","121,62",484,"1,86","260,22",463,"1,49","310,74"
365,"2,41","151,45",458,"1,62","282,72",348,"3,01","115,61",509,"2,03","250,74",594,"1,83","324,59"
191,"1,22","156,56",512,"1,85","276,76",268,"2,27","118,06",460,"1,79","256,98",259,"0,73","354,79"
247,"1,59","155,35",407,"1,40","290,71",301,"2,65","113,58",429,"1,70","252,35",532,"1,68","316,67"
474,"3,04","155,92",526,"1,79","293,85",365,"3,09","118,12",429,"1,73","247,98",632,"2,05","308,29"
