secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
297,"1,94","153,09",389,"1,24","313,71",348,"2,74","127,01",304,"1,27","239,37",474,"1,41","336,17"
360,"2,22","162,16",585,"2,05","285,37",247,"1,88","131,38",629,"2,41","261,00",575,"1,78","323,03"
547,"3,53","154,96",513,"1,75","293,14",323,"2,69","120,07",291,"1,13","257,52",503,"1,55","324,52"
467,"2,86","163,29",501,"1,73","289,60",387,"2,96","130,74",484,"2,01","240,80",384,"1,28","300,00"
353,"2,19","161,19",418,"1,37","305,11",272,"2,15","126,51",388,"1,62","239,51",540,"1,67","323,35"
586,"3,87","151,42",481,"1,68","286,31",349,"2,87","121,60",288,"1,18","244,07",412,"1,33","309,77"
283,"1,78","158,99",271,"0,89","304,49",392,"3,21","122,12",467,"1,88","248,40",463,"1,49","310,74"
487,"3,01","161,79",511,"1,82","280,77",289,"2,34","123,50",447,"1,76","253,98",594,"1,83","324,59"
331,"2,22","149,10",518,"1,76","294,32",393,"3,26","120,55",279,"1,22","228,69",259,"0,73","354,79"
455,"2,83","160,78",657,"2,24","293,30",297,"2,27","130,84",395,"1,64","240,85",532,"1,68","316,67"
473,"3,07","154,07",438,"1,47","297,96",523,"4,21","124,23",650,"2,52","257,94",632,"2,05","308,29"
334,"2,11","158,29",402,"1,34","300,00",328,"2,77","118,41",591,"2,34","252,56",475,"1,53","310,46"
415,"2,67","155,43",500,"1,72","290,70",330,"2,77","119,13",254,"1,04","244,23",520,"1,59","327,04"
363,"2,28","159,21",551,"1,84","299,46",433,"3,51","123,36",312,"1,38","226,09",473,"1,42","333,10"
322,"2,05","157,07",417,"1,43","291,61",415,"3,48","119,25",328,"1,31","250,38",312,"0,92","339,13"
586,"3,69","158,81",375,"1,31","286,26",455,"3,68","123,64",351,"1,42","247,18",597,"1,85","322,70"
331,"2,13","155,40",641,"2,14","299,53",232,"2,01","115,42",224,"0,88","254,55",494,"1,46","338,36"
332,"2,20","150,91",191,"0,63","303,17",350,"2,90","120,69",463,"1,97","235,03",401,"1,18","339,83"
540,"3,51","153,85",402,"1,34","300,00",373,"3,19","116,93",304,"1,27","239,37",602,"1,80","334,44"
354,"2,23","158,74",500,"1,72","290,70",339,"2,81","120,64",629,"2,41","261,00",559,"1,67","334,73"
304,"1,91","159,16",551,"1,84","299,46",382,"3,15","121,27",291,"1,13","257,52",669,"2,06","324,76"
348,"2,17","160,37",417,"1,43","291,61",354,"3,00","118,00",484,"2,01","240,80",426,"1,33","320,30"
