rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
452,"0,52","869,23",445,"0,56","794,64",450,"0,47","957,45",311,"0,37","840,54",428,"0,57","750,88",404,"0,49","824,49",460,"0,53","867,92",453,"0,62","730,65",457,"0,53","862,26",275,"1,18","233,05",280,"1,18","237,29",267,"1,08","247,22",40,"0,09","444,44",28,"0,08","350,00",38,"0,10","380,00"
312,"0,33","945,45",446,"0,57","782,46",454,"0,48","945,83",498,"0,61","816,39",458,"0,65","704,62",493,"0,63","782,54",325,"0,39","833,33",444,"0,58","765,52",422,"0,48","879,17",291,"1,29","225,58",292,"1,27","229,92",290,"1,21","239,67",40,"0,10","400,00",39,"0,11","354,55",30,"0,07","428,57"
443,"0,49","904,08",300,"0,36","833,33",340,"0,38","894,74",500,"0,57","877,19",491,"0,63","779,37",499,"0,58","860,34",484,"0,59","820,34",450,"0,53","849,06",482,"0,48","1004,17",199,"0,82","242,68",241,"1,10","219,09",249,"1,01","246,53",27,"0,07","385,71",40,"0,11","363,64",38,"0,09","422,22"
451,"0,45","1002,22",446,"0,52","857,69",418,"0,45","928,89",346,"0,42","823,81",488,"0,67","728,36",465,"0,63","738,10",486,"0,55","883,64",483,"0,61","791,80",488,"0,52","938,46",287,"1,21","237,19",272,"1,12","242,86",284,"1,23","230,89",38,"0,10","380,00",36,"0,09","400,00",39,"0,08","487,50"
428,"0,45","951,11",447,"0,57","784,21",452,"0,50","904,00",490,"0,56","875,00",467,"0,60","778,33",462,"0,53","871,70",344,"0,35","982,86",485,"0,63","769,84",456,"0,57","800,00",293,"1,24","236,29",294,"1,25","235,20",279,"1,23","226,83",39,"0,08","487,50",36,"0,10","360,00",37,"0,08","462,50"
450,"0,53","849,06",300,"0,32","937,50",450,"0,48","937,50",498,"0,57","873,68",491,"0,67","732,84",498,"0,61","816,39",474,"0,53","894,34",455,"0,57","798,25",445,"0,52","855,77",202,"0,88","229,55",289,"1,28","225,78",278,"1,10","252,73",39,"0,11","354,55",40,"0,12","333,33",40,"0,10","400,00"
450,"0,44","1022,73",441,"0,58","760,34",301,"0,33","912,12",475,"0,55","863,64",482,"0,63","765,08",498,"0,59","844,07",485,"0,55","881,82",477,"0,63","757,14",484,"0,53","913,21",285,"1,21","235,54",277,"1,18","234,75",292,"1,17","249,57",37,"0,10","370,00",37,"0,11","336,36",38,"0,10","380,00"
424,"0,45","942,22",445,"0,52","855,77",452,"0,49","922,45",497,"0,62","801,61",475,"0,59","805,08",336,"0,41","819,51",466,"0,51","913,73",477,"0,59","808,47",488,"0,55","887,27",293,"1,24","236,29",295,"1,19","247,90",288,"1,18","244,07",39,"0,11","354,55",38,"0,09","422,22",36,"0,08","450,00"
415,"0,45","922,22",300,"0,35","857,14",449,"0,47","955,32",500,"0,60","833,33",493,"0,61","808,20",499,"0,55","907,27",486,"0,51","952,94",459,"0,61","752,46",330,"0,38","868,42",280,"1,20","233,33",286,"1,26","226,98",275,"1,03","266,99",38,"0,12","316,67",39,"0,12","325,00",36,"0,10","360,00"
