ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
336;416;362;307;192;196;25;24
344;426;383;496;211;238;16;24
270;345;320;496;223;249;24;19
341;408;354;343;226;232;25;25
339;429;388;486;214;224;16;25
329;418;383;494;224;245;24;21
346;415;258;475;212;241;25;24
341;427;376;499;216;162;19;24
320;414;384;496;226;250;23;24
312;418;255;467;215;249;25;25
345;429;379;457;216;165;22;24
340;403;382;495;228;245;23;23
234;426;249;498;215;242;25;24
345;425;386;334;224;167;24;25
348;402;383;497;231;239;24;23
234;395;301;495;208;237;24;25
346;431;381;334;206;191;24;25
340;431;388;494;229;237;23;23
232;284;357;496;225;239;24;25
346;427;379;332;153;233;25;25
345;428;388;495;221;246;24;23
270;288;356;495;225;243;24;24
334;427;355;386;148;234;25;25
341;425;386;487;227;226;24;24
325;289;377;496;228;244;25;24
336;424;262;472;147;244;23;23
344;423;380;492;225;165;24;24
322;338;387;497;217;244;23;23
316;421;260;465;175;246;23;24
339;427;386;456;220;166;23;24
338;407;382;497;226;244;24;24
230;425;259;493;213;242;25;25
339;431;383;332;221;166;24;22
341;402;385;495;225;245;24;22
231;391;303;494;209;244;25;24
349;430;378;336;208;192;24;24
336;431;382;495;227;242;25;24
230;283;363;498;224;247;24;24
348;426;385;334;152;235;23;24
343;427;382;497;228;237;25;23
267;288;357;497;225;240;23;25
338;424;349;392;147;231;24;24
346;427;384;484;225;223;23;23
328;285;380;496;221;245;23;25
345;431;259;473;151;245;25;23
332;429;379;492;223;164;25;24
324;337;383;495;228;245;23;23
319;419;254;462;176;241;23;23
343;423;379;456;218;163;24;25
346;404;383;498;219;245;24;24
