ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
230;223;206;463;277;439;83;116;25;27
247;362;271;344;291;475;132;141;17;26
209;364;297;480;196;409;134;149;27;20
224;252;297;493;289;437;91;153;27;27
247;353;203;471;284;476;135;100;23;27
248;363;295;489;189;476;134;150;27;26
167;343;299;493;289;322;93;151;26;28
245;359;201;465;289;479;132;102;24;26
251;362;292;450;207;479;136;149;28;27
171;343;292;492;283;321;128;150;26;26
249;336;203;493;293;477;134;105;24;27
246;361;295;331;275;478;133;149;25;24
166;358;297;494;280;323;124;154;27;24
252;248;231;495;289;479;125;118;25;28
246;364;288;331;280;480;131;151;24;26
192;356;297;492;287;377;136;152;27;19
241;244;288;492;286;464;92;146;26;27
242;369;293;331;270;481;137;154;26;27
235;366;293;494;268;458;132;152;27;18
243;247;283;494;286;473;92;140;24;27
248;363;273;389;294;480;135;141;27;27
233;353;302;477;194;454;132;149;26;18
229;288;296;494;289;437;91;149;26;26
241;359;198;470;287;478;134;105;26;27
242;361;299;487;192;478;132;152;26;22
166;348;296;494;290;320;104;155;24;26
244;353;205;461;290;476;132;105;25;27
244;351;296;451;198;475;134;154;27;27
167;340;299;492;289;320;127;152;25;26
246;328;197;493;293;479;133;102;25;26
249;353;294;331;227;477;131;152;26;25
162;355;298;495;291;321;123;156;25;28
244;239;234;493;289;475;124;120;26;27
235;362;289;331;273;477;133;149;26;25
190;364;298;493;290;379;132;155;25;26
249;248;289;491;295;467;92;145;26;27
248;360;290;334;267;477;135;151;26;24
236;359;289;496;272;459;134;156;26;25
249;242;272;493;290;473;88;138;26;27
252;363;268;388;286;481;132;140;27;26
235;366;299;480;193;449;134;150;24;26
229;285;302;495;292;476;89;153;25;28
243;358;198;472;286;482;134;98;26;25
249;362;296;488;190;443;130;152;24;27
167;343;290;495;287;443;101;155;27;27
239;360;200;463;297;480;130;102;27;26
244;360;295;452;203;472;132;156;24;26
168;337;299;497;293;323;125;153;27;28
247;335;199;495;296;481;132;96;27;25
245;358;298;333;227;477;133;152;24;28
