ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
612,"3,87","158,14",1089,"3,32","328,01",746,"3,30","226,06",1851,"1,73","1069,94",332,"2,69","123,42",368,"1,73","212,72",25,"0,15","166,67",18,"0,03","600,00"
720,"4,68","153,85",1156,"3,64","317,58",933,"4,07","229,24",1315,"1,35","974,07",267,"2,08","128,37",345,"1,64","210,37",27,"0,17","158,82",25,"0,07","357,14"
740,"4,69","157,78",1291,"3,77","342,44",936,"4,11","227,74",1969,"1,90","1036,32",327,"2,66","122,93",400,"1,85","216,22",18,"0,11","163,64",28,"0,08","350,00"
707,"4,72","149,79",1263,"3,83","329,77",880,"3,81","230,97",1973,"1,87","1055,08",354,"2,85","124,21",402,"1,87","214,97",28,"0,18","155,56",27,"0,08","337,50"
728,"4,66","156,22",1183,"3,68","321,47",878,"3,80","231,05",1381,"1,25","1104,80",349,"2,76","126,45",375,"1,73","216,76",27,"0,18","150,00",26,"0,07","371,43"
746,"4,70","158,72",1241,"3,90","318,21",952,"4,08","233,33",1928,"1,86","1036,56",338,"2,70","125,19",367,"1,71","214,62",18,"0,11","163,64",26,"0,08","325,00"
721,"4,49","160,58",1228,"3,81","322,31",923,"4,10","225,12",2027,"1,71","1185,38",352,"2,77","127,08",400,"1,84","217,39",27,"0,17","158,82",27,"0,07","385,71"
748,"4,76","157,14",1191,"3,68","323,64",631,"2,79","226,16",1879,"1,79","1049,72",347,"2,80","123,93",395,"1,93","204,66",27,"0,14","192,86",25,"0,06","416,67"
731,"4,78","152,93",1268,"3,79","334,56",926,"4,17","222,06",1999,"1,77","1129,38",337,"2,70","124,81",266,"1,30","204,62",24,"0,14","171,43",27,"0,08","337,50"
679,"4,46","152,24",1240,"3,74","331,55",943,"4,10","230,00",1984,"1,85","1072,43",353,"2,86","123,43",405,"1,90","213,16",26,"0,15","173,33",26,"0,08","325,00"
687,"4,40","156,14",1210,"3,75","322,67",637,"2,66","239,47",1865,"1,72","1084,30",340,"2,67","127,34",399,"1,90","210,00",27,"0,17","158,82",27,"0,06","450,00"
755,"4,60","164,13",1270,"3,89","326,48",937,"4,12","227,43",1850,"1,60","1156,25",340,"2,75","123,64",265,"1,24","213,71",26,"0,17","152,94",26,"0,06","433,33"
761,"4,71","161,57",1209,"3,59","336,77",922,"4,11","224,33",1974,"1,92","1028,12",350,"2,85","122,81",408,"1,93","211,40",27,"0,17","158,82",26,"0,07","371,43"
514,"3,18","161,64",1256,"3,84","327,08",636,"2,82","225,53",1966,"1,92","1023,96",339,"2,59","130,89",400,"1,92","208,33",27,"0,18","150,00",26,"0,07","371,43"
