ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
612;1089;746;1851;332;368;25;18
720;1156;933;1315;267;345;27;25
740;1291;936;1969;327;400;18;28
707;1263;880;1973;354;402;28;27
728;1183;878;1381;349;375;27;26
746;1241;952;1928;338;367;18;26
721;1228;923;2027;352;400;27;27
748;1191;631;1879;347;395;27;25
731;1268;926;1999;337;266;24;27
679;1240;943;1984;353;405;26;26
687;1210;637;1865;340;399;27;27
755;1270;937;1850;340;265;26;26
761;1209;922;1974;350;408;27;26
514;1256;636;1966;339;400;27;26
748;1276;944;1362;342;273;25;26
752;1175;919;2017;351;410;25;26
508;1163;747;2004;331;405;27;27
736;1213;921;1345;317;321;27;27
756;1220;919;1998;358;395;26;25
512;852;878;1988;354;404;27;27
769;1289;935;1358;236;384;27;27
749;1255;938;2012;346;409;26;24
588;853;887;2001;352;410;27;26
740;1256;848;1565;233;377;26;27
720;1275;920;1933;350;376;27;27
701;839;958;1990;350;401;27;25
740;1250;622;1901;241;399;26;27
749;1256;927;1967;348;275;27;26
712;976;927;1991;349;401;27;26
676;1234;643;1869;269;404;25;27
747;1273;925;1854;333;276;28;26
728;1195;938;2000;346;402;27;26
516;1256;640;1989;332;405;25;26
731;1249;920;1343;344;277;27;25
752;1183;933;2015;350;412;27;26
505;1157;744;1996;323;405;24;28
726;1273;897;1347;322;323;26;25
749;1239;955;2011;357;400;27;27
501;843;900;1989;351;404;26;26
710;1242;919;1370;242;384;26;25
760;1240;935;2022;354;406;27;27
576;828;883;1992;354;412;26;28
734;1256;862;1568;237;380;27;24
754;1266;912;1916;358;371;27;25
725;846;943;1993;354;413;26;27
753;1286;623;1920;238;416;26;26
706;1252;923;1972;360;274;27;27
712;985;952;1947;361;408;26;26
695;1229;609;1880;274;397;27;26
734;1250;939;1826;349;275;27;26
