secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
374;434;288;287;678
630;275;335;628;243
570;315;365;560;324
379;607;327;317;390
477;506;528;486;594
591;441;486;805;426
341;307;128;394;697
294;407;352;561;585
523;379;341;275;526
244;580;308;419;439
447;477;301;508;483
594;788;338;331;396
353;512;403;575;840
473;334;433;492;707
367;405;475;630;705
465;888;394;686;556
321;773;218;521;417
623;686;501;643;614
466;576;503;560;654
558;329;284;475;776
537;606;436;483;530
320;970;338;515;637
532;440;201;732;521
558;446;452;594;523
390;564;396;311;471
475;294;263;678;584
258;647;411;523;597
540;798;341;330;674
483;768;405;455;581
578;700;475;545;784
267;381;379;459;723
468;717;375;633;752
505;563;387;376;449
563;524;441;620;538
267;568;171;564;615
455;467;462;663;858
527;400;433;656;649
244;624;316;576;682
485;542;212;603;683
585;457;450;560;574
458;759;361;453;809
583;700;215;749;725
563;428;279;579;750
403;479;290;573;781
527;506;438;500;732
416;441;486;681;511
521;307;553;586;491
411;407;480;885;572
497;379;275;586;606
492;580;419;537;587
