secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
374,"2,32","161,21",434,"1,47","295,24",288,"2,36","122,03",287,"1,11","258,56",678,"2,08","325,96"
630,"3,89","161,95",275,"0,92","298,91",335,"2,60","128,85",628,"2,47","254,25",243,"0,68","357,35"
570,"3,52","161,93",315,"1,03","305,83",365,"2,93","124,57",560,"2,64","212,12",324,"0,95","341,05"
379,"2,37","159,92",607,"1,98","306,57",327,"2,60","125,77",317,"1,42","223,24",390,"1,21","322,31"
477,"2,95","161,69",506,"1,65","306,67",528,"4,37","120,82",486,"1,99","244,22",594,"1,88","315,96"
591,"3,90","151,54",441,"1,47","300,00",486,"3,81","127,56",805,"3,22","250,00",426,"1,26","338,10"
341,"2,11","161,61",307,"0,96","319,79",128,"1,13","113,27",394,"1,57","250,96",697,"2,08","335,10"
294,"1,89","155,56",407,"1,31","310,69",352,"2,94","119,73",561,"2,30","243,91",585,"1,78","328,65"
523,"3,41","153,37",379,"1,23","308,13",341,"2,64","129,17",275,"1,07","257,01",526,"1,57","335,03"
244,"1,52","160,53",580,"1,90","305,26",308,"2,56","120,31",419,"1,68","249,40",439,"1,42","309,15"
447,"2,81","159,07",477,"1,55","307,74",301,"2,36","127,54",508,"1,98","256,57",483,"1,48","326,35"
594,"3,85","154,29",788,"2,78","283,45",338,"2,81","120,28",331,"1,35","245,19",396,"1,19","332,77"
353,"2,14","164,95",512,"1,65","310,30",403,"3,31","121,75",575,"2,28","252,19",840,"2,47","340,08"
473,"3,07","154,07",334,"1,07","312,15",433,"3,69","117,34",492,"1,93","254,92",707,"2,06","343,20"
367,"2,40","152,92",405,"1,30","311,54",475,"3,81","124,67",630,"2,47","255,06",705,"2,18","323,39"
465,"2,93","158,70",888,"3,17","280,13",394,"3,22","122,36",686,"2,79","245,88",556,"1,71","325,15"
321,"2,23","143,95",773,"2,63","293,92",218,"1,87","116,58",521,"2,09","249,28",417,"1,24","336,29"
623,"4,09","152,32",686,"2,41","284,65",501,"4,13","121,31",643,"2,62","245,42",614,"1,87","328,34"
466,"2,96","157,43",576,"1,93","298,45",503,"4,11","122,38",560,"2,33","240,34",654,"2,00","327,00"
558,"3,49","159,89",329,"1,15","286,09",284,"2,32","122,41",475,"1,84","258,15",776,"2,31","335,93"
537,"3,38","158,88",606,"2,14","283,18",436,"3,58","121,79",483,"1,87","258,29",530,"1,53","346,41"
320,"2,09","153,11",970,"3,33","291,29",338,"2,78","121,58",515,"2,02","254,95",637,"1,90","335,26"
532,"3,40","156,47",440,"1,49","295,30",201,"1,66","121,08",732,"2,86","255,94",521,"1,60","325,62"
558,"3,60","155,00",446,"1,47","303,40",452,"3,68","122,83",594,"2,30","258,26",523,"1,52","344,08"
390,"2,50","156,00",564,"2,00","282,00",396,"3,18","124,53",311,"1,25","248,80",471,"1,46","322,60"
475,"2,99","158,86",294,"0,99","296,97",263,"2,17","121,20",678,"2,63","257,79",584,"1,78","328,09"
258,"1,67","154,49",647,"2,19","295,43",411,"3,37","121,96",523,"2,02","258,91",597,"1,87","319,25"
540,"3,44","156,98",798,"2,83","281,98",341,"2,76","123,55",330,"1,36","242,65",674,"2,04","330,39"
483,"3,03","159,41",768,"2,74","280,29",405,"3,34","121,26",455,"1,78","255,62",581,"1,70","341,76"
578,"3,65","158,36",700,"2,46","284,55",475,"3,93","120,87",545,"2,11","258,29",784,"2,40","326,67"
267,"1,71","156,14",381,"1,32","288,64",379,"3,03","125,08",459,"1,78","257,87",723,"2,13","339,44"
468,"2,95","158,64",717,"2,53","283,40",375,"3,13","119,81",633,"2,54","249,21",752,"2,26","332,74"
505,"2,98","169,46",563,"1,87","301,07",387,"3,22","120,19",376,"1,59","236,48",449,"1,30","345,38"
563,"3,71","151,75",524,"1,77","296,05",441,"3,65","120,82",620,"2,48","250,00",538,"1,54","349,35"
267,"1,72","155,23",568,"1,91","297,38",171,"1,46","117,12",564,"2,24","251,79",615,"1,82","337,91"
455,"2,99","152,17",467,"1,59","293,71",462,"3,75","123,20",663,"2,61","254,02",858,"2,51","341,83"
527,"3,37","156,38",400,"1,40","285,71",433,"3,54","122,32",656,"2,58","254,26",649,"1,86","348,92"
244,"1,58","154,43",624,"2,19","284,93",316,"2,58","122,48",576,"2,23","258,30",682,"2,14","318,69"
485,"3,14","154,46",542,"1,95","277,95",212,"1,74","121,84",603,"2,39","252,30",683,"2,05","333,17"
585,"3,67","159,40",457,"1,59","287,42",450,"3,75","120,00",560,"2,21","253,39",574,"1,77","324,29"
458,"2,94","155,78",759,"2,51","302,39",361,"2,95","122,37",453,"1,84","246,20",809,"2,37","341,35"
583,"3,83","152,22",700,"2,47","283,40",215,"1,69","127,22",749,"2,97","252,19",725,"2,14","338,79"
563,"3,67","153,41",428,"1,44","297,22",279,"2,30","121,30",579,"2,31","250,65",750,"2,26","331,86"
403,"2,51","160,56",479,"1,62","295,68",290,"2,36","122,88",573,"2,31","248,05",781,"2,27","344,05"
527,"3,19","165,20",506,"1,65","306,67",438,"3,51","124,79",500,"2,02","247,52",732,"2,17","337,33"
416,"2,79","149,10",441,"1,47","300,00",486,"3,97","122,42",681,"2,63","258,94",511,"1,45","352,41"
521,"3,40","153,24",307,"0,96","319,79",553,"4,42","125,11",586,"2,32","252,59",491,"1,49","329,53"
411,"2,65","155,09",407,"1,31","310,69",480,"3,96","121,21",885,"3,66","241,80",572,"1,67","342,51"
497,"3,27","151,99",379,"1,23","308,13",275,"1,07","257,01",586,"2,33","251,50",606,"1,80","336,67"
492,"3,17","155,21",580,"1,90","305,26",419,"1,68","249,40",537,"2,14","250,93",587,"1,71","343,27"
