secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
170,"2,45","69,39",248,"3,61","68,70",579,"3,19","181,50"
348,"4,66","74,68",247,"3,77","65,52",417,"2,28","182,89"
368,"5,00","73,60",269,"3,94","68,27",281,"1,53","183,66"
179,"2,46","72,76",240,"3,68","65,22",658,"3,60","182,78"
356,"4,92","72,36",153,"2,23","68,61",444,"2,62","169,47"
308,"4,25","72,47",245,"3,76","65,16",341,"1,93","176,68"
219,"2,97","73,74",279,"4,17","66,91",508,"2,77","183,39"
311,"3,92","79,34",271,"3,91","69,31",148,"0,91","162,64"
349,"4,46","78,25",400,"5,75","69,57",548,"2,97","184,51"
166,"2,22","74,77",229,"3,35","68,36",432,"2,36","183,05"
279,"3,88","71,91",222,"3,24","68,52",617,"3,38","182,54"
225,"2,99","75,25",310,"4,49","69,04",423,"2,49","169,88"
367,"4,96","73,99",330,"4,79","68,89",438,"2,43","180,25"
248,"3,31","74,92",349,"5,04","69,25",480,"2,62","183,21"
207,"2,72","76,10",189,"2,76","68,48",384,"2,10","182,86"
346,"4,84","71,49",304,"4,41","68,93",581,"3,16","183,86"
288,"3,93","73,28",190,"2,81","67,62",644,"3,56","180,90"
303,"4,05","74,81",312,"4,61","67,68",357,"1,96","182,14"
298,"4,04","73,76",275,"4,07","67,57",560,"3,11","180,06"
373,"4,98","74,90",334,"4,78","69,87",717,"3,94","181,98"
163,"2,26","72,12",232,"3,34","69,46",551,"3,04","181,25"
271,"3,64","74,45",323,"4,75","68,00",492,"2,71","181,55"
137,"1,88","72,87",272,"3,95","68,86",476,"2,61","182,38"
321,"4,30","74,65",278,"4,08","68,14",429,"2,35","182,55"
349,"4,82","72,41",228,"3,35","68,06",276,"1,52","181,58"
207,"2,82","73,40",270,"3,90","69,23",371,"2,03","182,76"
220,"2,96","74,32",269,"3,92","68,62",671,"3,62","185,36"
320,"4,31","74,25",301,"4,37","68,88",454,"2,49","182,33"
300,"3,99","75,19",175,"2,54","68,90",395,"2,16","182,87"
342,"4,58","74,67",266,"3,90","68,21",283,"1,58","179,11"
343,"4,67","73,45",317,"4,58","69,21",665,"3,66","181,69"
348,"4,66","74,68",253,"3,65","69,32",379,"2,05","184,88"
368,"5,00","73,60",223,"3,34","66,77",357,"1,96","182,14"
179,"2,46","72,76",292,"4,27","68,38",510,"2,79","182,80"
356,"4,92","72,36",252,"3,94","63,96",745,"4,07","183,05"
308,"4,25","72,47",164,"2,55","64,31",487,"2,65","183,77"
219,"2,97","73,74",210,"3,27","64,22",212,"1,15","184,35"
311,"3,92","79,34",287,"4,47","64,21",482,"2,57","187,55"
349,"4,46","78,25",275,"4,07","67,57",658,"3,57","184,31"
166,"2,22","74,77",334,"4,78","69,87",476,"2,60","183,08"
279,"3,88","71,91",232,"3,34","69,46",450,"2,48","181,45"
170,"2,45","69,39",323,"4,75","68,00",545,"2,99","182,27"
263,"3,39","77,58",272,"3,95","68,86",396,"2,28","173,68"
452,"5,76","78,47",278,"4,08","68,14",234,"1,29","181,40"
228,"3,09","73,79",228,"3,35","68,06",545,"3,01","181,06"
311,"3,96","78,54",270,"3,90","69,23",350,"1,91","183,25"
211,"2,74","77,01",269,"3,92","68,62",637,"3,48","183,05"
374,"5,00","74,80",301,"4,37","68,88",458,"2,53","181,03"
365,"4,73","77,17",175,"2,54","68,90",448,"2,45","182,86"
208,"2,71","76,75",266,"3,90","68,21",516,"2,83","182,33"
