ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
677;291;892;979;706
547;1013;508;281;552
780;806;457;552;584
755;522;733;454;511
535;738;587;1167;865
1102;716;397;511;622
1408;762;520;757;1036
624;766;627;692;709
971;984;230;974;1353
1066;545;561;762;307
539;911;635;806;860
1281;944;728;438;664
677;811;907;670;1107
814;862;205;918;290
928;836;254;881;678
921;621;632;718;1012
666;1096;593;1307;284
1254;1000;600;830;806
624;658;517;890;482
737;1000;309;700;360
447;778;546;835;602
699;895;594;640;783
785;754;1002;676;710
819;748;709;983;784
791;479;787;910;1033
524;752;720;1072;834
601;794;412;890;1198
1112;556;540;930;687
789;521;592;1223;826
489;1287;628;844;677
1158;738;448;657;628
743;691;820;680;638
695;687;710;663;735
663;887;563;313;667
811;683;471;885;521
712;791;692;594;777
932;621;734;965;1056
607;553;682;588;590
346;690;492;1146;478
657;971;732;514;778
896;677;619;758;1010
430;463;690;502;734
880;743;660;814;703
401;1030;658;929;460
617;868;643;497;1269
762;303;480;729;811
941;655;389;749;891
473;775;873;588;1076
540;770;526;774;793
834;1060;493;794;474
