secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
180;195;197;214;228
201;239;134;217;207
214;236;202;220;242
216;224;201;231;241
203;221;134;231;227
211;240;196;223;223
211;238;198;235;241
207;162;171;232;244
213;238;197;226;164
210;236;200;231;240
209;162;185;227;241
216;237;182;225;162
202;238;199;235;242
215;160;197;224;243
215;237;132;233;165
201;237;197;235;244
198;185;198;219;241
217;236;133;213;193
217;235;199;234;236
144;225;195;233;244
214;238;132;158;233
215;240;198;235;239
145;221;196;234;244
214;218;155;158;229
214;239;195;232;221
145;237;198;233;244
217;160;188;156;244
216;236;197;233;165
169;237;199;235;244
210;160;183;184;243
212;235;183;230;163
204;237;194;232;241
213;160;197;224;243
212;236;133;233;163
200;236;197;233;244
191;186;197;216;245
209;230;134;213;191
214;240;198;231;238
144;224;195;230;245
215;235;132;155;233
216;237;195;234;240
145;222;195;232;242
213;218;156;159;228
215;239;194;234;224
146;240;198;234;240
211;160;189;158;241
214;236;196;233;162
169;239;196;233;242
212;162;185;184;241
212;235;181;229;164
