ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
197;248;236;238;173
237;180;241;259;259
257;258;162;216;259
256;259;240;237;175
173;246;240;258;260
257;260;162;259;259
256;261;241;175;222
174;244;240;260;259
257;240;162;260;259
257;259;241;175;242
173;260;241;260;238
257;176;206;257;260
257;262;241;175;259
200;259;241;258;174
254;175;225;256;259
257;261;222;200;259
243;260;241;253;174
258;176;241;256;260
259;260;163;246;259
239;260;240;260;176
238;203;245;260;259
257;254;162;240;259
257;260;241;238;204
174;245;241;256;254
257;261;162;258;259
257;260;240;174;246
173;241;241;259;258
257;240;191;260;259
257;259;238;175;243
173;259;242;257;238
257;174;230;257;260
257;262;239;173;259
201;259;244;256;175
253;175;225;256;259
257;259;221;201;260
245;259;241;254;174
257;174;241;256;259
257;259;164;243;259
240;259;241;256;175
238;204;241;256;260
257;258;162;241;258
257;260;244;238;203
174;246;242;257;254
257;260;164;256;259
258;260;242;173;247
173;242;242;258;258
257;241;188;260;259
257;260;240;175;242
174;262;242;257;238
257;175;230;256;259
