secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
169,"2,35","71,91",160,"2,44","65,57",206,"1,34","153,73"
172,"2,42","71,07",133,"2,11","63,03",189,"1,27","148,82"
115,"1,62","70,99",149,"2,27","65,64",217,"1,43","151,75"
173,"2,38","72,69",161,"2,44","65,98",217,"1,44","150,69"
174,"2,35","74,04",162,"2,44","66,39",207,"1,34","154,48"
117,"1,59","73,58",152,"2,33","65,24",219,"1,46","150,00"
173,"2,33","74,25",161,"2,41","66,80",218,"1,47","148,30"
173,"2,41","71,78",158,"2,47","63,97",202,"1,33","151,88"
151,"1,97","76,65",150,"2,41","62,24",203,"1,32","153,79"
169,"2,36","71,61",159,"2,35","67,66",218,"1,46","149,32"
175,"2,30","76,09",153,"2,41","63,49",219,"1,40","156,43"
161,"2,20","73,18",152,"2,46","61,79",207,"1,35","153,33"
158,"2,20","71,82",158,"2,45","64,49",218,"1,42","153,52"
174,"2,36","73,73",151,"2,38","63,45",217,"1,39","156,12"
171,"2,37","72,15",158,"2,35","67,23",210,"1,38","152,17"
118,"1,53","77,12",159,"2,35","67,66",218,"1,45","150,34"
175,"2,30","76,09",147,"2,38","61,76",213,"1,37","155,47"
173,"2,31","74,89",146,"2,25","64,89",213,"1,41","151,06"
117,"1,59","73,58",160,"2,40","66,67",222,"1,31","169,47"
173,"2,33","74,25",157,"2,55","61,57",213,"1,25","170,40"
171,"2,40","71,25",105,"1,73","60,69",220,"1,30","169,23"
113,"1,65","68,48",158,"2,56","61,72",222,"1,31","169,47"
171,"2,42","70,66",156,"2,47","63,16",211,"1,22","172,95"
170,"2,43","69,96",107,"1,59","67,30",201,"1,31","153,44"
134,"1,91","70,16",160,"2,36","67,80",223,"1,30","171,54"
168,"2,35","71,49",159,"2,37","67,09",220,"1,37","160,58"
170,"2,40","70,83",106,"1,72","61,63",150,"0,89","168,54"
163,"2,32","70,26",158,"2,53","62,45",219,"1,42","154,23"
172,"2,24","76,79",161,"2,39","67,36",224,"1,28","175,00"
172,"2,26","76,11",125,"1,90","65,79",148,"0,96","154,17"
162,"2,26","71,68",154,"2,45","62,86",222,"1,30","170,77"
172,"2,43","70,78",161,"2,37","67,93",219,"1,44","152,08"
170,"2,42","70,25",150,"2,41","62,24",148,"0,96","154,17"
159,"2,24","70,98",158,"2,38","66,39",218,"1,41","154,61"
159,"2,17","73,27",160,"2,36","67,80",224,"1,30","172,31"
174,"2,28","76,32",150,"2,23","67,26",175,"1,04","168,27"
173,"2,31","74,89",147,"2,16","68,06",213,"1,39","153,24"
163,"2,23","73,09",160,"2,36","67,80",218,"1,47","148,30"
171,"2,40","71,25",156,"2,57","60,70",210,"1,39","151,08"
171,"2,31","74,03",107,"1,71","62,57",215,"1,45","148,28"
168,"2,27","74,01",159,"2,35","67,66",219,"1,38","158,70"
172,"2,41","71,37",160,"2,38","67,23",207,"1,35","153,33"
168,"2,29","73,36",106,"1,66","63,86",202,"1,20","168,33"
169,"2,28","74,12",160,"2,37","67,51",219,"1,42","154,23"
174,"2,36","73,73",156,"2,56","60,94",219,"1,43","153,15"
166,"2,19","75,80",108,"1,59","67,92",150,"0,88","170,45"
172,"2,37","72,57",157,"2,52","62,30",222,"1,29","172,09"
173,"2,35","73,62",158,"2,52","62,70",222,"1,28","173,44"
164,"2,17","75,58",125,"1,86","67,20",148,"0,95","155,79"
158,"2,12","74,53",152,"2,46","61,79",218,"1,45","150,34"
