secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
180,"1,26","142,86",195,"0,71","274,65",197,"1,60","123,12",214,"0,92","232,61",228,"0,80","285,00"
201,"1,27","158,27",239,"0,88","271,59",134,"1,10","121,82",217,"0,87","249,43",207,"0,75","276,00"
214,"1,45","147,59",236,"0,95","248,42",202,"1,63","123,93",220,"0,89","247,19",242,"0,75","322,67"
216,"1,37","157,66",224,"0,83","269,88",201,"1,61","124,84",231,"1,03","224,27",241,"0,85","283,53"
203,"1,34","151,49",221,"0,78","283,33",134,"1,16","115,52",231,"1,02","226,47",227,"0,81","280,25"
211,"1,47","143,54",240,"0,86","279,07",196,"1,72","113,95",223,"0,92","242,39",223,"0,74","301,35"
211,"1,36","155,15",238,"0,91","261,54",198,"1,61","122,98",235,"0,97","242,27",241,"0,85","283,53"
207,"1,44","143,75",162,"0,59","274,58",171,"1,41","121,28",232,"0,95","244,21",244,"0,78","312,82"
213,"1,48","143,92",238,"0,94","253,19",197,"1,60","123,12",226,"0,92","245,65",164,"0,56","292,86"
210,"1,33","157,89",236,"0,94","251,06",200,"1,63","122,70",231,"1,04","222,12",240,"0,86","279,07"
209,"1,45","144,14",162,"0,60","270,00",185,"1,62","114,20",227,"0,94","241,49",241,"0,84","286,90"
216,"1,40","154,29",237,"0,88","269,32",182,"1,48","122,97",225,"1,05","214,29",162,"0,57","284,21"
202,"1,37","147,45",238,"0,91","261,54",199,"1,61","123,60",235,"0,96","244,79",242,"0,83","291,57"
215,"1,38","155,80",160,"0,63","253,97",197,"1,70","115,88",224,"0,92","243,48",243,"0,79","307,59"
215,"1,47","146,26",237,"0,89","266,29",132,"1,13","116,81",233,"0,96","242,71",165,"0,50","330,00"
201,"1,34","150,00",237,"0,96","246,88",197,"1,67","117,96",235,"0,95","247,37",244,"0,79","308,86"
198,"1,26","157,14",185,"0,75","246,67",198,"1,69","117,16",219,"0,97","225,77",241,"0,84","286,90"
217,"1,35","160,74",236,"0,87","271,26",133,"1,08","123,15",213,"0,94","226,60",193,"0,61","316,39"
217,"1,37","158,39",235,"0,94","250,00",199,"1,63","122,09",234,"0,98","238,78",236,"0,80","295,00"
144,"0,99","145,45",225,"0,90","250,00",195,"1,70","114,71",233,"1,04","224,04",244,"0,79","308,86"
214,"1,49","143,62",238,"0,84","283,33",132,"1,14","115,79",158,"0,64","246,88",233,"0,73","319,18"
215,"1,43","150,35",240,"0,88","272,73",198,"1,62","122,22",235,"0,96","244,79",239,"0,86","277,91"
145,"0,93","155,91",221,"0,88","251,14",196,"1,70","115,29",234,"0,96","243,75",244,"0,80","305,00"
214,"1,48","144,59",218,"0,86","253,49",155,"1,27","122,05",158,"0,67","235,82",229,"0,73","313,70"
214,"1,47","145,58",239,"0,87","274,71",195,"1,59","122,64",232,"1,06","218,87",221,"0,74","298,65"
145,"0,98","147,96",237,"0,95","249,47",198,"1,64","120,73",233,"0,97","240,21",244,"0,80","305,00"
217,"1,37","158,39",160,"0,65","246,15",188,"1,61","116,77",156,"0,70","222,86",244,"0,77","316,88"
216,"1,36","158,82",236,"0,93","253,76",197,"1,60","123,12",233,"0,97","240,21",165,"0,54","305,56"
169,"1,09","155,05",237,"0,92","257,61",199,"1,61","123,60",235,"0,98","239,80",244,"0,78","312,82"
210,"1,42","147,89",160,"0,62","258,06",183,"1,58","115,82",184,"0,78","235,90",243,"0,80","303,75"
212,"1,47","144,22",235,"0,97","242,27",183,"1,47","124,49",230,"0,95","242,11",163,"0,57","285,96"
204,"1,38","147,83",237,"0,93","254,84",194,"1,77","109,60",232,"1,04","223,08",241,"0,85","283,53"
213,"1,38","154,35",160,"0,61","262,30",197,"1,73","113,87",224,"0,93","240,86",243,"0,79","307,59"
212,"1,50","141,33",236,"0,95","248,42",133,"1,06","125,47",233,"0,96","242,71",163,"0,57","285,96"
200,"1,36","147,06",236,"0,95","248,42",197,"1,67","117,96",233,"0,99","235,35",244,"0,78","312,82"
191,"1,45","131,72",186,"0,75","248,00",197,"1,70","115,88",216,"1,01","213,86",245,"0,75","326,67"
209,"1,50","139,33",230,"0,93","247,31",134,"1,09","122,94",213,"0,98","217,35",191,"0,64","298,44"
214,"1,44","148,61",240,"0,85","282,35",198,"1,67","118,56",231,"1,06","217,92",238,"0,75","317,33"
144,"0,97","148,45",224,"0,90","248,89",195,"1,75","111,43",230,"1,08","212,96",245,"0,79","310,13"
215,"1,40","153,57",235,"0,95","247,37",132,"1,17","112,82",155,"0,73","212,33",233,"0,74","314,86"
216,"1,40","154,29",237,"0,93","254,84",195,"1,75","111,43",234,"0,97","241,24",240,"0,80","300,00"
145,"0,95","152,63",222,"0,85","261,18",195,"1,73","112,72",232,"0,99","234,34",242,"0,83","291,57"
213,"1,43","148,95",218,"0,79","275,95",156,"1,26","123,81",159,"0,65","244,62",228,"0,76","300,00"
215,"1,40","153,57",239,"0,84","284,52",194,"1,59","122,01",234,"0,98","238,78",224,"0,72","311,11"
146,"0,96","152,08",240,"0,87","275,86",198,"1,64","120,73",234,"0,99","236,36",240,"0,83","289,16"
211,"1,47","143,54",160,"0,60","266,67",189,"1,60","118,12",158,"0,64","246,88",241,"0,85","283,53"
214,"1,43","149,65",236,"0,95","248,42",196,"1,69","115,98",233,"0,95","245,26",162,"0,57","284,21"
169,"1,09","155,05",239,"0,87","274,71",196,"1,70","115,29",233,"0,96","242,71",242,"0,84","288,10"
212,"1,36","155,88",162,"0,58","279,31",185,"1,58","117,09",184,"0,77","238,96",241,"0,84","286,90"
212,"1,44","147,22",235,"0,96","244,79",181,"1,54","117,53",229,"0,93","246,24",164,"0,54","303,70"
