rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
244;236;226;249;236;161;242;157;222;150;178;177;36;37;29
181;187;246;259;258;259;258;256;241;191;128;174;28;37;34
231;243;165;216;222;260;217;256;258;188;188;179;37;24;37
244;244;245;243;256;174;238;177;256;180;187;190;37;36;36
245;227;246;259;258;259;257;251;244;174;133;191;35;35;35
234;225;170;259;241;259;257;257;257;192;187;182;36;34;36
245;245;240;247;236;180;174;243;252;192;190;190;36;37;35
242;244;245;260;257;253;258;254;249;127;183;188;34;37;35
238;165;234;254;258;259;257;256;258;190;189;182;34;35;35
245;244;244;251;174;248;173;238;248;192;190;191;35;36;35
236;243;246;261;257;258;258;235;253;130;179;185;38;35;36
242;164;229;251;257;259;257;257;257;190;173;187;35;33;37
244;244;227;254;174;244;173;255;244;190;191;188;37;35;33
233;244;245;260;257;238;258;172;256;129;190;182;36;36;35
245;163;244;247;258;259;257;256;256;189;127;188;36;36;37
245;244;165;259;173;260;201;256;241;192;191;189;36;35;33
229;242;246;260;258;175;253;172;237;150;189;177;35;36;34
227;190;244;243;257;258;257;255;256;186;128;172;35;36;37
245;239;166;239;202;260;244;256;257;193;191;189;37;34;35
245;244;244;260;252;175;257;172;172;180;192;189;34;34;33
165;231;244;260;258;259;257;256;258;191;128;127;36;36;35
245;242;164;175;245;259;240;255;256;192;190;189;37;33;33
245;244;246;260;256;175;238;200;173;179;191;190;34;36;34
166;227;245;259;257;258;257;250;258;175;149;127;34;35;36
244;224;192;175;241;259;258;256;256;191;185;190;36;36;34
244;244;239;260;236;204;174;242;173;192;188;189;37;36;37
166;243;245;260;257;253;256;255;257;126;179;129;34;35;37
244;163;233;175;258;260;258;255;257;191;189;189;37;37;33
245;245;246;261;173;259;174;238;200;190;190;190;37;35;37
192;243;245;260;258;259;257;235;251;128;179;148;35;32;36
242;164;228;204;257;135;257;255;258;191;174;183;38;37;35
246;243;226;255;174;260;173;255;245;187;191;192;36;36;37
232;245;244;260;257;259;257;173;256;128;188;179;36;33;37
245;163;245;247;257;195;258;254;258;191;128;186;36;34;33
244;244;166;258;174;239;201;256;241;192;188;190;36;36;37
228;244;244;260;257;260;253;172;237;147;188;177;36;36;36
226;190;245;244;257;258;257;256;257;187;129;172;38;36;33
246;237;165;239;202;175;244;255;257;189;189;186;35;37;34
245;245;243;260;252;259;257;172;174;178;189;188;36;36;36
164;232;246;260;258;259;257;255;256;189;127;127;37;36;36
245;242;166;175;245;175;240;256;258;191;186;189;35;37;35
244;243;245;259;256;260;237;199;174;178;189;191;35;35;37
165;226;246;260;258;259;258;251;256;176;147;128;34;37;34
244;225;192;175;242;175;257;256;257;190;185;186;36;36;36
245;244;241;260;236;259;173;243;173;192;189;190;35;35;36
165;243;245;260;258;259;257;255;256;128;182;126;36;36;34
245;165;232;175;258;202;258;254;257;192;188;189;36;36;37
245;244;246;260;173;254;173;238;202;192;190;190;34;34;36
192;244;245;260;257;260;257;236;252;129;177;149;36;35;33
240;163;229;204;258;245;258;255;257;190;174;185;36;37;34
