ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
160;203;182;244;180;255;58;98;25;19
151;202;167;260;189;255;99;107;24;25
166;204;190;175;158;197;98;89;17;25
169;220;193;258;178;253;64;101;24;25
163;218;178;259;192;255;96;107;26;25
170;206;178;180;188;239;95;108;23;26
168;220;191;253;184;234;68;102;26;24
161;215;195;259;190;255;94;108;25;25
168;211;130;245;187;255;98;105;23;25
172;218;190;258;184;172;89;102;25;24
161;212;193;259;188;254;94;105;24;25
160;215;130;243;183;255;97;104;23;25
168;219;192;236;187;171;92;104;24;24
171;209;192;258;189;254;89;107;25;24
117;216;129;259;181;254;97;102;25;26
171;220;192;174;187;172;98;108;23;25
173;204;189;259;189;254;66;105;25;26
113;203;150;259;177;255;99;100;25;26
170;218;189;175;175;200;98;97;24;23
173;221;193;258;190;249;64;105;25;24
116;146;185;257;192;254;97;107;23;26
171;219;189;174;129;243;98;72;25;25
169;218;193;257;189;252;64;108;26;25
134;147;181;259;190;255;98;107;23;25
166;219;174;203;128;239;98;73;25;25
171;218;189;254;190;233;77;108;25;26
164;147;191;259;187;254;95;106;22;25
169;221;130;247;126;254;96;72;23;24
171;217;192;258;193;171;95;109;25;25
161;171;192;259;190;255;97;106;25;26
156;216;130;242;149;254;98;86;23;23
170;220;191;238;189;171;90;107;25;26
172;208;191;258;189;255;98;107;24;25
114;218;130;259;181;254;98;104;24;23
169;218;191;174;190;171;90;108;26;24
171;204;192;261;187;255;89;107;24;25
117;200;151;259;180;255;98;103;24;26
170;220;190;174;174;200;98;99;24;25
171;219;189;260;191;248;92;106;24;25
114;148;183;259;190;254;99;107;24;24
170;220;192;174;129;243;96;74;25;25
172;220;194;259;191;252;93;107;23;26
134;149;180;259;189;254;96;106;25;24
170;219;173;203;128;239;94;73;25;25
170;218;193;254;190;233;95;108;23;25
159;147;190;259;189;254;96;106;23;24
169;217;130;247;127;255;91;73;25;26
171;218;192;258;191;171;97;107;24;25
158;172;193;260;189;256;97;108;24;25
154;215;129;242;150;254;90;86;25;26
