ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
264;301;186;285;182;200;23;17
277;326;297;337;136;206;24;23
220;280;298;363;189;135;16;23
258;325;203;365;191;205;24;23
276;326;299;246;179;207;24;24
269;301;296;364;193;137;21;24
260;299;207;364;189;201;23;23
274;325;293;246;177;206;24;24
266;327;300;365;173;138;24;24
262;217;280;365;189;199;23;24
271;326;297;246;191;208;23;25
261;326;300;366;129;198;24;23
269;219;278;364;194;209;24;22
277;325;273;285;191;207;23;24
258;326;299;358;125;194;22;24
274;222;299;366;190;193;24;24
274;325;200;345;193;207;24;24
254;327;303;362;130;209;24;24
255;252;300;364;190;137;24;24
277;321;198;341;190;209;24;24
274;325;296;335;151;206;23;25
187;310;299;363;188;139;24;23
270;324;198;361;192;205;24;25
269;327;300;244;182;206;22;25
182;300;299;359;190;140;25;23
275;302;236;363;194;208;25;24
272;327;292;244;179;205;22;25
183;326;296;364;176;160;23;21
274;220;283;362;193;201;25;25
277;326;296;246;197;205;24;25
214;327;299;363;127;192;21;23
272;217;277;364;193;203;24;25
276;327;273;285;194;202;24;25
259;326;302;357;126;188;23;23
270;220;301;362;192;190;24;24
275;324;199;347;190;208;23;24
256;326;299;364;130;208;25;23
255;255;297;363;189;140;24;25
276;319;199;339;191;208;23;24
275;326;299;335;149;208;24;23
186;306;296;364;187;138;24;24
276;325;198;365;191;207;23;23
276;327;299;244;180;208;23;22
186;302;299;364;193;141;25;22
276;298;231;365;191;207;24;24
271;325;295;245;178;208;23;24
184;325;301;365;175;165;24;22
273;218;281;362;189;207;24;23
272;325;300;245;191;209;23;24
212;326;300;365;125;200;25;25
