ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
264,"1,79","147,49",301,"1,06","283,96",186,"0,90","206,67",285,"0,36","791,67",182,"1,49","122,15",200,"0,97","206,19",23,"0,16","143,75",17,"0,05","340,00"
277,"1,90","145,79",326,"1,19","273,95",297,"1,52","195,39",337,"0,41","821,95",136,"1,17","116,24",206,"1,04","198,08",24,"0,16","150,00",23,"0,06","383,33"
220,"1,73","127,17",280,"0,96","291,67",298,"1,47","202,72",363,"0,47","772,34",189,"1,66","113,86",135,"0,72","187,50",16,"0,11","145,45",23,"0,07","328,57"
258,"1,80","143,33",325,"1,17","277,78",203,"0,94","215,96",365,"0,47","776,60",191,"1,67","114,37",205,"0,98","209,18",24,"0,16","150,00",23,"0,07","328,57"
276,"1,90","145,26",326,"1,16","281,03",299,"1,47","203,40",246,"0,28","878,57",179,"1,62","110,49",207,"1,04","199,04",24,"0,17","141,18",24,"0,07","342,86"
269,"1,95","137,95",301,"1,12","268,75",296,"1,50","197,33",364,"0,44","827,27",193,"1,60","120,62",137,"0,74","185,14",21,"0,14","150,00",24,"0,05","480,00"
260,"1,87","139,04",299,"1,14","262,28",207,"0,98","211,22",364,"0,44","827,27",189,"1,72","109,88",201,"1,05","191,43",23,"0,16","143,75",23,"0,06","383,33"
274,"1,89","144,97",325,"1,13","287,61",293,"1,47","199,32",246,"0,30","820,00",177,"1,58","112,03",206,"1,07","192,52",24,"0,14","171,43",24,"0,06","400,00"
266,"1,87","142,25",327,"1,12","291,96",300,"1,46","205,48",365,"0,46","793,48",173,"1,52","113,82",138,"0,73","189,04",24,"0,18","133,33",24,"0,08","300,00"
262,"1,98","132,32",217,"0,85","255,29",280,"1,41","198,58",365,"0,45","811,11",189,"1,72","109,88",199,"1,09","182,57",23,"0,17","135,29",24,"0,08","300,00"
271,"1,93","140,41",326,"1,13","288,50",297,"1,48","200,68",246,"0,27","911,11",191,"1,62","117,90",208,"1,04","200,00",23,"0,15","153,33",25,"0,08","312,50"
261,"1,82","143,41",326,"1,18","276,27",300,"1,48","202,70",366,"0,44","831,82",129,"1,11","116,22",198,"0,99","200,00",24,"0,16","150,00",23,"0,07","328,57"
269,"1,89","142,33",219,"0,81","270,37",278,"1,38","201,45",364,"0,42","866,67",194,"1,63","119,02",209,"0,97","215,46",24,"0,15","160,00",22,"0,07","314,29"
277,"1,77","156,50",325,"1,15","282,61",273,"1,41","193,62",285,"0,37","770,27",191,"1,66","115,06",207,"1,02","202,94",23,"0,16","143,75",24,"0,08","300,00"
258,"1,74","148,28",326,"1,18","276,27",299,"1,41","212,06",358,"0,43","832,56",125,"1,15","108,70",194,"0,96","202,08",22,"0,15","146,67",24,"0,08","300,00"
274,"1,85","148,11",222,"0,74","300,00",299,"1,45","206,21",366,"0,41","892,68",190,"1,63","116,56",193,"0,95","203,16",24,"0,15","160,00",24,"0,08","300,00"
274,"1,89","144,97",325,"1,17","277,78",200,"1,01","198,02",345,"0,44","784,09",193,"1,62","119,14",207,"1,02","202,94",24,"0,16","150,00",24,"0,09","266,67"
254,"1,79","141,90",327,"1,14","286,84",303,"1,40","216,43",362,"0,47","770,21",130,"1,08","120,37",209,"1,04","200,96",24,"0,16","150,00",24,"0,08","300,00"
255,"1,75","145,71",252,"0,93","270,97",300,"1,38","217,39",364,"0,46","791,30",190,"1,61","118,01",137,"0,65","210,77",24,"0,16","150,00",24,"0,08","300,00"
277,"1,85","149,73",321,"1,06","302,83",198,"1,02","194,12",341,"0,45","757,78",190,"1,64","115,85",209,"1,03","202,91",24,"0,15","160,00",24,"0,07","342,86"
274,"1,80","152,22",325,"1,15","282,61",296,"1,53","193,46",335,"0,38","881,58",151,"1,29","117,05",206,"1,04","198,08",23,"0,15","153,33",25,"0,07","357,14"
187,"1,28","146,09",310,"1,07","289,72",299,"1,45","206,21",363,"0,47","772,34",188,"1,67","112,57",139,"0,69","201,45",24,"0,16","150,00",23,"0,07","328,57"
270,"1,95","138,46",324,"1,18","274,58",198,"1,04","190,38",361,"0,49","736,73",192,"1,61","119,25",205,"1,06","193,40",24,"0,17","141,18",25,"0,08","312,50"
269,"2,00","134,50",327,"1,14","286,84",300,"1,46","205,48",244,"0,31","787,10",182,"1,59","114,47",206,"1,05","196,19",22,"0,16","137,50",25,"0,07","357,14"
182,"1,31","138,93",300,"1,18","254,24",299,"1,45","206,21",359,"0,47","763,83",190,"1,64","115,85",140,"0,69","202,90",25,"0,16","156,25",23,"0,06","383,33"
275,"1,84","149,46",302,"1,05","287,62",236,"1,08","218,52",363,"0,47","772,34",194,"1,66","116,87",208,"1,03","201,94",25,"0,17","147,06",24,"0,08","300,00"
272,"1,91","142,41",327,"1,15","284,35",292,"1,48","197,30",244,"0,33","739,39",179,"1,58","113,29",205,"1,04","197,12",22,"0,14","157,14",25,"0,08","312,50"
183,"1,27","144,09",326,"1,15","283,48",296,"1,49","198,66",364,"0,44","827,27",176,"1,56","112,82",160,"0,78","205,13",23,"0,14","164,29",21,"0,07","300,00"
274,"1,93","141,97",220,"0,79","278,48",283,"1,37","206,57",362,"0,49","738,78",193,"1,66","116,27",201,"1,02","197,06",25,"0,17","147,06",25,"0,08","312,50"
277,"1,94","142,78",326,"1,14","285,96",296,"1,49","198,66",246,"0,33","745,45",197,"1,59","123,90",205,"1,06","193,40",24,"0,15","160,00",25,"0,08","312,50"
214,"1,54","138,96",327,"1,14","286,84",299,"1,45","206,21",363,"0,46","789,13",127,"1,15","110,43",192,"1,00","192,00",21,"0,15","140,00",23,"0,07","328,57"
272,"1,85","147,03",217,"0,81","267,90",277,"1,42","195,07",364,"0,44","827,27",193,"1,64","117,68",203,"1,00","203,00",24,"0,16","150,00",25,"0,07","357,14"
276,"1,88","146,81",327,"1,14","286,84",273,"1,40","195,00",285,"0,37","770,27",194,"1,64","118,29",202,"1,07","188,79",24,"0,17","141,18",25,"0,08","312,50"
259,"1,83","141,53",326,"1,12","291,07",302,"1,39","217,27",357,"0,44","811,36",126,"1,15","109,57",188,"1,00","188,00",23,"0,17","135,29",23,"0,08","287,50"
270,"1,97","137,06",220,"0,79","278,48",301,"1,44","209,03",362,"0,51","709,80",192,"1,65","116,36",190,"0,97","195,88",24,"0,15","160,00",24,"0,07","342,86"
275,"1,95","141,03",324,"1,21","267,77",199,"1,05","189,52",347,"0,41","846,34",190,"1,68","113,10",208,"1,01","205,94",23,"0,14","164,29",24,"0,07","342,86"
256,"1,74","147,13",326,"1,18","276,27",299,"1,50","199,33",364,"0,45","808,89",130,"1,08","120,37",208,"1,02","203,92",25,"0,17","147,06",23,"0,08","287,50"
255,"1,78","143,26",255,"0,86","296,51",297,"1,47","202,04",363,"0,49","740,82",189,"1,69","111,83",140,"0,73","191,78",24,"0,13","184,62",25,"0,08","312,50"
276,"1,87","147,59",319,"1,19","268,07",199,"0,99","201,01",339,"0,44","770,45",191,"1,68","113,69",208,"1,07","194,39",23,"0,15","153,33",24,"0,08","300,00"
275,"1,89","145,50",326,"1,10","296,36",299,"1,48","202,03",335,"0,43","779,07",149,"1,29","115,50",208,"1,02","203,92",24,"0,16","150,00",23,"0,07","328,57"
186,"1,30","143,08",306,"1,18","259,32",296,"1,51","196,03",364,"0,44","827,27",187,"1,67","111,98",138,"0,69","200,00",24,"0,15","160,00",24,"0,08","300,00"
276,"1,89","146,03",325,"1,19","273,11",198,"1,03","192,23",365,"0,43","848,84",191,"1,67","114,37",207,"1,02","202,94",23,"0,14","164,29",23,"0,09","255,56"
276,"1,87","147,59",327,"1,12","291,96",299,"1,51","198,01",244,"0,29","841,38",180,"1,55","116,13",208,"1,03","201,94",23,"0,15","153,33",22,"0,07","314,29"
