rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
330,"0,35","942,86",331,"0,46","719,57",309,"0,39","792,31",349,"0,44","793,18",331,"0,47","704,26",222,"0,32","693,75",284,"0,33","860,61",338,"0,41","824,39",340,"0,41","829,27",227,"0,93","244,09",146,"0,62","235,48",234,"0,99","236,36",35,"0,10","350,00",27,"0,09","300,00",35,"0,09","388,89"
246,"0,30","820,00",256,"0,35","731,43",337,"0,41","821,95",365,"0,42","869,05",358,"0,53","675,47",362,"0,48","754,17",329,"0,38","865,79",248,"0,31","800,00",357,"0,45","793,33",238,"0,99","240,40",239,"1,12","213,39",239,"1,03","232,04",36,"0,10","360,00",36,"0,08","450,00",30,"0,07","428,57"
315,"0,38","828,95",331,"0,44","752,27",224,"0,24","933,33",301,"0,36","836,11",310,"0,44","704,55",364,"0,49","742,86",358,"0,44","813,64",346,"0,50","692,00",243,"0,26","934,62",202,"0,89","226,97",237,"1,06","223,58",197,"0,82","240,24",28,"0,07","400,00",38,"0,11","345,45",36,"0,10","360,00"
338,"0,41","824,39",332,"0,45","737,78",334,"0,41","814,63",341,"0,43","793,02",357,"0,50","714,00",245,"0,33","742,42",358,"0,39","917,95",354,"0,46","769,57",357,"0,45","793,33",214,"0,89","240,45",168,"0,75","224,00",224,"0,98","228,57",39,"0,09","433,33",36,"0,09","400,00",38,"0,10","380,00"
333,"0,36","925,00",311,"0,40","777,50",333,"0,41","812,20",365,"0,48","760,42",359,"0,50","718,00",362,"0,50","724,00",242,"0,28","864,29",338,"0,47","719,15",359,"0,43","834,88",238,"1,01","235,64",232,"1,01","229,70",236,"0,99","238,38",37,"0,10","370,00",38,"0,11","345,45",38,"0,10","380,00"
318,"0,36","883,33",309,"0,39","792,31",231,"0,26","888,46",361,"0,47","768,09",337,"0,48","702,08",361,"0,51","707,84",359,"0,43","834,88",352,"0,46","765,22",242,"0,26","930,77",239,"0,96","248,96",235,"1,10","213,64",234,"1,00","234,00",35,"0,09","388,89",38,"0,12","316,67",37,"0,10","370,00"
337,"0,34","991,18",330,"0,42","785,71",326,"0,40","815,00",344,"0,47","731,91",329,"0,52","632,69",251,"0,33","760,61",359,"0,43","834,88",356,"0,45","791,11",359,"0,41","875,61",161,"0,69","233,33",230,"0,99","232,32",228,"0,98","232,65",36,"0,09","400,00",35,"0,10","350,00",39,"0,10","390,00"
325,"0,42","773,81",333,"0,39","853,85",333,"0,42","792,86",364,"0,48","758,33",360,"0,50","720,00",352,"0,49","718,37",242,"0,30","806,67",332,"0,46","721,74",357,"0,44","811,36",238,"1,03","231,07",237,"1,01","234,65",242,"0,97","249,48",37,"0,09","411,11",39,"0,12","325,00",37,"0,09","411,11"
324,"0,33","981,82",225,"0,29","775,86",319,"0,36","886,11",356,"0,45","791,11",360,"0,51","705,88",363,"0,44","825,00",359,"0,40","897,50",324,"0,43","753,49",250,"0,30","833,33",240,"1,01","237,62",240,"1,09","220,18",236,"0,93","253,76",35,"0,09","388,89",38,"0,10","380,00",37,"0,09","411,11"
