falcon512,p256_mlkem512,,falcon512,x25519_mlkem512,,falcon512,mlkem512,,sphincssha2128fsimple,p256_mlkem512,,sphincssha2128fsimple,x25519_mlkem512,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,p256_mlkem512,,sphincssha2128ssimple,x25519_mlkem512,,sphincssha2128ssimple,mlkem512,,mayo1,p256_mlkem512,,mayo1,x25519_mlkem512,,mayo1,mlkem512,,CROSSrsdpg128balanced,p256_mlkem512,,CROSSrsdpg128balanced,x25519_mlkem512,,CROSSrsdpg128balanced,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
2088,"6,31","330,90",3744,"3,53","1060,62",6068,"5,06","1199,21",560,"3,41","164,22",427,"1,78","239,89",709,"2,37","299,16",41,"0,20","205,00",30,"0,08","375,00",44,"0,11","400,00",2632,"6,54","402,45",6606,"6,39","1033,80",8692,"6,38","1362,38",1235,"5,31","232,58",4042,"9,03","447,62",3864,"8,17","472,95"
2098,"6,05","346,78",5157,"5,31","971,19",6397,"5,30","1206,98",573,"3,42","167,54",647,"2,68","241,42",443,"1,75","253,14",41,"0,18","227,78",45,"0,13","346,15",42,"0,10","420,00",2633,"6,57","400,76",4634,"4,22","1098,10",8275,"6,45","1282,95",1839,"7,90","232,78",3807,"8,72","436,58",4346,"8,88","489,41"
1449,"4,16","348,32",5357,"5,35","1001,31",6518,"5,39","1209,28",368,"2,45","150,20",667,"2,69","247,96",703,"2,42","290,50",44,"0,21","209,52",43,"0,12","358,33",44,"0,11","400,00",2292,"6,40","358,12",6578,"6,45","1019,84",5875,"4,30","1366,28",1867,"7,89","236,63",3908,"8,87","440,59",4511,"9,11","495,17"
2101,"6,25","336,16",4231,"4,17","1014,63",6106,"4,92","1241,06",560,"3,29","170,21",422,"1,80","234,44",705,"2,40","293,75",44,"0,20","220,00",35,"0,10","350,00",45,"0,12","375,00",2313,"6,06","381,68",6593,"6,23","1058,27",8644,"6,38","1354,86",1458,"6,08","239,80",3800,"8,89","427,45",2895,"6,15","470,73"
2061,"6,16","334,58",5249,"5,23","1003,63",5860,"4,86","1205,76",572,"3,49","163,90",671,"2,71","247,60",519,"1,91","271,73",42,"0,20","210,00",45,"0,12","375,00",41,"0,09","455,56",2524,"6,66","378,98",4392,"4,29","1023,78",8624,"6,40","1347,50",1789,"7,52","237,90",3511,"8,20","428,17",4249,"9,08","467,95"
1426,"4,19","340,33",5276,"5,42","973,43",6648,"5,35","1242,62",368,"2,22","165,77",653,"2,62","249,24",685,"2,42","283,06",45,"0,22","204,55",43,"0,13","330,77",41,"0,11","372,73",2561,"6,39","400,78",6467,"6,28","1029,78",6935,"5,10","1359,80",1812,"7,86","230,53",3412,"8,08","422,28",4303,"9,12","471,82"
2140,"6,25","342,40",5190,"5,13","1011,70",6645,"5,22","1272,99",552,"3,42","161,40",421,"1,79","235,20",696,"2,47","281,78",44,"0,19","231,58",43,"0,12","358,33",45,"0,11","409,09",1709,"4,46","383,18",6484,"6,40","1013,12",8668,"6,36","1362,89",1871,"7,59","246,51",3903,"8,92","437,56",2790,"6,16","452,92"
2119,"6,20","341,77",5297,"5,47","968,37",4340,"3,54","1225,99",576,"3,46","166,47",640,"2,65","241,51",651,"2,36","275,85",42,"0,20","210,00",43,"0,10","430,00",44,"0,11","400,00",2584,"6,77","381,68",4451,"4,21","1057,24",8372,"6,40","1308,12",1874,"7,80","240,26",3799,"9,01","421,64",4231,"8,99","470,63"
1751,"4,83","362,53",5357,"5,30","1010,75",6515,"5,26","1238,59",371,"2,30","161,30",644,"2,73","235,90",703,"2,39","294,14",44,"0,18","244,44",44,"0,12","366,67",42,"0,10","420,00",2483,"6,59","376,78",6583,"6,28","1048,25",8321,"6,15","1353,01",1856,"7,82","237,34",2612,"6,15","424,72",4284,"8,93","479,73"
2119,"6,01","352,58",5027,"4,99","1007,41",6510,"5,34","1219,10",556,"3,51","158,40",507,"2,01","252,24",682,"2,44","279,51",43,"0,21","204,76",42,"0,10","420,00",45,"0,10","450,00",1700,"4,42","384,62",6425,"6,39","1005,48",8551,"6,46","1323,68",1828,"7,45","245,37",3774,"8,91","423,57",2802,"6,01","466,22"
