falcon512,p256_mlkem512,,falcon512,x25519_mlkem512,,falcon512,mlkem512,,sphincssha2128fsimple,p256_mlkem512,,sphincssha2128fsimple,x25519_mlkem512,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,p256_mlkem512,,sphincssha2128ssimple,x25519_mlkem512,,sphincssha2128ssimple,mlkem512,,mayo1,p256_mlkem512,,mayo1,x25519_mlkem512,,mayo1,mlkem512,,CROSSrsdpg128balanced,p256_mlkem512,,CROSSrsdpg128balanced,x25519_mlkem512,,CROSSrsdpg128balanced,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
2139,"6,15","347,80",5274,"5,58","945,16",6700,"5,27","1271,35",544,"3,29","165,35",608,"2,53","240,32",667,"2,58","258,53",44,"0,21","209,52",42,"0,12","350,00",45,"0,10","450,00",1714,"4,39","390,43",6676,"6,24","1069,87",8062,"5,88","1371,09",1878,"7,96","235,93",3839,"8,89","431,83",3330,"7,03","473,68"
2204,"6,25","352,64",3546,"3,68","963,59",4352,"3,61","1205,54",579,"3,50","165,43",597,"2,49","239,76",654,"2,42","270,25",44,"0,19","231,58",40,"0,10","400,00",30,"0,07","428,57",2596,"6,64","390,96",6267,"5,99","1046,24",8661,"6,34","1366,09",1202,"5,29","227,22",3714,"8,59","432,36",4145,"8,58","483,10"
2034,"5,93","343,00",5312,"5,39","985,53",6641,"5,34","1243,63",532,"3,26","163,19",668,"2,58","258,91",478,"1,60","298,75",43,"0,18","238,89",44,"0,13","338,46",45,"0,10","450,00",2508,"6,56","382,32",6525,"6,32","1032,44",8855,"6,37","1390,11",1861,"7,91","235,27",2540,"6,05","419,83",4199,"9,13","459,91"
1659,"5,61","295,72",5292,"5,17","1023,60",6456,"5,31","1215,82",533,"3,28","162,50",637,"2,73","233,33",697,"2,45","284,49",45,"0,20","225,00",45,"0,13","346,15",45,"0,12","375,00",2026,"5,12","395,70",6550,"6,35","1031,50",5776,"4,26","1355,87",1860,"7,95","233,96",3862,"8,86","435,89",3958,"8,69","455,47"
2154,"6,20","347,42",3521,"3,63","969,97",5099,"4,24","1202,59",582,"3,39","171,68",436,"1,78","244,94",665,"2,46","270,33",42,"0,19","221,05",41,"0,13","315,38",35,"0,09","388,89",2551,"6,52","391,26",6340,"5,89","1076,40",8560,"6,51","1314,90",1254,"5,32","235,71",3813,"8,81","432,80",4062,"8,62","471,23"
2018,"6,13","329,20",5333,"5,25","1015,81",6442,"5,19","1241,23",528,"3,12","169,23",652,"2,66","245,11",480,"1,63","294,48",44,"0,21","209,52",44,"0,11","400,00",43,"0,11","390,91",2480,"6,55","378,63",6176,"5,85","1055,73",8702,"6,28","1385,67",1853,"7,91","234,26",3059,"7,07","432,67",4331,"8,77","493,84"
1345,"4,14","324,88",5353,"5,36","998,69",6407,"5,23","1225,05",522,"3,14","166,24",625,"2,63","237,64",715,"2,43","294,24",44,"0,20","220,00",45,"0,12","375,00",44,"0,11","400,00",2374,"6,26","379,23",6654,"6,30","1056,19",5989,"4,31","1389,56",1888,"7,81","241,74",3765,"8,62","436,77",3858,"8,22","469,34"
2089,"6,17","338,57",3624,"3,57","1015,13",6369,"5,09","1251,28",549,"3,40","161,47",436,"1,81","240,88",676,"2,47","273,68",42,"0,19","221,05",41,"0,11","372,73",41,"0,11","372,73",2632,"6,70","392,84",6685,"6,17","1083,47",8373,"6,49","1290,14",1246,"5,36","232,46",3880,"8,85","438,42",3844,"8,06","476,92"
2034,"6,21","327,54",5377,"5,34","1006,93",6434,"5,33","1207,13",564,"3,49","161,60",671,"2,55","263,14",482,"1,68","286,90",45,"0,21","214,29",45,"0,13","346,15",45,"0,10","450,00",2498,"6,47","386,09",4534,"4,34","1044,70",8867,"6,45","1374,73",1895,"7,91","239,57",3610,"8,50","424,71",4306,"8,89","484,36"
1470,"4,21","349,17",5237,"5,43","964,46",6668,"5,40","1234,81",382,"2,43","157,20",648,"2,70","240,00",680,"2,49","273,09",43,"0,20","215,00",43,"0,12","358,33",45,"0,14","321,43",2341,"6,29","372,18",6363,"6,36","1000,47",5863,"4,35","1347,82",1904,"7,88","241,62",3751,"8,75","428,69",4063,"8,77","463,28"
2090,"6,40","326,56",4256,"4,19","1015,75",6053,"5,11","1184,54",571,"3,35","170,45",451,"1,89","238,62",701,"2,42","289,67",41,"0,20","205,00",43,"0,11","390,91",41,"0,10","410,00",2413,"6,01","401,50",6627,"6,17","1074,07",8567,"6,51","1315,98",1501,"6,16","243,67",3682,"8,88","414,64",2959,"6,14","481,92"
2169,"6,27","345,93",5160,"5,33","968,11",6012,"4,88","1231,97",535,"3,32","161,14",649,"2,74","236,86",537,"1,91","281,15",45,"0,21","214,29",44,"0,14","314,29",44,"0,12","366,67",2547,"6,65","383,01",4405,"4,30","1024,42",8437,"6,38","1322,41",1794,"7,62","235,43",3720,"8,53","436,11",4161,"9,06","459,27"
1455,"4,14","351,45",5403,"5,38","1004,28",6580,"5,32","1236,84",397,"2,23","178,03",634,"2,70","234,81",682,"2,37","287,76",44,"0,20","220,00",43,"0,09","477,78",44,"0,08","550,00",2593,"6,63","391,10",6396,"6,15","1040,00",6779,"5,07","1337,08",1992,"7,88","252,79",3514,"8,23","426,97",4179,"9,11","458,73"
2183,"6,28","347,61",5136,"5,25","978,29",6363,"5,28","1205,11",550,"3,40","161,76",516,"2,24","230,36",679,"2,50","271,60",41,"0,18","227,78",43,"0,10","430,00",40,"0,09","444,44",1725,"4,32","399,31",6722,"6,38","1053,61",8435,"6,32","1334,65",1962,"7,57","259,18",3803,"8,93","425,87",2788,"6,09","457,80"
2206,"6,25","352,96",5277,"5,30","995,66",4530,"3,60","1258,33",567,"3,45","164,35",640,"2,61","245,21",682,"2,26","301,77",41,"0,18","227,78",44,"0,14","314,29",42,"0,11","381,82",2579,"6,56","393,14",4529,"4,28","1058,18",8590,"6,38","1346,39",1936,"7,89","245,37",3789,"8,80","430,57",4282,"8,99","476,31"
1755,"4,85","361,86",5423,"5,47","991,41",6699,"5,31","1261,58",375,"2,32","161,64",637,"2,62","243,13",667,"2,61","255,56",45,"0,21","214,29",42,"0,12","350,00",45,"0,10","450,00",2767,"6,68","414,22",6780,"6,32","1072,78",8393,"6,34","1323,82",1981,"7,99","247,93",2553,"5,92","431,25",4065,"8,77","463,51"
2000,"6,13","326,26",4898,"5,10","960,39",6674,"5,47","1220,11",574,"3,38","169,82",638,"2,63","242,59",661,"2,54","260,24",44,"0,20","220,00",43,"0,12","358,33",43,"0,11","390,91",1916,"4,54","422,03",6951,"6,40","1086,09",8380,"6,29","1332,27",1802,"7,47","241,23",3781,"8,94","422,93",2807,"6,07","462,44"
2252,"6,20","363,23",4802,"5,05","950,89",4406,"3,74","1178,07",558,"3,56","156,74",623,"2,57","242,41",635,"2,34","271,37",42,"0,19","221,05",45,"0,14","321,43",42,"0,09","466,67",2666,"6,59","404,55",5516,"4,98","1107,63",8554,"6,49","1318,03",1799,"7,31","246,10",3694,"8,84","417,87",4149,"8,91","465,66"
2100,"5,96","352,35",5409,"5,47","988,85",6690,"5,37","1245,81",429,"2,68","160,07",646,"2,53","255,34",654,"2,22","294,59",44,"0,19","231,58",41,"0,11","372,73",44,"0,12","366,67",2712,"6,58","412,16",6746,"6,38","1057,37",8159,"5,98","1364,38",2045,"8,09","252,78",2645,"6,09","434,32",4236,"9,01","470,14"
2039,"6,11","333,72",5334,"5,43","982,32",6592,"5,44","1211,76",552,"3,28","168,29",622,"2,60","239,23",681,"2,44","279,10",43,"0,19","226,32",38,"0,10","380,00",44,"0,11","400,00",1888,"4,50","419,56",6999,"6,44","1086,80",7839,"5,78","1356,23",2025,"7,98","253,76",3930,"9,01","436,18",3262,"7,01","465,34"
2166,"6,17","351,05",3586,"3,55","1010,14",4462,"3,51","1271,23",549,"3,49","157,31",582,"2,44","238,52",668,"2,45","272,65",42,"0,18","233,33",43,"0,12","358,33",42,"0,11","381,82",2674,"6,72","397,92",6653,"6,06","1097,85",8785,"6,41","1370,51",1384,"5,47","253,02",3899,"8,70","448,16",4075,"8,70","468,39"
2022,"5,84","346,23",5348,"5,34","1001,50",6650,"5,39","1233,77",535,"3,36","159,23",655,"2,73","239,93",478,"1,64","291,46",44,"0,19","231,58",44,"0,10","440,00",44,"0,11","400,00",2773,"6,62","418,88",6721,"6,27","1071,93",8774,"6,47","1356,11",1985,"7,92","250,63",2486,"5,99","415,03",4140,"8,90","465,17"
1954,"5,71","342,21",5498,"5,43","1012,52",6682,"5,27","1267,93",560,"3,50","160,00",630,"2,64","238,64",670,"2,46","272,36",43,"0,20","215,00",40,"0,12","333,33",43,"0,12","358,33",2112,"5,18","407,72",6855,"6,27","1093,30",5643,"4,35","1297,24",2076,"8,04","258,21",3855,"8,94","431,21",4065,"8,58","473,78"
2201,"6,15","357,89",3567,"3,65","977,26",5167,"4,22","1224,41",563,"3,50","160,86",444,"1,82","243,96",717,"2,33","307,73",43,"0,21","204,76",44,"0,11","400,00",44,"0,10","440,00",2727,"6,49","420,18",6519,"5,84","1116,27",8820,"6,38","1382,45",1354,"5,44","248,90",3897,"8,80","442,84",4221,"8,67","486,85"
2232,"6,15","362,93",5274,"5,50","958,91",6360,"5,21","1220,73",531,"3,24","163,89",636,"2,59","245,56",485,"1,59","305,03",44,"0,21","209,52",44,"0,13","338,46",45,"0,13","346,15",2765,"6,67","414,54",6198,"5,83","1063,12",8805,"6,50","1354,62",2032,"8,06","252,11",2943,"6,86","429,01",4177,"8,92","468,27"
1501,"4,20","357,38",5481,"5,41","1013,12",6575,"5,38","1222,12",513,"3,05","168,20",644,"2,62","245,80",681,"2,53","269,17",42,"0,19","221,05",42,"0,12","350,00",40,"0,11","363,64",2622,"6,38","410,97",6963,"6,25","1114,08",5757,"4,28","1345,09",2037,"8,09","251,79",3828,"8,72","438,99",3973,"8,52","466,31"
2125,"6,06","350,66",3549,"3,75","946,40",5942,"5,00","1188,40",551,"3,47","158,79",455,"1,73","263,01",663,"2,49","266,27",43,"0,21","204,76",45,"0,12","375,00",44,"0,12","366,67",2442,"6,59","370,56",6765,"6,41","1055,38",8766,"6,26","1400,32",1362,"5,45","249,91",3830,"8,92","429,37",3548,"7,81","454,29"
