mldsa65 - p384_mlkem768;mldsa65 - x448_mlkem768;mldsa65 - mlkem768;sphincssha2192fsimple - p384_mlkem768;sphincssha2192fsimple - mlkem768;sphincssha2192fsimple - x448_mlkem768;sphincssha2192ssimple - p384_mlkem768;sphincssha2192ssimple - x448_mlkem768;sphincssha2192ssimple - mlkem768;mayo3 - p384_mlkem768;mayo3 - x448_mlkem768;mayo3 - mlkem768;CROSSrsdpg192balanced - p384_mlkem768;CROSSrsdpg192balanced - x448_mlkem768;CROSSrsdpg192balanced - mlkem768
931;3113;5595;335;435;445;26;25;26;875;3353;4243;536;1409;2950
963;3531;8177;268;413;424;24;27;27;815;3473;6419;785;2086;2844
955;3432;8193;327;460;424;26;27;27;941;2182;6476;748;2031;3065
956;2346;5628;361;473;455;26;25;27;925;3442;4977;540;1653;2920
959;3535;8280;325;327;422;26;25;27;631;3431;6240;789;2026;2890
835;3430;8080;333;441;410;26;28;26;911;2186;6625;748;2039;2791
1012;2260;6444;347;476;405;26;26;28;935;3347;6197;490;2054;3020
966;3387;8278;323;300;428;25;27;27;604;3382;6539;793;2027;3028
660;3425;8163;351;459;430;26;27;25;914;2657;6300;792;2046;1961
942;2236;7811;346;469;306;27;26;25;951;3178;6042;583;2034;2990
937;3360;7992;323;313;429;25;26;27;610;3421;6081;777;1938;2897
665;3542;8360;319;470;451;26;27;28;935;3176;6375;794;2045;1962
951;2588;7881;348;449;290;28;26;26;966;3345;6489;730;2126;2966
969;3502;7314;329;380;433;24;27;26;764;3373;4417;840;1460;2926
597;3495;8443;232;445;444;23;27;28;900;3127;6553;852;2036;2004
895;3256;8072;336;466;295;27;25;26;947;3079;6523;748;2155;2970
893;3562;5729;333;431;439;27;27;27;906;3388;4486;701;1410;3049
732;3431;8258;229;460;429;24;27;27;928;3305;6492;789;2056;2368
874;3225;8055;348;454;349;27;26;26;973;2238;6662;766;2117;2937
