mldsa87,p521_mlkem1024,,mldsa87,mlkem1024,,falcon1024,p521_mlkem1024,,falcon1024,mlkem1024,,sphincssha2256fsimple,p521_mlkem1024,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,p521_mlkem1024,,sphincssha2256ssimple,mlkem1024,,mayo5,p521_mlkem1024,,mayo5,mlkem1024,,CROSSrsdpg256balanced,p521_mlkem1024,,CROSSrsdpg256balanced,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec
490,"5,50","89,09",5513,"4,93","1118,26",533,"5,55","96,04",4457,"4,38","1017,58",182,"2,88","63,19",269,"1,18","227,97",28,"0,41","68,29",21,"0,08","262,50",498,"5,79","86,01",3171,"4,09","775,31",459,"6,17","74,39",1828,"8,42","217,10"
481,"5,41","88,91",8164,"7,38","1106,23",510,"5,47","93,24",4927,"4,85","1015,88",126,"1,96","64,29",264,"1,22","216,39",29,"0,41","70,73",29,"0,11","263,64",504,"5,63","89,52",4771,"6,00","795,17",447,"6,29","71,07",1665,"8,06","206,58"
341,"3,69","92,41",8135,"7,37","1103,80",505,"5,44","92,83",5084,"4,96","1025,00",190,"2,81","67,62",177,"0,81","218,52",26,"0,41","63,41",30,"0,11","272,73",349,"3,81","91,60",4565,"5,99","762,10",447,"6,10","73,28",1988,"9,09","218,70"
498,"5,62","88,61",6458,"5,92","1090,88",545,"5,55","98,20",3256,"3,32","980,72",183,"2,70","67,78",270,"1,19","226,89",27,"0,37","72,97",20,"0,08","250,00",507,"5,66","89,58",3665,"4,68","783,12",465,"6,33","73,46",1952,"8,89","219,57"
479,"5,54","86,46",7985,"7,38","1081,98",521,"5,25","99,24",4998,"5,01","997,60",122,"1,92","63,54",267,"1,22","218,85",28,"0,42","66,67",29,"0,10","290,00",499,"5,80","86,03",4493,"5,97","752,60",455,"6,29","72,34",1283,"6,15","208,62"
323,"3,87","83,46",8050,"7,41","1086,37",464,"5,15","90,10",4988,"5,02","993,63",186,"2,92","63,70",201,"0,97","207,22",28,"0,38","73,68",30,"0,12","250,00",356,"3,83","92,95",4603,"6,07","758,32",448,"5,98","74,92",2068,"9,12","226,75"
479,"5,65","84,78",8061,"7,13","1130,58",555,"5,57","99,64",3371,"3,22","1046,89",195,"2,80","69,64",265,"1,19","222,69",19,"0,28","67,86",22,"0,09","244,44",493,"5,67","86,95",4431,"5,61","789,84",416,"5,74","72,47",2042,"9,11","224,15"
486,"5,27","92,22",8026,"7,33","1094,95",528,"5,45","96,88",4931,"4,78","1031,59",122,"1,86","65,59",267,"1,24","215,32",28,"0,40","70,00",29,"0,11","263,64",502,"5,62","89,32",4803,"5,99","801,84",457,"6,32","72,31",1405,"6,07","231,47"
390,"4,41","88,44",8031,"7,45","1077,99",356,"3,68","96,74",4917,"5,02","979,48",192,"2,92","65,75",250,"1,18","211,86",28,"0,42","66,67",30,"0,10","300,00",386,"4,31","89,56",4671,"6,00","778,50",477,"6,40","74,53",2062,"9,15","225,36"
482,"5,36","89,93",7436,"7,00","1062,29",520,"5,53","94,03",3269,"3,29","993,62",181,"2,89","62,63",264,"1,26","209,52",19,"0,28","67,86",28,"0,10","280,00",492,"5,56","88,49",4310,"5,63","765,54",312,"4,28","72,90",2102,"9,03","232,78"
483,"5,58","86,56",7243,"6,85","1057,37",550,"5,48","100,36",4866,"4,79","1015,87",145,"2,16","67,13",269,"1,21","222,31",28,"0,40","70,00",30,"0,10","300,00",507,"5,66","89,58",4363,"5,47","797,62",462,"6,35","72,76",1385,"6,07","228,17"
476,"5,30","89,81",8133,"7,60","1070,13",310,"3,65","84,93",5023,"4,84","1037,81",187,"2,81","66,55",246,"1,12","219,64",28,"0,39","71,79",29,"0,11","263,64",489,"5,42","90,22",4593,"5,95","771,93",466,"6,43","72,47",2009,"9,02","222,73"
502,"5,60","89,64",8103,"7,61","1064,78",489,"5,51","88,75",3852,"3,85","1000,52",186,"2,86","65,03",244,"1,13","215,93",20,"0,29","68,97",27,"0,10","270,00",500,"5,89","84,89",4722,"5,90","800,34",319,"4,31","74,01",2022,"9,18","220,26"
491,"5,53","88,79",5487,"5,07","1082,25",496,"5,51","90,02",4811,"4,80","1002,29",176,"2,65","66,42",264,"1,15","229,57",29,"0,40","72,50",27,"0,10","270,00",488,"5,60","87,14",3210,"4,01","800,50",463,"6,35","72,91",1562,"6,93","225,40"
463,"5,18","89,38",8054,"7,37","1092,81",332,"3,64","91,21",4902,"4,92","996,34",184,"2,86","64,34",260,"1,21","214,88",27,"0,38","71,05",30,"0,11","272,73",465,"5,26","88,40",4603,"5,97","771,02",464,"6,33","73,30",1967,"8,96","219,53"
460,"5,06","90,91",8243,"7,31","1127,63",492,"5,61","87,70",4790,"4,55","1052,75",187,"2,80","66,79",179,"0,83","215,66",23,"0,33","69,70",31,"0,12","258,33",477,"5,14","92,80",4674,"5,98","781,61",317,"4,28","74,07",2078,"8,98","231,40"
495,"5,49","90,16",5571,"4,98","1118,67",510,"5,45","93,58",4839,"4,89","989,57",169,"2,62","64,50",268,"1,21","221,49",28,"0,40","70,00",28,"0,11","254,55",503,"5,67","88,71",3213,"4,07","789,43",465,"6,37","73,00",2012,"8,71","231,00"
509,"5,59","91,06",8262,"7,42","1113,48",407,"4,46","91,26",4951,"4,82","1027,18",179,"2,61","68,58",259,"1,25","207,20",29,"0,43","67,44",30,"0,10","300,00",503,"5,59","89,98",4644,"5,93","783,14",462,"6,25","73,92",2018,"9,11","221,51"
337,"3,75","89,87",8098,"7,45","1086,98",459,"5,42","84,69",4631,"4,59","1008,93",186,"3,02","61,59",179,"0,82","218,29",26,"0,42","61,90",28,"0,11","254,55",338,"3,90","86,67",4631,"6,13","755,46",373,"4,96","75,20",2099,"9,09","230,91"
489,"5,54","88,27",5525,"5,05","1094,06",499,"5,62","88,79",4495,"4,24","1060,14",181,"2,71","66,79",268,"1,24","216,13",28,"0,39","71,79",28,"0,11","254,55",485,"5,69","85,24",3167,"4,02","787,81",442,"6,20","71,29",1991,"8,60","231,51"
511,"5,54","92,24",7915,"7,40","1069,59",466,"5,29","88,09",4956,"4,88","1015,57",123,"1,91","64,40",261,"1,22","213,93",29,"0,42","69,05",30,"0,11","272,73",518,"5,67","91,36",4674,"6,18","756,31",464,"6,32","73,42",1801,"8,02","224,56"
331,"3,76","88,03",8284,"7,50","1104,53",489,"5,56","87,95",4967,"4,78","1039,12",187,"2,86","65,38",178,"0,82","217,07",27,"0,38","71,05",29,"0,10","290,00",345,"3,78","91,27",4726,"5,89","802,38",457,"6,14","74,43",2124,"9,04","234,96"
486,"5,61","86,63",6506,"5,86","1110,24",520,"5,58","93,19",3430,"3,31","1036,25",189,"2,98","63,42",265,"1,22","217,21",29,"0,41","70,73",28,"0,11","254,55",506,"5,62","90,04",3696,"4,67","791,43",450,"6,28","71,66",2053,"9,14","224,62"
483,"5,47","88,30",7424,"7,26","1022,59",475,"5,26","90,30",5118,"4,96","1031,85",125,"2,00","62,50",257,"1,19","215,97",28,"0,42","66,67",30,"0,12","250,00",504,"5,72","88,11",4473,"5,90","758,14",468,"6,41","73,01",1326,"6,09","217,73"
353,"3,73","94,64",8016,"7,25","1105,66",469,"5,07","92,50",5076,"4,87","1042,30",190,"2,80","67,86",211,"0,91","231,87",26,"0,36","72,22",29,"0,10","290,00",347,"3,87","89,66",4660,"6,02","774,09",431,"5,94","72,56",2036,"9,02","225,72"
484,"5,38","89,96",7750,"6,99","1108,73",503,"5,51","91,29",3419,"3,31","1032,93",182,"2,87","63,41",262,"1,19","220,17",27,"0,38","71,05",29,"0,11","263,64",489,"5,55","88,11",4486,"5,67","791,18",413,"5,90","70,00",2096,"9,05","231,60"
512,"5,51","92,92",7842,"7,42","1056,87",495,"5,55","89,19",5096,"4,78","1066,11",125,"1,98","63,13",263,"1,22","215,57",27,"0,39","69,23",30,"0,10","300,00",516,"5,75","89,74",4591,"5,95","771,60",463,"6,28","73,73",1370,"6,20","220,97"
391,"4,43","88,26",8015,"7,51","1067,24",322,"3,77","85,41",5082,"4,84","1050,00",188,"2,89","65,05",254,"1,13","224,78",28,"0,38","73,68",28,"0,10","280,00",396,"4,36","90,83",4691,"5,97","785,76",458,"6,42","71,34",2053,"8,97","228,87"
475,"5,65","84,07",7695,"7,13","1079,24",505,"5,58","90,50",3315,"3,29","1007,60",184,"2,88","63,89",264,"1,24","212,90",28,"0,39","71,79",30,"0,11","272,73",499,"5,55","89,91",4359,"5,50","792,55",312,"4,25","73,41",2082,"9,08","229,30"
507,"5,56","91,19",7176,"6,96","1031,03",526,"5,51","95,46",4985,"4,83","1032,09",148,"2,17","68,20",265,"1,18","224,58",27,"0,37","72,97",30,"0,12","250,00",488,"5,59","87,30",4285,"5,59","766,55",467,"6,41","72,85",1307,"6,17","211,83"
493,"5,25","93,90",8224,"7,49","1098,00",359,"3,78","94,97",4994,"4,71","1060,30",184,"2,95","62,37",245,"1,06","231,13",27,"0,39","69,23",26,"0,08","325,00",480,"5,34","89,89",4726,"6,03","783,75",459,"6,36","72,17",2054,"9,06","226,71"
