falcon512 - p256_mlkem512;falcon512 - x25519_mlkem512;falcon512 - mlkem512;sphincssha2128fsimple - p256_mlkem512;sphincssha2128fsimple - x25519_mlkem512;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - p256_mlkem512;sphincssha2128ssimple - x25519_mlkem512;sphincssha2128ssimple - mlkem512;mayo1 - p256_mlkem512;mayo1 - x25519_mlkem512;mayo1 - mlkem512;CROSSrsdpg128balanced - p256_mlkem512;CROSSrsdpg128balanced - x25519_mlkem512;CROSSrsdpg128balanced - mlkem512
2056;5329;5918;569;641;545;44;43;45;2628;4594;8506;1802;3834;4077
1424;5388;6278;392;657;684;42;44;30;2595;6914;6841;1876;3664;4404
2132;5367;6702;558;503;683;44;42;44;1678;6768;8755;1775;3841;2823
2040;5354;4323;562;623;664;44;44;45;2509;4500;8457;1814;4042;4164
1633;5211;6566;391;673;681;42;45;30;2485;6628;8419;1883;2741;4212
2110;5109;6671;545;612;707;45;41;44;1711;6655;8608;1770;3966;2855
1995;4843;4489;541;636;615;43;41;44;2661;5098;8681;1825;3922;4175
2002;5332;6490;413;665;632;43;44;30;2605;6298;8032;1865;2789;4203
2044;5435;6415;549;616;706;44;45;42;1713;6614;7828;1881;4060;3546
2100;3559;4383;555;639;696;42;30;45;2611;6278;8586;1212;3933;4215
2099;5431;6500;540;643;462;44;45;36;2509;6650;8658;1828;2734;4465
1907;5359;6408;552;597;703;44;43;43;1988;6691;5998;1869;4086;4137
2071;3609;5202;570;579;675;41;30;44;2561;6076;8642;1262;4016;4407
2145;5245;6339;539;631;470;45;43;43;2539;6155;8633;1897;3273;4398
1416;5204;6343;493;652;695;44;45;44;2423;6700;5788;1828;3930;4247
2088;3744;6068;560;427;709;41;30;44;2632;6606;8692;1235;4042;3864
2098;5157;6397;573;647;443;41;45;42;2633;4634;8275;1839;3807;4346
1449;5357;6518;368;667;703;44;43;44;2292;6578;5875;1867;3908;4511
2101;4231;6106;560;422;705;44;35;45;2313;6593;8644;1458;3800;2895
2061;5249;5860;572;671;519;42;45;41;2524;4392;8624;1789;3511;4249
1426;5276;6648;368;653;685;45;43;41;2561;6467;6935;1812;3412;4303
2140;5190;6645;552;421;696;44;43;45;1709;6484;8668;1871;3903;2790
2119;5297;4340;576;640;651;42;43;44;2584;4451;8372;1874;3799;4231
1751;5357;6515;371;644;703;44;44;42;2483;6583;8321;1856;2612;4284
2119;5027;6510;556;507;682;43;42;45;1700;6425;8551;1828;3774;2802
