mldsa65,p384_mlkem768,,mldsa65,x448_mlkem768,,mldsa65,mlkem768,,sphincssha2192fsimple,p384_mlkem768,,sphincssha2192fsimple,mlkem768,,sphincssha2192fsimple,x448_mlkem768,,sphincssha2192ssimple,p384_mlkem768,,sphincssha2192ssimple,x448_mlkem768,,sphincssha2192ssimple,mlkem768,,mayo3,p384_mlkem768,,mayo3,x448_mlkem768,,mayo3,mlkem768,,CROSSrsdpg192balanced,p384_mlkem768,,CROSSrsdpg192balanced,x448_mlkem768,,CROSSrsdpg192balanced,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
602,"3,95","152,41",3404,"6,36","535,22",8215,"6,65","1235,34",226,"2,46","91,87",465,"2,25","206,67",460,"2,57","178,99",26,"0,26","100,00",27,"0,11","245,45",26,"0,07","371,43",923,"5,88","156,97",3178,"6,35","500,47",6520,"6,29","1036,57",793,"6,61","119,97",2066,"8,23","251,03",2081,"5,98","347,99"
887,"5,62","157,83",2758,"5,16","534,50",7740,"6,15","1258,54",321,"3,49","91,98",467,"2,25","207,56",296,"1,75","169,14",27,"0,23","117,39",27,"0,12","225,00",27,"0,08","337,50",925,"5,87","157,58",3372,"6,62","509,37",6579,"6,28","1047,61",721,"6,40","112,66",2081,"8,44","246,56",3003,"9,01","333,30"
894,"5,83","153,34",3315,"6,36","521,23",7542,"5,98","1261,20",351,"3,57","98,32",360,"1,71","210,53",435,"2,66","163,53",25,"0,22","113,64",27,"0,11","245,45",27,"0,08","337,50",734,"4,72","155,51",3333,"6,68","498,95",4426,"4,27","1036,53",786,"6,70","117,31",1463,"5,69","257,12",2860,"9,07","315,33"
603,"3,99","151,13",3441,"6,36","541,04",7973,"6,58","1211,70",223,"2,37","94,09",456,"2,23","204,48",453,"2,51","180,48",25,"0,23","108,70",27,"0,11","245,45",25,"0,08","312,50",947,"5,74","164,98",3216,"6,28","512,10",6421,"6,27","1024,08",753,"6,75","111,56",2085,"8,40","248,21",1999,"6,08","328,78"
873,"5,74","152,09",3381,"6,02","561,63",8534,"6,54","1304,89",320,"3,54","90,40",479,"2,17","220,74",307,"1,76","174,43",26,"0,24","108,33",27,"0,10","270,00",25,"0,07","357,14",918,"5,95","154,29",3019,"6,19","487,72",6596,"6,33","1042,02",734,"6,09","120,53",2116,"8,34","253,72",3046,"9,09","335,09"
889,"5,67","156,79",3556,"6,41","554,76",5339,"4,45","1199,78",345,"3,62","95,30",425,"2,23","190,58",446,"2,64","168,94",27,"0,24","112,50",27,"0,12","225,00",28,"0,08","350,00",869,"5,64","154,08",3407,"6,75","504,74",4323,"4,29","1007,69",718,"6,11","117,51",1460,"5,71","255,69",2899,"8,88","326,46"
727,"4,58","158,73",3355,"6,22","539,39",8278,"6,51","1271,58",211,"2,28","92,54",481,"2,31","208,23",455,"2,63","173,00",26,"0,25","104,00",27,"0,12","225,00",27,"0,07","385,71",946,"5,81","162,82",3416,"6,75","506,07",6546,"6,37","1027,63",761,"6,52","116,72",2091,"8,29","252,23",2231,"7,28","306,46"
894,"5,87","152,30",3274,"6,07","539,37",8557,"6,56","1304,42",340,"3,66","92,90",464,"2,32","200,00",340,"2,10","161,90",26,"0,24","108,33",26,"0,09","288,89",26,"0,07","371,43",942,"5,84","161,30",2278,"4,42","515,38",6540,"6,41","1020,28",804,"6,64","121,08",2087,"8,37","249,34",2810,"8,72","322,25"
914,"5,82","157,04",3154,"5,77","546,62",5530,"4,45","1242,70",323,"3,55","90,99",433,"2,14","202,34",432,"2,53","170,75",27,"0,26","103,85",27,"0,11","245,45",27,"0,07","385,71",892,"5,49","162,48",3300,"6,70","492,54",4443,"4,40","1009,77",526,"4,48","117,41",1434,"5,69","252,02",2984,"8,90","335,28"
897,"5,61","159,89",3403,"6,44","528,42",8400,"6,77","1240,77",281,"2,84","98,94",423,"2,16","195,83",444,"2,48","179,03",26,"0,23","113,04",27,"0,11","245,45",27,"0,07","385,71",838,"5,59","149,91",3371,"6,75","499,41",6455,"6,15","1049,59",793,"6,73","117,83",2146,"8,45","253,96",2739,"8,51","321,86"
923,"5,80","159,14",3454,"6,37","542,23",8480,"6,76","1254,44",328,"3,51","93,45",482,"2,23","216,14",396,"2,54","155,91",27,"0,24","112,50",25,"0,09","277,78",25,"0,07","357,14",946,"6,00","157,67",2380,"4,51","527,72",6582,"6,30","1044,76",808,"6,61","122,24",2106,"8,27","254,66",2966,"8,98","330,29"
895,"5,88","152,21",2258,"4,22","535,07",5737,"4,28","1340,42",341,"3,60","94,72",459,"2,26","203,10",448,"2,57","174,32",26,"0,25","104,00",27,"0,12","225,00",28,"0,08","350,00",927,"5,96","155,54",3322,"6,70","495,82",5072,"5,03","1008,35",580,"4,49","129,18",1646,"6,56","250,91",2995,"9,08","329,85"
831,"5,43","153,04",3383,"6,50","520,46",8402,"6,43","1306,69",314,"3,45","91,01",320,"1,59","201,26",420,"2,53","166,01",26,"0,23","113,04",27,"0,10","270,00",26,"0,08","325,00",627,"3,98","157,54",3354,"6,67","502,85",6364,"6,13","1038,17",826,"6,64","124,40",2021,"8,22","245,86",2751,"8,30","331,45"
838,"5,39","155,47",3493,"6,70","521,34",8369,"6,56","1275,76",335,"3,75","89,33",462,"2,30","200,87",418,"2,40","174,17",25,"0,22","113,64",25,"0,10","250,00",26,"0,09","288,89",930,"5,70","163,16",2292,"4,57","501,53",6489,"6,34","1023,50",789,"6,68","118,11",2175,"8,45","257,40",2786,"8,29","336,07"
875,"5,85","149,57",2349,"4,44","529,05",6609,"5,25","1258,86",330,"3,71","88,95",456,"2,25","202,67",408,"2,42","168,60",26,"0,23","113,04",25,"0,11","227,27",27,"0,08","337,50",917,"5,82","157,56",3439,"6,75","509,48",6250,"5,97","1046,90",570,"4,47","127,52",1943,"7,86","247,20",2954,"8,96","329,69"
895,"5,80","154,31",3443,"6,47","532,15",8022,"6,54","1226,61",327,"3,40","96,18",320,"1,46","219,18",433,"2,59","167,18",26,"0,23","113,04",27,"0,11","245,45",25,"0,08","312,50",631,"3,92","160,97",3281,"6,63","494,87",6435,"6,33","1016,59",842,"6,74","124,93",2055,"8,44","243,48",2925,"8,97","326,09"
617,"3,88","159,02",3426,"6,47","529,52",8548,"6,73","1270,13",297,"3,28","90,55",462,"2,23","207,17",437,"2,66","164,29",27,"0,23","117,39",27,"0,10","270,00",28,"0,09","311,11",936,"5,75","162,78",2713,"5,31","510,92",6448,"6,32","1020,25",847,"6,74","125,67",2179,"8,50","256,35",1981,"6,00","330,17"
950,"5,72","166,08",2290,"4,43","516,93",7897,"6,31","1251,51",339,"3,62","93,65",471,"2,28","206,58",305,"1,79","170,39",25,"0,23","108,70",26,"0,11","236,36",27,"0,09","300,00",909,"5,77","157,54",3345,"6,68","500,75",6136,"5,91","1038,24",640,"5,29","120,98",2015,"7,87","256,04",2986,"8,97","332,89"
880,"5,84","150,68",3401,"6,50","523,23",8237,"6,64","1240,51",344,"3,58","96,09",328,"1,49","220,13",426,"2,47","172,47",27,"0,24","112,50",26,"0,11","236,36",26,"0,07","371,43",650,"3,97","163,73",3311,"6,78","488,35",5840,"5,76","1013,89",800,"6,59","121,40",1891,"7,63","247,84",2931,"8,97","326,76"
