rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
1035,"0,89","1162,92",1666,"1,83","910,38",1031,"0,86","1198,84",1134,"1,00","1134,00",1175,"1,27","925,20",1685,"1,50","1123,33",1400,"1,20","1166,67",1996,"1,90","1050,53",1358,"1,25","1086,40",624,"2,43","256,79",315,"1,57","200,64",466,"1,88","247,87",39,"0,10","390,00",31,"0,08","387,50",40,"0,10","400,00"
1682,"1,43","1176,22",1103,"1,22","904,10",1728,"1,66","1040,96",748,"0,66","1133,33",1464,"1,75","836,57",1288,"1,15","1120,00",1460,"1,20","1216,67",1860,"1,76","1056,82",1419,"1,24","1144,35",485,"1,92","252,60",295,"1,38","213,77",471,"1,90","247,89",43,"0,12","358,33",39,"0,09","433,33",29,"0,08","362,50"
1343,"1,11","1209,91",852,"0,88","968,18",684,"0,64","1068,75",1519,"1,36","1116,91",347,"0,41","846,34",1807,"1,59","1136,48",1646,"1,38","1192,75",1411,"1,24","1137,90",1610,"1,42","1133,80",497,"1,94","256,19",554,"2,53","218,97",290,"1,20","241,67",29,"0,07","414,29",42,"0,11","381,82",40,"0,10","400,00"
1713,"1,40","1223,57",1322,"1,24","1066,13",1194,"1,05","1137,14",2314,"2,05","1128,78",1500,"1,68","892,86",2221,"2,33","953,22",2069,"1,60","1293,12",1128,"1,08","1044,44",1915,"1,75","1094,29",516,"1,98","260,61",412,"1,86","221,51",612,"2,41","253,94",43,"0,11","390,91",40,"0,10","400,00",44,"0,12","366,67"
729,"0,63","1157,14",1170,"1,17","1000,00",1021,"0,99","1031,31",1737,"1,53","1135,29",980,"1,13","867,26",1791,"1,59","1126,42",1567,"1,33","1178,20",1378,"1,32","1043,94",2697,"2,34","1152,56",566,"2,23","253,81",356,"1,77","201,13",569,"2,20","258,64",43,"0,11","390,91",40,"0,10","400,00",40,"0,09","444,44"
1069,"0,94","1137,23",953,"1,06","899,06",585,"0,56","1044,64",1425,"1,28","1113,28",1198,"1,51","793,38",1711,"1,75","977,71",821,"0,64","1282,81",858,"0,85","1009,41",1732,"1,44","1202,78",556,"2,12","262,26",513,"2,22","231,08",242,"0,95","254,74",30,"0,08","375,00",39,"0,11","354,55",39,"0,08","487,50"
1105,"0,90","1227,78",907,"0,97","935,05",939,"0,94","998,94",1827,"1,66","1100,60",1430,"1,55","922,58",1362,"1,25","1089,60",1595,"1,38","1155,80",805,"0,74","1087,84",1375,"1,17","1175,21",387,"1,51","256,29",560,"2,50","224,00",444,"1,74","255,17",42,"0,11","381,82",43,"0,11","390,91",43,"0,12","358,33"
1083,"0,90","1203,33",587,"0,62","946,77",1278,"1,14","1121,05",973,"0,89","1093,26",1588,"1,78","892,13",2110,"2,12","995,28",1282,"1,10","1165,45",1749,"1,60","1093,12",1116,"0,95","1174,74",590,"2,33","253,22",408,"1,93","211,40",442,"1,78","248,31",43,"0,11","390,91",41,"0,10","410,00",40,"0,11","363,64"
1012,"0,83","1219,28",715,"0,69","1036,23",1695,"1,65","1027,27",2035,"1,80","1130,56",1094,"1,26","868,25",2321,"2,06","1126,70",1591,"1,28","1242,97",1601,"1,43","1119,58",1438,"1,26","1141,27",254,"1,03","246,60",475,"2,11","225,12",455,"1,74","261,49",30,"0,07","428,57",43,"0,10","430,00",40,"0,10","400,00"
