ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
264;527;430;1585;485;1322;113;226;27;30
361;663;365;712;626;1916;180;147;24;29
307;486;383;1635;317;1087;195;194;29;20
403;815;532;2310;541;1804;171;203;28;29
425;767;620;1203;480;1436;168;170;26;30
285;761;484;2227;395;1172;179;226;27;27
376;1055;534;2344;391;1563;204;255;26;29
360;906;534;1452;515;1966;130;191;28;30
396;851;472;1838;535;1458;156;203;27;26
336;733;527;1761;535;1333;201;220;28;28
377;722;538;1164;410;1577;132;236;27;29
360;456;475;1710;455;1333;182;230;28;26
342;804;559;1633;457;1261;198;213;28;27
261;632;581;1119;441;1584;138;244;27;29
371;864;573;2600;455;1434;200;149;28;29
440;521;524;2075;363;1150;185;208;28;29
277;717;446;1505;528;1029;116;227;27;29
411;738;429;1640;517;1028;194;116;26;25
327;1082;595;1592;286;1565;197;235;28;28
230;854;543;2554;415;857;193;230;26;29
329;763;405;1862;441;992;193;142;26;28
401;448;489;1784;301;1583;198;213;28;29
360;552;628;1946;571;2329;174;199;28;29
356;717;377;2231;469;918;184;171;27;27
409;933;610;1123;392;1936;207;240;28;25
386;589;550;1192;489;996;204;233;28;29
397;1053;321;2238;508;1767;139;200;28;29
415;613;494;2125;473;1669;200;239;28;28
312;644;492;2074;468;1169;186;207;28;29
376;823;401;1445;430;1338;139;236;24;29
327;589;501;2406;571;1551;164;233;28;28
268;764;633;1221;454;1906;202;200;26;29
183;902;318;2931;569;1638;126;212;28;28
407;602;547;2572;594;1481;182;155;26;29
416;428;614;1553;380;1398;196;219;27;29
227;861;569;2391;604;1206;130;227;28;28
421;769;376;1865;579;1621;200;141;29;28
428;634;512;1369;357;1547;173;198;26;29
299;779;556;1964;486;1171;165;224;27;28
383;994;444;1547;569;2050;176;142;28;30
348;773;361;1396;275;995;206;221;29;28
250;883;401;1705;493;1731;169;215;27;27
432;812;322;1794;531;1983;184;168;28;27
481;808;638;1676;405;1529;172;191;28;29
357;708;429;2167;568;2009;177;237;27;29
424;716;460;1916;467;1892;118;244;28;28
365;698;619;1747;525;1377;171;205;27;29
296;929;540;1691;494;1965;205;204;28;29
360;813;456;2224;405;922;98;203;29;28
396;761;529;1007;478;1625;186;163;27;29
