SIG_ALG;KEM_ALG;Read Bytes;Written Bytes
falcon512;kyber512;3457;1269
falcon512;kyber768;3781;1653
falcon512;kyber1024;4260;2037
falcon1024;kyber512;5585;1269
falcon1024;kyber768;5916;1653
falcon1024;kyber1024;6394;2037
falconpadded512;kyber512;3486;1269
falconpadded512;kyber768;3806;1653
falconpadded512;kyber1024;4286;2037
falconpadded1024;kyber512;5610;1269
falconpadded1024;kyber768;5930;1653
falconpadded1024;kyber1024;6410;2037
