ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
1047;1043;575;935;795
1094;1099;822;1019;1114
749;922;824;1065;1113
1069;1026;712;1071;1029
1066;1099;815;1036;1030
719;1101;828;1107;1111
1063;764;779;1082;1106
1092;1131;798;1035;749
925;1149;822;1065;1110
1051;749;826;1020;1121
1067;1105;565;1088;751
1009;1099;836;1092;1111
970;781;828;1048;1115
1121;1102;585;1069;751
1114;1125;881;1097;1114
733;853;827;1031;1109
1123;1088;555;1022;872
1105;1134;871;1071;1100
723;1044;833;1101;1110
1066;1011;657;740;1060
1070;1098;808;1107;1117
743;1110;872;1108;1117
1086;777;785;725;1049
1128;1140;870;1082;1027
860;1105;817;1087;1104
1035;756;832;722;1112
1063;1142;744;1085;761
1071;1140;815;1073;1124
1114;780;813;848;1106
1123;1109;591;1071;757
1039;1105;827;1091;1123
974;878;819;1030;1130
1064;1081;562;1083;762
1125;1102;872;1071;1113
759;1107;821;1011;1121
1112;1136;559;1006;878
1106;1112;828;1091;1109
750;1038;869;1082;1111
1128;1042;695;722;1062
1120;1118;809;1077;1112
755;1149;872;1088;1111
1129;769;843;731;1039
1101;1150;870;1088;1028
891;1133;817;1075;1116
1096;764;779;731;1115
1128;1146;827;1075;753
1073;1159;824;1078;1129
1056;741;769;834;1106
1103;1120;808;1076;745
1053;1150;872;1096;1095
