ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
1047,"1,42","737,32",1043,"0,99","1053,54",575,"1,63","352,76",935,"1,14","820,18",795,"0,95","836,84"
1094,"1,22","896,72",1099,"1,29","851,94",822,"2,66","309,02",1019,"1,35","754,81",1114,"1,23","905,69"
749,"0,81","924,69",922,"1,05","878,10",824,"2,60","316,92",1065,"1,51","705,30",1113,"1,27","876,38"
1069,"1,49","717,45",1026,"1,17","876,92",712,"2,32","306,90",1071,"1,53","700,00",1029,"1,21","850,41"
1066,"1,44","740,28",1099,"1,29","851,94",815,"2,57","317,12",1036,"1,41","734,75",1030,"1,18","872,88"
719,"0,95","756,84",1101,"1,27","866,93",828,"2,61","317,24",1107,"1,33","832,33",1111,"1,23","903,25"
1063,"1,44","738,19",764,"0,73","1046,58",779,"2,47","315,38",1082,"1,28","845,31",1106,"1,27","870,87"
1092,"1,28","853,12",1131,"1,10","1028,18",798,"2,24","356,25",1035,"1,44","718,75",749,"0,85","881,18"
925,"1,25","740,00",1149,"1,11","1035,14",822,"2,63","312,55",1065,"1,55","687,10",1110,"1,26","880,95"
1051,"1,44","729,86",749,"0,85","881,18",826,"2,63","314,07",1020,"1,40","728,57",1121,"1,23","911,38"
1067,"1,41","756,74",1105,"1,24","891,13",565,"1,76","321,02",1088,"1,31","830,53",751,"0,84","894,05"
1009,"1,30","776,15",1099,"1,28","858,59",836,"2,57","325,29",1092,"1,41","774,47",1111,"1,29","861,24"
970,"1,32","734,85",781,"0,72","1084,72",828,"2,64","313,64",1048,"1,25","838,40",1115,"1,26","884,92"
1121,"1,23","911,38",1102,"1,29","854,26",585,"1,67","350,30",1069,"1,52","703,29",751,"0,85","883,53"
1114,"1,31","850,38",1125,"1,08","1041,67",881,"2,46","358,13",1097,"1,39","789,21",1114,"1,27","877,17"
733,"0,97","755,67",853,"0,99","861,62",827,"2,62","315,65",1031,"1,21","852,07",1109,"1,29","859,69"
1123,"1,24","905,65",1088,"1,27","856,69",555,"1,78","311,80",1022,"1,26","811,11",872,"0,95","917,89"
1105,"1,35","818,52",1134,"1,11","1021,62",871,"2,46","354,07",1071,"1,56","686,54",1100,"1,22","901,64"
723,"0,97","745,36",1044,"1,18","884,75",833,"2,57","324,12",1101,"1,32","834,09",1110,"1,26","880,95"
1066,"1,39","766,91",1011,"1,14","886,84",657,"2,08","315,87",740,"0,92","804,35",1060,"1,20","883,33"
1070,"1,41","758,87",1098,"1,30","844,62",808,"2,53","319,37",1107,"1,31","845,04",1117,"1,26","886,51"
743,"0,84","884,52",1110,"1,21","917,36",872,"2,45","355,92",1108,"1,35","820,74",1117,"1,26","886,51"
1086,"1,48","733,78",777,"0,76","1022,37",785,"2,54","309,06",725,"0,99","732,32",1049,"1,14","920,18"
1128,"1,20","940,00",1140,"1,13","1008,85",870,"2,39","364,02",1082,"1,42","761,97",1027,"1,19","863,03"
860,"1,16","741,38",1105,"1,27","870,08",817,"2,62","311,83",1087,"1,42","765,49",1104,"1,30","849,23"
1035,"1,41","734,04",756,"0,75","1008,00",832,"2,28","364,91",722,"0,98","736,73",1112,"1,23","904,07"
1063,"1,44","738,19",1142,"1,10","1038,18",744,"2,39","311,30",1085,"1,37","791,97",761,"0,81","939,51"
1071,"1,17","915,38",1140,"1,11","1027,03",815,"2,60","313,46",1073,"1,46","734,93",1124,"1,22","921,31"
1114,"1,22","913,11",780,"0,72","1083,33",813,"2,61","311,49",848,"1,08","785,19",1106,"1,32","837,88"
1123,"1,24","905,65",1109,"1,29","859,69",591,"1,63","362,58",1071,"1,37","781,75",757,"0,82","923,17"
1039,"1,26","824,60",1105,"1,25","884,00",827,"2,59","319,31",1091,"1,39","784,89",1123,"1,25","898,40"
974,"1,30","749,23",878,"0,98","895,92",819,"2,63","311,41",1030,"1,31","786,26",1130,"1,23","918,70"
1064,"1,40","760,00",1081,"1,18","916,10",562,"1,70","330,59",1083,"1,43","757,34",762,"0,82","929,27"
1125,"1,25","900,00",1102,"1,28","860,94",872,"2,47","353,04",1071,"1,42","754,23",1113,"1,29","862,79"
759,"0,82","925,61",1107,"1,02","1085,29",821,"2,62","313,36",1011,"1,28","789,84",1121,"1,23","911,38"
1112,"1,32","842,42",1136,"1,11","1023,42",559,"1,73","323,12",1006,"1,29","779,84",878,"0,96","914,58"
1106,"1,33","831,58",1112,"1,20","926,67",828,"2,57","322,18",1091,"1,36","802,21",1109,"1,21","916,53"
750,"0,88","852,27",1038,"1,21","857,85",869,"2,47","351,82",1082,"1,39","778,42",1111,"1,28","867,97"
1128,"1,20","940,00",1042,"1,00","1042,00",695,"1,93","360,10",722,"0,98","736,73",1062,"1,15","923,48"
1120,"1,24","903,23",1118,"1,19","939,50",809,"2,51","322,31",1077,"1,43","753,15",1112,"1,28","868,75"
755,"0,83","909,64",1149,"1,08","1063,89",872,"2,49","350,20",1088,"1,39","782,73",1111,"1,30","854,62"
1129,"1,22","925,41",769,"0,75","1025,33",843,"2,35","358,72",731,"0,94","777,66",1039,"1,18","880,51"
1101,"1,39","792,09",1150,"1,12","1026,79",870,"2,41","361,00",1088,"1,39","782,73",1028,"1,16","886,21"
891,"0,98","909,18",1133,"1,21","936,36",817,"2,66","307,14",1075,"1,43","751,75",1116,"1,24","900,00"
1096,"1,19","921,01",764,"0,82","931,71",779,"2,46","316,67",731,"0,94","777,66",1115,"1,24","899,19"
1128,"1,22","924,59",1146,"1,10","1041,82",827,"2,57","321,79",1075,"1,46","736,30",753,"0,82","918,29"
1073,"1,20","894,17",1159,"1,07","1083,18",824,"2,60","316,92",1078,"1,41","764,54",1129,"1,21","933,06"
1056,"1,38","765,22",741,"0,87","851,72",769,"2,39","321,76",834,"1,15","725,22",1106,"1,32","837,88"
1103,"1,32","835,61",1120,"1,13","991,15",808,"2,22","363,96",1076,"1,34","802,99",745,"0,87","856,32"
1053,"1,19","884,87",1150,"1,10","1045,45",872,"2,48","351,61",1096,"1,36","805,88",1095,"1,37","799,27"
