secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
338,"4,53","74,61",184,"2,81","65,48",458,"2,73","167,77"
357,"4,82","74,07",302,"4,64","65,09",603,"3,40","177,35"
275,"3,72","73,92",307,"4,62","66,45",648,"3,76","172,34"
358,"4,79","74,74",199,"3,10","64,19",650,"3,78","171,96"
362,"4,79","75,57",295,"4,64","63,58",438,"2,52","173,81"
335,"4,49","74,61",306,"4,62","66,23",629,"3,85","163,38"
328,"4,43","74,04",212,"3,22","65,84",627,"3,88","161,60"
355,"4,84","73,35",296,"4,51","65,63",432,"2,51","172,11"
348,"4,87","71,46",306,"4,60","66,52",639,"3,86","165,54"
241,"3,21","75,08",291,"4,37","66,59",629,"3,84","163,80"
356,"4,78","74,48",300,"4,64","64,66",436,"2,55","170,98"
356,"4,80","74,17",304,"4,66","65,24",646,"3,71","174,12"
241,"3,24","74,38",281,"4,34","64,75",616,"3,94","156,35"
359,"4,81","74,64",266,"4,30","61,86",512,"2,97","172,39"
357,"4,78","74,69",306,"4,62","66,23",615,"3,79","162,27"
241,"3,26","73,93",307,"4,61","66,59",629,"3,87","162,53"
360,"4,80","75,00",202,"3,16","63,92",603,"3,67","164,31"
360,"4,81","74,84",304,"4,58","66,38",628,"3,84","163,54"
277,"3,83","72,32",307,"4,63","66,31",629,"3,82","164,66"
344,"4,77","72,12",204,"3,12","65,38",599,"3,55","168,73"
356,"4,86","73,25",302,"4,62","65,37",572,"3,58","159,78"
332,"4,66","71,24",304,"4,64","65,52",629,"3,89","161,70"
356,"4,81","74,01",204,"3,11","65,59",637,"3,81","167,19"
361,"4,78","75,52",297,"4,65","63,87",432,"2,56","168,75"
336,"4,51","74,50",305,"4,58","66,59",632,"3,84","164,58"
324,"4,44","72,97",238,"3,62","65,75",635,"3,81","166,67"
360,"4,82","74,69",298,"4,49","66,37",424,"2,56","165,62"
345,"4,85","71,13",308,"4,61","66,81",639,"3,74","170,86"
242,"3,28","73,78",290,"4,39","66,06",639,"3,77","169,50"
359,"4,80","74,79",305,"4,62","66,02",427,"2,59","164,86"
358,"4,80","74,58",307,"4,57","67,18",639,"3,75","170,40"
245,"3,23","75,85",287,"4,29","66,90",638,"3,78","168,78"
361,"4,84","74,59",281,"4,25","66,12",497,"3,04","163,49"
346,"4,85","71,34",307,"4,63","66,31",620,"3,73","166,22"
245,"3,24","75,62",302,"4,62","65,37",625,"3,89","160,67"
362,"4,78","75,73",205,"3,10","66,13",607,"3,63","167,22"
357,"4,80","74,38",305,"4,60","66,30",620,"3,84","161,46"
284,"3,78","75,13",293,"4,57","64,11",640,"3,75","170,67"
352,"4,69","75,05",206,"3,06","67,32",601,"3,51","171,23"
361,"4,80","75,21",296,"4,62","64,07",571,"3,47","164,55"
336,"4,57","73,52",293,"4,65","63,01",636,"3,81","166,93"
359,"4,75","75,58",202,"3,12","64,74",647,"3,78","171,16"
355,"4,82","73,65",308,"4,56","67,54",431,"2,53","170,36"
335,"4,51","74,28",305,"4,61","66,16",633,"3,80","166,58"
333,"4,42","75,34",228,"3,67","62,13",637,"3,79","168,07"
357,"4,80","74,38",300,"4,49","66,82",430,"2,58","166,67"
362,"4,82","75,10",310,"4,60","67,39",637,"3,85","165,45"
244,"3,22","75,78",289,"4,37","66,13",637,"3,79","168,07"
346,"4,84","71,49",303,"4,55","66,59",434,"2,53","171,54"
360,"4,83","74,53",308,"4,63","66,52",624,"3,88","160,82"
