secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
557,"3,80","146,58",741,"2,68","276,49",445,"3,82","116,49",710,"3,08","230,52",787,"2,45","321,22"
390,"2,49","156,63",719,"2,71","265,31",395,"3,44","114,83",732,"3,11","235,37",826,"2,76","299,28"
565,"3,78","149,47",738,"2,75","268,36",478,"3,92","121,94",502,"2,06","243,69",689,"2,30","299,57"
582,"3,72","156,45",774,"2,98","259,73",471,"4,00","117,75",738,"3,13","235,78",795,"2,51","316,73"
392,"2,52","155,56",770,"3,00","256,67",430,"3,82","112,57",742,"3,07","241,69",834,"2,72","306,62"
573,"3,82","150,00",765,"2,67","286,52",446,"3,62","123,20",504,"2,05","245,85",836,"2,75","304,00"
581,"3,75","154,93",793,"2,83","280,21",465,"4,04","115,10",725,"3,17","228,71",799,"2,60","307,31"
494,"3,15","156,83",778,"2,78","279,86",475,"3,97","119,65",741,"3,10","239,03",831,"2,76","301,09"
560,"3,82","146,60",770,"2,79","275,99",324,"2,64","122,73",630,"2,64","238,64",820,"2,72","301,47"
590,"3,71","159,03",776,"3,01","257,81",478,"3,96","120,71",729,"3,18","229,25",804,"2,64","304,55"
524,"3,62","144,75",770,"2,74","281,02",469,"4,00","117,25",746,"3,07","243,00",845,"2,66","317,67"
515,"3,61","142,66",780,"2,88","270,83",320,"2,65","120,75",684,"2,86","239,16",808,"2,69","300,37"
566,"3,81","148,56",778,"2,96","262,84",468,"4,01","116,71",668,"2,92","228,77",819,"2,71","302,21"
585,"3,70","158,11",743,"2,78","267,27",466,"4,07","114,50",737,"3,12","236,22",844,"2,68","314,93"
379,"2,59","146,33",781,"2,97","262,96",319,"2,63","121,29",731,"3,13","233,55",804,"2,60","309,23"
589,"3,71","158,76",783,"2,90","270,00",472,"3,95","119,49",497,"2,09","237,80",839,"2,70","310,74"
583,"3,67","158,86",740,"2,74","270,07",473,"3,94","120,05",737,"3,08","239,29",832,"2,77","300,36"
393,"2,52","155,95",732,"2,69","272,12",366,"3,12","117,31",742,"3,11","238,59",789,"2,52","313,10"
562,"3,86","145,60",802,"2,87","279,44",468,"3,89","120,31",495,"2,12","233,49",771,"2,54","303,54"
589,"3,71","158,76",804,"2,86","281,12",475,"3,96","119,95",734,"3,13","234,50",836,"2,74","305,11"
392,"2,54","154,33",535,"1,97","271,57",455,"3,71","122,64",730,"3,14","232,48",833,"2,76","301,81"
569,"3,84","148,18",783,"3,01","260,13",477,"3,97","120,15",495,"2,12","233,49",561,"1,86","301,61"
570,"3,82","149,21",794,"2,90","273,79",453,"4,00","113,25",750,"3,07","244,30",838,"2,76","303,62"
452,"2,94","153,74",534,"1,96","272,45",438,"3,65","120,00",744,"3,10","240,00",844,"2,72","310,29"
578,"3,65","158,36",787,"2,91","270,45",417,"3,71","112,40",584,"2,43","240,33",570,"1,84","309,78"
571,"3,76","151,86",783,"2,97","263,64",454,"4,08","111,27",734,"3,01","243,85",846,"2,73","309,89"
551,"3,58","153,91",541,"1,93","280,31",466,"4,05","115,06",747,"3,08","242,53",851,"2,67","318,73"
559,"3,89","143,70",780,"2,97","262,63",320,"2,67","119,85",707,"2,92","242,12",571,"1,82","313,74"
589,"3,72","158,33",785,"2,91","269,76",471,"3,97","118,64",736,"3,14","234,39",836,"2,77","301,81"
547,"3,49","156,73",617,"2,25","274,22",472,"4,00","118,00",748,"3,07","243,65",849,"2,69","315,61"
545,"3,45","157,97",789,"2,80","281,79",324,"2,67","121,35",692,"2,92","236,99",662,"2,10","315,24"
563,"3,79","148,55",795,"2,84","279,93",469,"3,96","118,43",687,"2,84","241,90",805,"2,76","291,67"
563,"3,80","148,16",750,"2,76","271,74",468,"3,98","117,59",744,"3,06","243,14",846,"2,67","316,85"
