secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
338;184;458
357;302;603
275;307;648
358;199;650
362;295;438
335;306;629
328;212;627
355;296;432
348;306;639
241;291;629
356;300;436
356;304;646
241;281;616
359;266;512
357;306;615
241;307;629
360;202;603
360;304;628
277;307;629
344;204;599
356;302;572
332;304;629
356;204;637
361;297;432
336;305;632
324;238;635
360;298;424
345;308;639
242;290;639
359;305;427
358;307;639
245;287;638
361;281;497
346;307;620
245;302;625
362;205;607
357;305;620
284;293;640
352;206;601
361;296;571
336;293;636
359;202;647
355;308;431
335;305;633
333;228;637
357;300;430
362;310;637
244;289;637
346;303;434
360;308;624
