rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
37,"0,06","616,67",50,"0,08","625,00",37,"0,06","616,67",52,"0,08","650,00",51,"0,09","566,67",53,"0,08","662,50",54,"0,07","771,43",41,"0,06","683,33",54,"0,07","771,43",34,"0,15","226,67",49,"0,23","213,04",48,"0,22","218,18",23,"0,07","328,57",23,"0,07","328,57",16,"0,05","320,00"
50,"0,07","714,29",54,"0,08","675,00",52,"0,07","742,86",45,"0,07","642,86",54,"0,09","600,00",54,"0,08","675,00",43,"0,04","1075,00",51,"0,07","728,57",54,"0,08","675,00",50,"0,22","227,27",41,"0,19","215,79",50,"0,22","227,27",16,"0,04","400,00",23,"0,07","328,57",22,"0,06","366,67"
53,"0,06","883,33",36,"0,05","720,00",53,"0,07","757,14",51,"0,08","637,50",45,"0,07","642,86",42,"0,06","700,00",53,"0,07","757,14",54,"0,08","675,00",41,"0,05","820,00",50,"0,22","227,27",47,"0,24","195,83",42,"0,19","221,05",24,"0,06","400,00",17,"0,05","340,00",24,"0,07","342,86"
54,"0,06","900,00",53,"0,07","757,14",52,"0,08","650,00",54,"0,08","675,00",51,"0,08","637,50",54,"0,07","771,43",54,"0,08","675,00",54,"0,08","675,00",50,"0,07","714,29",34,"0,14","242,86",50,"0,23","217,39",47,"0,19","247,37",24,"0,07","342,86",22,"0,06","366,67",21,"0,06","350,00"
51,"0,06","850,00",54,"0,07","771,43",53,"0,07","757,14",53,"0,08","662,50",54,"0,09","600,00",54,"0,09","600,00",52,"0,06","866,67",51,"0,08","637,50",54,"0,08","675,00",50,"0,21","238,10",50,"0,23","217,39",50,"0,22","227,27",22,"0,05","440,00",24,"0,06","400,00",22,"0,05","440,00"
53,"0,07","757,14",49,"0,08","612,50",53,"0,08","662,50",53,"0,07","757,14",54,"0,08","675,00",51,"0,08","637,50",53,"0,06","883,33",54,"0,08","675,00",54,"0,08","675,00",51,"0,23","221,74",48,"0,23","208,70",50,"0,23","217,39",24,"0,06","400,00",22,"0,07","314,29",24,"0,06","400,00"
54,"0,07","771,43",50,"0,07","714,29",51,"0,07","728,57",54,"0,08","675,00",51,"0,08","637,50",54,"0,07","771,43",54,"0,07","771,43",53,"0,08","662,50",37,"0,06","616,67",43,"0,18","238,89",50,"0,22","227,27",48,"0,22","218,18",24,"0,07","342,86",23,"0,07","328,57",23,"0,06","383,33"
51,"0,06","850,00",53,"0,08","662,50",54,"0,08","675,00",53,"0,07","757,14",54,"0,08","675,00",55,"0,09","611,11",52,"0,07","742,86",52,"0,08","650,00",54,"0,07","771,43",50,"0,20","250,00",48,"0,23","208,70",50,"0,23","217,39",22,"0,06","366,67",24,"0,08","300,00",23,"0,06","383,33"
53,"0,07","757,14",54,"0,08","675,00",53,"0,06","883,33",53,"0,08","662,50",53,"0,09","588,89",50,"0,07","714,29",53,"0,07","757,14",54,"0,08","675,00",54,"0,08","675,00",51,"0,23","221,74",49,"0,23","213,04",50,"0,23","217,39",24,"0,06","400,00",22,"0,07","314,29",24,"0,07","342,86"
