mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
32,"0,34","94,12",51,"0,08","637,50",48,"0,51","94,12",51,"0,09","566,67",25,"0,38","65,79",24,"0,13","184,62",17,"0,21","80,95",18,"0,06","300,00"
51,"0,52","98,08",54,"0,09","600,00",34,"0,33","103,03",54,"0,09","600,00",36,"0,51","70,59",36,"0,21","171,43",13,"0,15","86,67",18,"0,08","225,00"
50,"0,50","100,00",42,"0,07","600,00",51,"0,49","104,08",44,"0,07","628,57",34,"0,49","69,39",37,"0,22","168,18",18,"0,23","78,26",13,"0,06","216,67"
42,"0,44","95,45",54,"0,07","771,43",50,"0,50","100,00",51,"0,08","637,50",33,"0,45","73,33",31,"0,17","182,35",18,"0,24","75,00",17,"0,07","242,86"
47,"0,45","104,44",54,"0,07","771,43",34,"0,35","97,14",54,"0,08","675,00",35,"0,49","71,43",36,"0,22","163,64",15,"0,19","78,95",18,"0,07","257,14"
50,"0,52","96,15",51,"0,08","637,50",50,"0,49","102,04",53,"0,09","588,89",35,"0,53","66,04",36,"0,21","171,43",18,"0,23","78,26",17,"0,07","242,86"
51,"0,49","104,08",54,"0,08","675,00",50,"0,49","102,04",52,"0,09","577,78",32,"0,46","69,57",34,"0,20","170,00",17,"0,22","77,27",17,"0,07","242,86"
48,"0,49","97,96",55,"0,08","687,50",43,"0,46","93,48",54,"0,08","675,00",33,"0,48","68,75",36,"0,21","171,43",17,"0,21","80,95",17,"0,07","242,86"
50,"0,47","106,38",50,"0,08","625,00",50,"0,50","100,00",52,"0,09","577,78",35,"0,45","77,78",36,"0,21","171,43",17,"0,21","80,95",18,"0,07","257,14"
50,"0,46","108,70",50,"0,07","714,29",50,"0,49","102,04",53,"0,08","662,50",35,"0,52","67,31",34,"0,19","178,95",18,"0,22","81,82",17,"0,08","212,50"
49,"0,48","102,08",54,"0,08","675,00",48,"0,47","102,13",54,"0,09","600,00",33,"0,47","70,21",36,"0,19","189,47",17,"0,21","80,95",17,"0,08","212,50"
50,"0,50","100,00",55,"0,08","687,50",50,"0,46","108,70",52,"0,08","650,00",35,"0,47","74,47",37,"0,20","185,00",18,"0,23","78,26",17,"0,06","283,33"
49,"0,47","104,26",51,"0,07","728,57",51,"0,51","100,00",53,"0,09","588,89",34,"0,51","66,67",33,"0,20","165,00",17,"0,22","77,27",17,"0,07","242,86"
49,"0,52","94,23",54,"0,09","600,00",46,"0,45","102,22",54,"0,07","771,43",34,"0,47","72,34",34,"0,19","178,95",17,"0,21","80,95",18,"0,07","257,14"
50,"0,55","90,91",53,"0,08","662,50",47,"0,47","100,00",51,"0,08","637,50",35,"0,46","76,09",36,"0,22","163,64",18,"0,23","78,26",17,"0,07","242,86"
48,"0,48","100,00",53,"0,07","757,14",50,"0,49","102,04",55,"0,09","611,11",34,"0,49","69,39",35,"0,20","175,00",18,"0,22","81,82",19,"0,07","271,43"
50,"0,49","102,04",54,"0,09","600,00",50,"0,48","104,17",53,"0,10","530,00",34,"0,48","70,83",35,"0,19","184,21",16,"0,21","76,19",17,"0,07","242,86"
51,"0,51","100,00",52,"0,08","650,00",48,"0,45","106,67",50,"0,08","625,00",35,"0,49","71,43",36,"0,20","180,00",17,"0,21","80,95",16,"0,07","228,57"
47,"0,44","106,82",53,"0,07","757,14",50,"0,49","102,04",51,"0,08","637,50",33,"0,48","68,75",35,"0,20","175,00",18,"0,22","81,82",17,"0,08","212,50"
51,"0,52","98,08",54,"0,09","600,00",50,"0,48","104,17",54,"0,09","600,00",35,"0,49","71,43",35,"0,21","166,67",18,"0,22","81,82",18,"0,08","225,00"
