ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
51,"0,39","130,77",52,"0,20","260,00",36,"0,18","200,00",55,"0,07","785,71",34,"0,32","106,25",36,"0,20","180,00",16,"0,13","123,08",17,"0,05","340,00"
51,"0,39","130,77",51,"0,20","255,00",52,"0,28","185,71",50,"0,07","714,29",35,"0,31","112,90",35,"0,18","194,44",18,"0,13","138,46",18,"0,06","300,00"
49,"0,37","132,43",54,"0,18","300,00",53,"0,27","196,30",50,"0,07","714,29",36,"0,33","109,09",35,"0,20","175,00",16,"0,11","145,45",17,"0,05","340,00"
52,"0,39","133,33",51,"0,21","242,86",35,"0,18","194,44",54,"0,07","771,43",34,"0,31","109,68",37,"0,21","176,19",16,"0,13","123,08",17,"0,05","340,00"
51,"0,39","130,77",52,"0,19","273,68",52,"0,28","185,71",55,"0,07","785,71",35,"0,32","109,38",34,"0,18","188,89",17,"0,12","141,67",17,"0,06","283,33"
49,"0,35","140,00",54,"0,22","245,45",53,"0,29","182,76",51,"0,06","850,00",36,"0,32","112,50",36,"0,20","180,00",16,"0,11","145,45",17,"0,05","340,00"
52,"0,36","144,44",50,"0,19","263,16",35,"0,18","194,44",54,"0,07","771,43",33,"0,30","110,00",36,"0,21","171,43",16,"0,11","145,45",16,"0,04","400,00"
52,"0,37","140,54",53,"0,19","278,95",53,"0,28","189,29",54,"0,08","675,00",36,"0,33","109,09",34,"0,20","170,00",17,"0,13","130,77",16,"0,05","320,00"
47,"0,38","123,68",54,"0,20","270,00",52,"0,26","200,00",52,"0,07","742,86",36,"0,32","112,50",36,"0,19","189,47",16,"0,12","133,33",18,"0,06","300,00"
49,"0,36","136,11",49,"0,18","272,22",41,"0,20","205,00",54,"0,07","771,43",32,"0,30","106,67",36,"0,21","171,43",17,"0,12","141,67",17,"0,06","283,33"
51,"0,36","141,67",49,"0,21","233,33",52,"0,26","200,00",53,"0,08","662,50",34,"0,33","103,03",34,"0,18","188,89",17,"0,13","130,77",17,"0,05","340,00"
52,"0,39","133,33",54,"0,20","270,00",52,"0,28","185,71",53,"0,08","662,50",35,"0,33","106,06",34,"0,19","178,95",16,"0,10","160,00",16,"0,06","266,67"
49,"0,36","136,11",53,"0,20","265,00",50,"0,26","192,31",54,"0,07","771,43",36,"0,34","105,88",36,"0,20","180,00",18,"0,12","150,00",17,"0,05","340,00"
52,"0,39","133,33",50,"0,20","250,00",52,"0,28","185,71",52,"0,08","650,00",34,"0,33","103,03",36,"0,19","189,47",16,"0,12","133,33",17,"0,05","340,00"
50,"0,38","131,58",54,"0,20","270,00",53,"0,27","196,30",53,"0,08","662,50",35,"0,33","106,06",34,"0,20","170,00",16,"0,12","133,33",17,"0,05","340,00"
50,"0,40","125,00",52,"0,21","247,62",49,"0,24","204,17",55,"0,08","687,50",35,"0,32","109,38",36,"0,21","171,43",17,"0,12","141,67",17,"0,05","340,00"
51,"0,38","134,21",51,"0,18","283,33",53,"0,29","182,76",51,"0,07","728,57",35,"0,32","109,38",36,"0,20","180,00",17,"0,12","141,67",17,"0,05","340,00"
50,"0,38","131,58",53,"0,21","252,38",52,"0,25","208,00",54,"0,08","675,00",35,"0,34","102,94",35,"0,19","184,21",15,"0,11","136,36",17,"0,06","283,33"
