ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
558,"3,81","146,46",549,"1,64","334,76",536,"2,21","242,53",415,"0,34","1220,59",193,"1,78","108,43",132,"0,61","216,39",21,"0,14","150,00",27,"0,08","337,50"
259,"1,90","136,32",541,"1,54","351,30",191,"0,87","219,54",297,"0,26","1142,31",263,"2,36","111,44",284,"1,34","211,94",24,"0,15","160,00",27,"0,07","385,71"
376,"2,47","152,23",203,"0,61","332,79",530,"2,16","245,37",409,"0,38","1076,32",114,"1,06","107,55",223,"1,14","195,61",23,"0,16","143,75",18,"0,05","360,00"
406,"2,92","139,04",555,"1,54","360,39",222,"1,01","219,80",504,"0,46","1095,65",170,"1,54","110,39",142,"0,70","202,86",25,"0,16","156,25",27,"0,08","337,50"
239,"1,60","149,38",599,"1,71","350,29",341,"1,37","248,91",504,"0,42","1200,00",209,"1,91","109,42",272,"1,35","201,48",21,"0,16","131,25",27,"0,07","385,71"
515,"3,46","148,84",266,"0,82","324,39",436,"1,86","234,41",573,"0,52","1101,92",157,"1,36","115,44",304,"1,46","208,22",24,"0,16","150,00",21,"0,06","350,00"
371,"2,75","134,91",637,"1,89","337,04",485,"2,00","242,50",583,"0,50","1166,00",309,"2,35","131,49",125,"0,59","211,86",22,"0,15","146,67",24,"0,07","342,86"
373,"2,64","141,29",583,"1,66","351,20",455,"1,90","239,47",236,"0,21","1123,81",220,"1,61","136,65",138,"0,67","205,97",24,"0,17","141,18",24,"0,06","400,00"
473,"3,37","140,36",385,"1,11","346,85",687,"2,87","239,37",660,"0,65","1015,38",103,"0,76","135,53",166,"0,78","212,82",23,"0,16","143,75",26,"0,06","433,33"
405,"2,75","147,27",567,"1,66","341,57",448,"1,82","246,15",697,"0,63","1106,35",288,"2,16","133,33",225,"1,09","206,42",25,"0,17","147,06",27,"0,07","385,71"
402,"2,86","140,56",488,"1,31","372,52",377,"1,57","240,13",280,"0,25","1120,00",208,"1,54","135,06",246,"1,11","221,62",24,"0,16","150,00",26,"0,07","371,43"
501,"3,41","146,92",509,"1,47","346,26",267,"1,14","234,21",722,"0,65","1110,77",227,"1,66","136,75",344,"1,69","203,55",18,"0,13","138,46",24,"0,06","400,00"
528,"3,92","134,69",607,"1,67","363,47",572,"2,33","245,49",733,"0,66","1110,61",181,"1,39","130,22",279,"1,31","212,98",23,"0,16","143,75",27,"0,08","337,50"
357,"2,39","149,37",624,"1,91","326,70",474,"2,00","237,00",781,"0,65","1201,54",209,"1,52","137,50",206,"1,00","206,00",24,"0,17","141,18",27,"0,07","385,71"
247,"1,72","143,60",509,"1,63","312,27",577,"2,40","240,42",548,"0,46","1191,30",339,"2,45","138,37",240,"1,12","214,29",24,"0,17","141,18",21,"0,07","300,00"
373,"2,69","138,66",503,"1,44","349,31",541,"2,21","244,80",481,"0,36","1336,11",255,"1,87","136,36",283,"1,32","214,39",19,"0,13","146,15",26,"0,08","325,00"
313,"2,11","148,34",755,"2,13","354,46",399,"1,77","225,42",751,"0,59","1272,88",236,"1,75","134,86",222,"1,01","219,80",20,"0,13","153,85",27,"0,09","300,00"
402,"2,60","154,62",351,"1,06","331,13",489,"2,01","243,28",307,"0,24","1279,17",270,"2,16","125,00",310,"1,54","201,30",25,"0,17","147,06",26,"0,07","371,43"
