ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
558;549;536;415;193;132;21;27
259;541;191;297;263;284;24;27
376;203;530;409;114;223;23;18
406;555;222;504;170;142;25;27
239;599;341;504;209;272;21;27
515;266;436;573;157;304;24;21
371;637;485;583;309;125;22;24
373;583;455;236;220;138;24;24
473;385;687;660;103;166;23;26
405;567;448;697;288;225;25;27
402;488;377;280;208;246;24;26
501;509;267;722;227;344;18;24
528;607;572;733;181;279;23;27
357;624;474;781;209;206;24;27
247;509;577;548;339;240;24;21
373;503;541;481;255;283;19;26
313;755;399;751;236;222;20;27
402;351;489;307;270;310;25;26
340;500;577;315;180;185;24;26
250;478;327;323;247;213;23;26
390;756;368;479;179;263;25;26
289;369;217;441;260;281;24;26
377;453;611;572;324;217;23;27
220;495;426;617;232;166;25;26
274;531;469;637;211;211;25;23
525;347;449;652;269;161;26;27
323;455;311;590;218;288;25;25
377;474;316;742;179;277;22;24
362;952;376;896;270;214;22;28
350;535;229;230;197;232;24;25
297;558;590;686;113;266;22;27
454;357;558;515;224;199;23;24
523;257;570;587;194;199;23;23
235;646;398;563;168;258;21;27
343;684;280;640;267;150;25;28
221;704;463;725;242;206;25;22
226;549;367;693;295;196;24;25
251;513;632;621;309;319;24;24
436;555;421;529;269;187;25;21
331;391;469;476;260;219;26;27
428;371;410;545;324;329;24;26
317;771;377;585;212;232;24;26
225;503;446;341;229;318;22;27
436;558;493;483;305;337;24;27
398;323;307;362;348;269;23;25
358;518;392;660;428;255;25;26
351;686;421;731;498;289;23;27
182;648;234;551;372;266;24;25
533;459;329;634;325;327;23;22
422;265;361;524;343;194;25;27
