rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
566;619;382;403;647;640;193;362;431;228;344;336;41;38;37
567;447;425;352;389;392;481;312;432;315;304;406;34;43;39
440;718;474;529;654;217;343;298;845;220;269;187;27;24;27
418;373;494;712;544;704;324;589;523;353;272;212;37;42;36
591;574;557;713;287;644;797;359;527;254;341;306;41;32;39
626;292;389;339;252;349;470;451;273;325;269;263;37;30;27
328;306;304;562;427;502;557;614;390;217;293;339;38;42;38
480;395;643;855;498;376;889;446;678;206;411;276;36;42;38
653;289;448;321;494;224;597;569;827;289;171;246;36;33;38
322;418;480;319;593;530;245;532;447;282;269;338;36;42;37
576;460;403;681;765;406;752;295;676;295;226;413;35;40;42
500;326;379;391;672;219;276;646;549;320;323;380;40;39;40
509;415;616;408;786;309;982;379;410;186;335;223;38;43;35
750;568;491;342;210;668;678;319;513;323;268;291;37;44;37
301;217;323;690;648;757;404;511;813;333;293;481;35;42;40
671;336;573;503;652;635;457;560;372;213;429;263;39;44;40
502;413;339;492;431;715;513;547;658;292;381;244;36;40;39
289;336;515;604;799;518;642;499;465;311;301;207;35;31;38
481;443;578;227;405;757;534;443;645;310;390;228;39;40;34
399;331;471;401;315;605;545;393;682;369;310;280;41;34;40
534;461;527;660;410;502;397;574;382;332;401;263;35;38;39
355;441;594;581;617;725;337;731;677;337;372;280;37;35;34
439;524;493;399;557;203;433;403;483;383;347;346;36;45;38
761;597;568;498;861;539;575;737;460;368;346;220;34;38;33
675;414;720;289;634;407;583;460;421;281;290;383;35;36;35
574;627;578;403;558;331;454;509;218;325;285;283;40;44;39
528;490;383;348;290;372;661;511;877;373;271;372;39;41;35
232;572;612;330;553;359;331;535;382;280;151;187;23;42;30
504;514;472;461;290;792;434;930;568;401;235;336;37;40;36
282;467;496;683;565;584;535;547;532;331;357;321;40;43;35
373;403;571;635;570;711;203;407;667;198;325;157;24;41;36
722;424;452;639;387;849;995;605;537;339;235;348;42;44;39
369;904;495;564;894;535;580;413;546;284;398;202;35;39;40
521;401;574;394;513;712;297;415;369;324;406;175;28;37;38
672;547;484;582;832;857;377;396;530;204;311;393;37;44;33
390;520;380;576;513;471;278;421;417;340;449;359;38;43;36
393;234;636;645;425;836;671;778;502;290;430;278;32;39;39
548;318;387;640;531;514;401;463;443;280;272;347;39;36;41
441;353;416;318;705;263;512;513;318;258;371;298;41;38;34
572;629;433;344;655;552;342;543;348;308;257;298;35;40;39
500;187;406;425;946;563;416;453;345;218;335;280;40;45;37
492;830;306;816;208;350;599;591;534;350;368;323;38;41;35
412;393;742;593;561;565;360;350;413;185;328;335;35;36;33
284;520;530;572;445;305;437;439;388;361;240;265;41;25;36
449;457;468;595;339;668;371;502;270;318;252;354;41;39;41
641;405;431;495;519;632;383;458;441;344;261;193;39;36;28
418;322;738;561;651;606;698;686;348;329;417;311;37;40;39
664;407;330;826;374;572;459;448;313;142;248;306;35;37;37
439;448;401;661;485;910;620;616;432;312;445;298;34;298;22
387;534;714;523;850;666;718;486;446;402;307;253;38;303;39
