secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
196,"2,73","71,79",216,"3,25","66,46",355,"2,23","159,19"
254,"3,51","72,36",150,"2,36","63,56",299,"2,02","148,02"
256,"3,42","74,85",222,"3,45","64,35",341,"2,19","155,71"
237,"3,18","74,53",229,"3,44","66,57",366,"2,32","157,76"
238,"3,14","75,80",153,"2,42","63,22",365,"2,35","155,32"
254,"3,47","73,20",222,"3,35","66,27",347,"2,21","157,01"
250,"3,54","70,62",227,"3,40","66,76",364,"2,37","153,59"
173,"2,31","74,89",216,"3,29","65,65",358,"2,33","153,65"
254,"3,47","73,20",220,"3,55","61,97",354,"2,30","153,91"
256,"3,45","74,20",223,"3,54","62,99",364,"2,36","154,24"
172,"2,34","73,50",211,"3,22","65,53",352,"2,31","152,38"
253,"3,48","72,70",204,"3,25","62,77",357,"2,38","150,00"
255,"3,44","74,13",224,"3,46","64,74",361,"2,44","147,95"
170,"2,29","74,24",226,"3,45","65,51",345,"2,25","153,33"
255,"3,49","73,07",149,"2,37","62,87",362,"2,42","149,59"
252,"3,48","72,41",227,"3,41","66,57",364,"2,37","153,59"
199,"2,69","73,98",225,"3,48","64,66",343,"2,20","155,91"
249,"3,48","71,55",146,"2,42","60,33",337,"2,17","155,30"
250,"3,56","70,22",224,"3,42","65,50",367,"2,32","158,19"
240,"3,33","72,07",227,"3,49","65,04",367,"2,36","155,51"
254,"3,47","73,20",149,"2,37","62,87",249,"1,56","159,62"
253,"3,51","72,08",226,"3,43","65,89",374,"2,26","165,49"
240,"3,21","74,77",228,"3,44","66,28",368,"2,32","158,62"
234,"3,23","72,45",178,"2,70","65,93",248,"1,58","156,96"
251,"3,54","70,90",224,"3,36","66,67",368,"2,33","157,94"
255,"3,45","73,91",227,"3,42","66,37",369,"2,30","160,43"
173,"2,32","74,57",210,"3,36","62,50",249,"1,55","160,65"
251,"3,50","71,71",227,"3,43","66,18",366,"2,37","154,43"
253,"3,52","71,88",226,"3,43","65,89",367,"2,39","153,56"
172,"2,32","74,14",210,"3,27","64,22",285,"1,83","155,74"
250,"3,52","71,02",208,"3,17","65,62",356,"2,36","150,85"
257,"3,40","75,59",226,"3,51","64,39",367,"2,35","156,17"
173,"2,32","74,57",222,"3,46","64,16",345,"2,28","151,32"
249,"3,55","70,14",151,"2,35","64,26",362,"2,42","149,59"
255,"3,42","74,56",227,"3,47","65,42",365,"2,38","153,36"
198,"2,73","72,53",221,"3,48","63,51",341,"2,22","153,60"
254,"3,35","75,82",152,"2,37","64,14",335,"2,22","150,90"
253,"3,51","72,08",224,"3,51","63,82",364,"2,40","151,67"
244,"3,25","75,08",224,"3,49","64,18",373,"2,23","167,26"
257,"3,43","74,93",151,"2,38","63,45",246,"1,60","153,75"
251,"3,53","71,10",226,"3,47","65,13",368,"2,33","157,94"
240,"3,17","75,71",222,"3,53","62,89",373,"2,24","166,52"
236,"3,16","74,68",175,"2,79","62,72",246,"1,61","152,80"
251,"3,50","71,71",221,"3,38","65,38",366,"2,36","155,08"
254,"3,46","73,41",220,"3,59","61,28",366,"2,39","153,14"
171,"2,37","72,15",210,"3,29","63,83",246,"1,58","155,70"
250,"3,54","70,62",220,"3,46","63,58",364,"2,36","154,24"
252,"3,49","72,21",223,"3,40","65,59",368,"2,34","157,26"
169,"2,36","71,61",208,"3,28","63,41",286,"1,83","156,28"
250,"3,51","71,23",208,"3,23","64,40",357,"2,35","151,91"
