secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
348,"2,35","148,09",388,"1,59","244,03",292,"2,58","113,18",252,"1,14","221,05",356,"1,11","320,72"
268,"1,82","147,25",416,"1,63","255,21",308,"2,56","120,31",400,"1,80","222,22",405,"1,39","291,37"
345,"2,25","153,33",281,"1,09","257,80",230,"1,99","115,58",403,"1,77","227,68",427,"1,49","286,58"
347,"2,37","146,41",419,"1,57","266,88",287,"2,41","119,09",272,"1,15","236,52",424,"1,54","275,32"
331,"2,18","151,83",416,"1,64","253,66",302,"2,69","112,27",400,"1,78","224,72",411,"1,43","287,41"
316,"2,14","147,66",294,"1,12","262,50",308,"2,67","115,36",406,"1,75","232,00",430,"1,47","292,52"
347,"2,37","146,41",408,"1,49","273,83",208,"1,75","118,86",348,"1,47","236,73",422,"1,44","293,06"
349,"2,28","153,07",419,"1,61","260,25",307,"2,67","114,98",407,"1,75","232,57",421,"1,37","307,30"
234,"1,61","145,34",402,"1,52","264,47",305,"2,70","112,96",406,"1,70","238,82",431,"1,48","291,22"
350,"2,31","151,52",417,"1,56","267,31",208,"1,76","118,18",376,"1,65","227,88",418,"1,39","300,72"
342,"2,40","142,50",420,"1,59","264,15",306,"2,68","114,18",369,"1,65","223,64",426,"1,49","285,91"
232,"1,59","145,91",395,"1,54","256,49",305,"2,71","112,55",400,"1,83","218,58",433,"1,44","300,69"
348,"2,34","148,72",377,"1,51","249,67",207,"1,79","115,64",403,"1,78","226,40",409,"1,39","294,24"
349,"2,30","151,74",418,"1,62","258,02",306,"2,67","114,61",269,"1,22","220,49",434,"1,46","297,26"
235,"1,57","149,68",425,"1,54","275,97",304,"2,69","113,01",401,"1,77","226,55",434,"1,44","301,39"
345,"2,37","145,57",281,"1,09","257,80",239,"1,98","120,71",404,"1,73","233,53",408,"1,32","309,09"
346,"2,35","147,23",422,"1,56","270,51",302,"2,64","114,39",271,"1,17","231,62",398,"1,37","290,51"
277,"1,80","153,89",419,"1,60","261,88",306,"2,62","116,79",403,"1,75","230,29",433,"1,47","294,56"
341,"2,28","149,56",282,"1,09","258,72",293,"2,46","119,11",402,"1,81","222,10",433,"1,47","294,56"
343,"2,39","143,51",419,"1,61","260,25",307,"2,60","118,08",268,"1,23","217,89",290,"1,00","290,00"
331,"2,30","143,91",421,"1,58","266,46",308,"2,62","117,56",403,"1,78","226,40",433,"1,46","296,58"
340,"2,38","142,86",281,"1,10","255,45",287,"2,47","116,19",400,"1,81","220,99",435,"1,40","310,71"
343,"2,40","142,92",418,"1,64","254,88",283,"2,41","117,43",316,"1,35","234,07",295,"0,96","307,29"
327,"2,23","146,64",421,"1,57","268,15",305,"2,70","112,96",399,"1,76","226,70",430,"1,52","282,89"
316,"2,19","144,29",330,"1,31","251,91",313,"2,59","120,85",402,"1,79","224,58",433,"1,45","298,62"
344,"2,40","143,33",406,"1,59","255,35",209,"1,78","117,42",378,"1,71","221,05",292,"0,97","301,03"
345,"2,36","146,19",418,"1,62","258,02",309,"2,61","118,39",407,"1,69","240,83",431,"1,48","291,22"
235,"1,59","147,80",401,"1,56","257,05",309,"2,68","115,30",408,"1,72","237,21",432,"1,46","295,89"
346,"2,39","144,77",414,"1,58","262,03",210,"1,75","120,00",378,"1,60","236,25",337,"1,15","293,04"
345,"2,42","142,56",418,"1,59","262,89",310,"2,63","117,87",373,"1,69","220,71",426,"1,44","295,83"
233,"1,60","145,62",395,"1,52","259,87",310,"2,65","116,98",397,"1,84","215,76",434,"1,46","297,26"
352,"2,28","154,39",380,"1,50","253,33",211,"1,75","120,57",399,"1,82","219,23",409,"1,39","294,24"
348,"2,35","148,09",420,"1,58","265,82",307,"2,68","114,55",269,"1,23","218,70",432,"1,47","293,88"
235,"1,58","148,73",416,"1,65","252,12",313,"2,60","120,38",403,"1,79","225,14",437,"1,42","307,75"
