ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
484,"0,68","711,76",459,"0,55","834,55",418,"1,28","326,56",303,"0,42","721,43",402,"0,50","804,00"
333,"0,44","756,82",497,"0,60","828,33",434,"1,42","305,63",490,"0,68","720,59",460,"0,61","754,10"
494,"0,65","760,00",337,"0,38","886,84",327,"1,07","305,61",492,"0,66","745,45",494,"0,63","784,13"
489,"0,72","679,17",499,"0,59","845,76",395,"1,31","301,53",341,"0,49","695,92",495,"0,64","773,44"
423,"0,61","693,44",503,"0,56","898,21",433,"1,36","318,38",478,"0,67","713,43",335,"0,39","858,97"
490,"0,64","765,62",338,"0,37","913,51",429,"1,43","300,00",493,"0,66","746,97",497,"0,62","801,61"
494,"0,61","809,84",501,"0,56","894,64",294,"0,92","319,57",470,"0,66","712,12",500,"0,60","833,33"
459,"0,66","695,45",498,"0,60","830,00",437,"1,33","328,57",486,"0,68","714,71",334,"0,41","814,63"
447,"0,62","720,97",348,"0,40","870,00",430,"1,43","300,70",493,"0,66","746,97",497,"0,60","828,33"
490,"0,64","765,62",489,"0,54","905,56",290,"0,96","302,08",463,"0,63","734,92",500,"0,60","833,33"
492,"0,66","745,45",501,"0,57","878,95",432,"1,42","304,23",450,"0,62","725,81",333,"0,44","756,82"
333,"0,43","774,42",478,"0,54","885,19",431,"1,41","305,67",491,"0,67","732,84",494,"0,64","771,88"
496,"0,63","787,30",493,"0,61","808,20",293,"0,92","318,48",488,"0,74","659,46",495,"0,63","785,71"
488,"0,69","707,25",495,"0,61","811,48",434,"1,40","310,00",327,"0,50","654,00",385,"0,50","770,00"
329,"0,44","747,73",467,"0,55","849,09",432,"1,40","308,57",488,"0,70","697,14",490,"0,61","803,28"
494,"0,63","784,13",457,"0,53","862,26",341,"1,10","310,00",488,"0,74","659,46",498,"0,58","858,62"
495,"0,62","798,39",497,"0,61","814,75",423,"1,34","315,67",330,"0,46","717,39",467,"0,58","805,17"
332,"0,44","754,55",497,"0,56","887,50",429,"1,40","306,43",493,"0,67","735,82",453,"0,55","823,64"
496,"0,63","787,30",335,"0,41","817,07",414,"1,30","318,46",492,"0,67","734,33",494,"0,65","760,00"
488,"0,67","728,36",497,"0,57","871,93",432,"1,35","320,00",326,"0,50","652,00",495,"0,64","773,44"
386,"0,52","742,31",497,"0,59","842,37",435,"1,36","319,85",488,"0,73","668,49",336,"0,40","840,00"
484,"0,61","793,44",337,"0,39","864,10",408,"1,29","316,28",487,"0,74","658,11",494,"0,65","760,00"
494,"0,64","771,88",496,"0,62","800,00",397,"1,24","320,16",388,"0,54","718,52",496,"0,63","787,30"
470,"0,60","783,33",500,"0,56","892,86",433,"1,39","311,51",481,"0,66","728,79",333,"0,43","774,42"
491,"0,63","779,37",336,"0,40","840,00",434,"1,37","316,79",488,"0,72","677,78",492,"0,66","745,45"
491,"0,65","755,38",496,"0,60","826,67",292,"0,92","317,39",465,"0,70","664,29",497,"0,60","828,33"
465,"0,61","762,30",497,"0,60","828,33",435,"1,35","322,22",482,"0,71","678,87",334,"0,42","795,24"
455,"0,56","812,50",392,"0,47","834,04",435,"1,36","319,85",487,"0,70","695,71",494,"0,63","784,13"
491,"0,66","743,94",485,"0,56","866,07",294,"0,94","312,77",463,"0,65","712,31",493,"0,65","758,46"
489,"0,70","698,57",498,"0,59","844,07",428,"1,47","291,16",451,"0,60","751,67",391,"0,50","782,00"
329,"0,50","658,00",473,"0,56","844,64",433,"1,39","311,51",492,"0,68","723,53",480,"0,63","761,90"
491,"0,64","767,19",492,"0,62","793,55",293,"0,93","315,05",492,"0,68","723,53",494,"0,63","784,13"
487,"0,69","705,80",497,"0,60","828,33",434,"1,39","312,23",332,"0,46","721,74",475,"0,58","818,97"
330,"0,45","733,33",467,"0,54","864,81",433,"1,38","313,77",485,"0,75","646,67",488,"0,66","739,39"
492,"0,67","734,33",457,"0,54","846,30",343,"1,08","317,59",487,"0,71","685,92",495,"0,64","773,44"
494,"0,63","784,13",498,"0,62","803,23",425,"1,31","324,43",329,"0,48","685,42",467,"0,59","791,53"
334,"0,43","776,74",497,"0,62","801,61",434,"1,36","319,12",485,"0,73","664,38",449,"0,59","761,02"
494,"0,64","771,88",335,"0,42","797,62",417,"1,31","318,32",486,"0,71","684,51",497,"0,59","842,37"
491,"0,67","732,84",496,"0,60","826,67",431,"1,34","321,64",330,"0,47","702,13",498,"0,59","844,07"
388,"0,50","776,00",496,"0,60","826,67",434,"1,36","319,12",492,"0,66","745,45",335,"0,42","797,62"
479,"0,67","714,93",332,"0,41","809,76",408,"1,32","309,09",491,"0,68","722,06",494,"0,65","760,00"
487,"0,70","695,71",496,"0,58","855,17",395,"1,28","308,59",389,"0,55","707,27",497,"0,59","842,37"
472,"0,60","786,67",502,"0,58","865,52",434,"1,37","316,79",474,"0,72","658,33",331,"0,44","752,27"
488,"0,65","750,77",335,"0,40","837,50",434,"1,40","310,00",491,"0,67","732,84",500,"0,58","862,07"
487,"0,72","676,39",499,"0,60","831,67",290,"0,95","305,26",467,"0,69","676,81",496,"0,61","813,11"
464,"0,61","760,66",501,"0,57","878,95",428,"1,46","293,15",479,"0,74","647,30",333,"0,44","756,82"
447,"0,65","687,69",392,"0,48","816,67",433,"1,39","311,51",484,"0,73","663,01",499,"0,59","845,76"
487,"0,67","726,87",484,"0,59","820,34",293,"0,90","325,56",459,"0,70","655,71",494,"0,63","784,13"
491,"0,66","743,94",496,"0,60","826,67",430,"1,42","302,82",449,"0,61","736,07",390,"0,50","780,00"
330,"0,45","733,33",473,"0,58","815,52",434,"1,37","316,79",490,"0,69","710,14",482,"0,59","816,95"
