ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
484;459;418;303;402
333;497;434;490;460
494;337;327;492;494
489;499;395;341;495
423;503;433;478;335
490;338;429;493;497
494;501;294;470;500
459;498;437;486;334
447;348;430;493;497
490;489;290;463;500
492;501;432;450;333
333;478;431;491;494
496;493;293;488;495
488;495;434;327;385
329;467;432;488;490
494;457;341;488;498
495;497;423;330;467
332;497;429;493;453
496;335;414;492;494
488;497;432;326;495
386;497;435;488;336
484;337;408;487;494
494;496;397;388;496
470;500;433;481;333
491;336;434;488;492
491;496;292;465;497
465;497;435;482;334
455;392;435;487;494
491;485;294;463;493
489;498;428;451;391
329;473;433;492;480
491;492;293;492;494
487;497;434;332;475
330;467;433;485;488
492;457;343;487;495
494;498;425;329;467
334;497;434;485;449
494;335;417;486;497
491;496;431;330;498
388;496;434;492;335
479;332;408;491;494
487;496;395;389;497
472;502;434;474;331
488;335;434;491;500
487;499;290;467;496
464;501;428;479;333
447;392;433;484;499
487;484;293;459;494
491;496;430;449;390
330;473;434;490;482
